"n_SportID","n_SportTypeID","c_Sport","c_SportShort","n_Season","c_Season","c_Edition","n_EventPhaseID","n_ActiveNavigationPhaseID","n_EventID","n_EventTypeID","c_Event","c_EventShort","n_EventSort","n_GenderID","c_Gender","c_GenderShort","n_GenderEventID","c_GenderEvent","c_GenderEventShort","d_DateStartLocal","c_DateStartLocal","d_DateStartUTC","c_DateStartUTC","d_DateEndLocal","c_DateEndLocal","d_DateEndUTC","c_DateEndUTC","n_VenueGeoID","c_Venue","n_LocationGeoID","c_Location","n_CountryGeoID","c_Country","c_CountryShort","b_StartList","b_Started","b_Finished","b_HasTablePhases","n_Rank1ParticipantTypeID","c_Rank1Participant","c_Rank1ParticipantShort","n_Rank1PersonID","n_Rank1TeamID","n_Rank1NOCID","n_Rank1NOCGeoID","c_Rank1NOCGeoID","c_Rank1NOC","c_Rank1NOCShort","n_Rank1TeamMember1PersonID","c_Rank1TeamMember1Person","c_Rank1TeamMember1PersonShort","n_Rank1TeamMember2PersonID","c_Rank1TeamMember2Person","c_Rank1TeamMember2PersonShort","n_Rank2ParticipantTypeID","c_Rank2Participant","c_Rank2ParticipantShort","n_Rank2PersonID","n_Rank2TeamID","n_Rank2NOCID","n_Rank2NOCGeoID","c_Rank2NOCGeoID","c_Rank2NOC","c_Rank2NOCShort","n_Rank2TeamMember1PersonID","c_Rank2TeamMember1Person","c_Rank2TeamMember1PersonShort","n_Rank2TeamMember2PersonID","c_Rank2TeamMember2Person","c_Rank2TeamMember2PersonShort","n_Rank3ParticipantTypeID","c_Rank3Participant","c_Rank3ParticipantShort","n_Rank3PersonID","n_Rank3TeamID","n_Rank3NOCID","n_Rank3NOCGeoID","c_Rank3NOCGeoID","c_Rank3NOC","c_Rank3NOCShort","n_Rank3TeamMember1PersonID","c_Rank3TeamMember1Person","c_Rank3TeamMember1PersonShort","n_Rank3TeamMember2PersonID","c_Rank3TeamMember2Person","c_Rank3TeamMember2PersonShort","c_RSCCode"
103,3,"Speed Skating","SSK",20212022,"2021/2022","2022",1969390,1969390,1,1,"500m","500m",10020,1,"Men","M",7705,"Men's 500m","Men's 500m","/Date(1644684780000+0000)/","2022-02-12T16:53:00","/Date(1644655980000+0000)/","2022-02-12T08:53:00","/Date(1644687255000+0000)/","2022-02-12T17:34:15","/Date(1644658455000+0000)/","2022-02-12T09:34:15",71488,"National Speed Skating Oval",3647,"Beijing",2770,"China","CHN",FALSE,TRUE,TRUE,FALSE,1,"GAO Tingyu","GAO T",1452237,33738,26,2770,"2770","China","CHN",NA,NA,NA,NA,NA,NA,1,"MIN-KYU Cha","MIN-KYU C",1020993,33714,106,4391,"4391","South Korea","KOR",NA,NA,NA,NA,NA,NA,1,"MORISHIGE Wataru","MORISHIGE W",1933337,33728,18,2241,"2241","Japan","JPN",NA,NA,NA,NA,NA,NA,"SSKM500M--------------FNL-000100--"
103,3,"Speed Skating","SSK",20212022,"2021/2022","2022",1969392,1969392,2,1,"1000m","1000m",10030,1,"Men","M",2598,"Men's 1000m","Men's 1000m","/Date(1645201800000+0000)/","2022-02-18T16:30:00","/Date(1645173000000+0000)/","2022-02-18T08:30:00","/Date(1645206000000+0000)/","2022-02-18T17:40:00","/Date(1645177200000+0000)/","2022-02-18T09:40:00",71488,"National Speed Skating Oval",3647,"Beijing",2770,"China","CHN",FALSE,TRUE,TRUE,FALSE,1,"KROL Thomas","KROL T",749959,33712,1,2201,"2201","Netherlands","NED",NA,NA,NA,NA,NA,NA,1,"DUBREUIL Laurent","DUBREUIL L",762751,33731,159,2231,"2231","Canada","CAN",NA,NA,NA,NA,NA,NA,1,"LORENTZEN Haavard","LORENTZEN H",751032,33743,153,2221,"2221","Norway","NOR",NA,NA,NA,NA,NA,NA,"SSKM1000M-------------FNL-000100--"
103,3,"Speed Skating","SSK",20212022,"2021/2022","2022",1969394,1969394,3,1,"1500m","1500m",10040,1,"Men","M",4096,"Men's 1500m","Men's 1500m","/Date(1644345000000+0000)/","2022-02-08T18:30:00","/Date(1644316200000+0000)/","2022-02-08T10:30:00","/Date(1644349800000+0000)/","2022-02-08T19:50:00","/Date(1644321000000+0000)/","2022-02-08T11:50:00",71488,"National Speed Skating Oval",3647,"Beijing",2770,"China","CHN",FALSE,TRUE,TRUE,FALSE,1,"NUIS Kjeld","NUIS K",700821,33712,1,2201,"2201","Netherlands","NED",NA,NA,NA,NA,NA,NA,1,"KROL Thomas","KROL T",749959,33712,1,2201,"2201","Netherlands","NED",NA,NA,NA,NA,NA,NA,1,"KIM Min-Seok","KIM MS",1246985,33714,106,4391,"4391","South Korea","KOR",NA,NA,NA,NA,NA,NA,"SSKM1500M-------------FNL-000100--"
103,3,"Speed Skating","SSK",20212022,"2021/2022","2022",1969396,1969396,5,1,"5000m","5000m",10060,1,"Men","M",3202,"Men's 5000m","Men's 5000m","/Date(1644165000000+0000)/","2022-02-06T16:30:00","/Date(1644136200000+0000)/","2022-02-06T08:30:00","/Date(1644171300000+0000)/","2022-02-06T18:15:00","/Date(1644142500000+0000)/","2022-02-06T10:15:00",71488,"National Speed Skating Oval",3647,"Beijing",2770,"China","CHN",FALSE,TRUE,TRUE,FALSE,1,"VAN DER POEL Nils","VAN DER POEL N",1023480,33739,154,2222,"2222","Sweden","SWE",NA,NA,NA,NA,NA,NA,1,"ROEST Patrick","ROEST P",1184564,33712,1,2201,"2201","Netherlands","NED",NA,NA,NA,NA,NA,NA,1,"ENGEBRAATEN Hallgeir","ENGEBRAATEN H",1716678,33743,153,2221,"2221","Norway","NOR",NA,NA,NA,NA,NA,NA,"SSKM5000M-------------FNL-000100--"
103,3,"Speed Skating","SSK",20212022,"2021/2022","2022",1969398,1969398,6,1,"10,000m","10000m",10070,1,"Men","M",1674,"Men's 10,000m","Men's 10,000m","/Date(1644595200000+0000)/","2022-02-11T16:00:00","/Date(1644566400000+0000)/","2022-02-11T08:00:00","/Date(1644601980000+0000)/","2022-02-11T17:53:00","/Date(1644573180000+0000)/","2022-02-11T09:53:00",71488,"National Speed Skating Oval",3647,"Beijing",2770,"China","CHN",FALSE,TRUE,TRUE,FALSE,1,"VAN DER POEL Nils","VAN DER POEL N",1023480,33739,154,2222,"2222","Sweden","SWE",NA,NA,NA,NA,NA,NA,1,"ROEST Patrick","ROEST P",1184564,33712,1,2201,"2201","Netherlands","NED",NA,NA,NA,NA,NA,NA,1,"GHIOTTO Davide","GHIOTTO D",1275708,33746,6,2210,"2210","Italy","ITA",NA,NA,NA,NA,NA,NA,"SSKM10000M------------FNL-000100--"
103,3,"Speed Skating","SSK",20212022,"2021/2022","2022",1969400,2411400,16622,1,"Mass Start","Mass Start",10097,1,"Men","M",7826,"Men's Mass Start","Men's Mass Start","/Date(1645282800000+0000)/","2022-02-19T15:00:00","/Date(1645254000000+0000)/","2022-02-19T07:00:00","/Date(1645289100000+0000)/","2022-02-19T16:45:00","/Date(1645260300000+0000)/","2022-02-19T08:45:00",71488,"National Speed Skating Oval",3647,"Beijing",2770,"China","CHN",FALSE,TRUE,TRUE,FALSE,1,"SWINGS Bart","SWINGS B",730582,33717,147,2205,"2205","Belgium","BEL",NA,NA,NA,NA,NA,NA,1,"JAE-WON Chung","JAE-WON C",1720535,33714,106,4391,"4391","South Korea","KOR",NA,NA,NA,NA,NA,NA,1,"LEE Seung-Hoon","LEE SH",816618,33714,106,4391,"4391","South Korea","KOR",NA,NA,NA,NA,NA,NA,"SSKMMS----------------SFNL000200--"
103,3,"Speed Skating","SSK",20212022,"2021/2022","2022",1969402,2411280,10856,4,"Team Pursuit","Team Pursuit",10100,1,"Men","M",2264,"Men's Team Pursuit","Men's Team Pursuit","/Date(1644786000000+0000)/","2022-02-13T21:00:00","/Date(1644757200000+0000)/","2022-02-13T13:00:00","/Date(1644943980000+0000)/","2022-02-15T16:53:00","/Date(1644915180000+0000)/","2022-02-15T08:53:00",71488,"National Speed Skating Oval",3647,"Beijing",2770,"China","CHN",FALSE,TRUE,TRUE,FALSE,4,"Norway","NOR",-1,33743,153,2221,"2221","Norway","NOR",NA,NA,NA,NA,NA,NA,4,"ROC","ROC",NA,475665,23062,73035,"73035","ROC","ROC",NA,NA,NA,NA,NA,NA,4,"United States","USA",NA,33735,5,2209,"2209","United States","USA",NA,NA,NA,NA,NA,NA,"SSKMTEAMPU------------SFNLD00100--"
103,3,"Speed Skating","SSK",20212022,"2021/2022","2022",1969391,1969391,1,1,"500m","500m",10020,2,"Women","W",4298,"Women's 500m","Women's 500m","/Date(1644789360000+0000)/","2022-02-13T21:56:00","/Date(1644760560000+0000)/","2022-02-13T13:56:00","/Date(1644791835000+0000)/","2022-02-13T22:37:15","/Date(1644763035000+0000)/","2022-02-13T14:37:15",71488,"National Speed Skating Oval",3647,"Beijing",2770,"China","CHN",FALSE,TRUE,TRUE,FALSE,1,"JACKSON Erin","JACKSON E",850493,33735,5,2209,"2209","United States","USA",NA,NA,NA,NA,NA,NA,1,"TAKAGI Miho","TAKAGI M",723414,33728,18,2241,"2241","Japan","JPN",NA,NA,NA,NA,NA,NA,1,"GOLIKOVA Angelina","GOLIKOVA A",699671,475665,23062,73035,"73035","ROC","ROC",NA,NA,NA,NA,NA,NA,"SSKW500M--------------FNL-000100--"
103,3,"Speed Skating","SSK",20212022,"2021/2022","2022",1969393,1969393,2,1,"1000m","1000m",10030,2,"Women","W",4800,"Women's 1000m","Women's 1000m","/Date(1645115400000+0000)/","2022-02-17T16:30:00","/Date(1645086600000+0000)/","2022-02-17T08:30:00","/Date(1645119750000+0000)/","2022-02-17T17:42:30","/Date(1645090950000+0000)/","2022-02-17T09:42:30",71488,"National Speed Skating Oval",3647,"Beijing",2770,"China","CHN",FALSE,TRUE,TRUE,FALSE,1,"TAKAGI Miho","TAKAGI M",723414,33728,18,2241,"2241","Japan","JPN",NA,NA,NA,NA,NA,NA,1,"LEERDAM Jutta","LEERDAM J",1342250,33712,1,2201,"2201","Netherlands","NED",NA,NA,NA,NA,NA,NA,1,"BOWE Brittany","BOWE B",671585,33735,5,2209,"2209","United States","USA",NA,NA,NA,NA,NA,NA,"SSKW1000M-------------FNL-000100--"
103,3,"Speed Skating","SSK",20212022,"2021/2022","2022",1969395,1969395,3,1,"1500m","1500m",10040,2,"Women","W",7796,"Women's 1500m","Women's 1500m","/Date(1644251400000+0000)/","2022-02-07T16:30:00","/Date(1644222600000+0000)/","2022-02-07T08:30:00","/Date(1644256200000+0000)/","2022-02-07T17:50:00","/Date(1644227400000+0000)/","2022-02-07T09:50:00",71488,"National Speed Skating Oval",3647,"Beijing",2770,"China","CHN",FALSE,TRUE,TRUE,FALSE,1,"WUST Ireen","WUST I",222453,33712,1,2201,"2201","Netherlands","NED",NA,NA,NA,NA,NA,NA,1,"TAKAGI Miho","TAKAGI M",723414,33728,18,2241,"2241","Japan","JPN",NA,NA,NA,NA,NA,NA,1,"DE JONG Antoinette","DE JONG A",816627,33712,1,2201,"2201","Netherlands","NED",NA,NA,NA,NA,NA,NA,"SSKW1500M-------------FNL-000100--"
