"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantFirstName","c_ParticipantLastName","c_Bib","n_StartOrder","n_ID","n_GeoID","c_Name","c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_TimeAbs","n_TimeRel","b_Completed","b_Upcoming"
1,749959,"KROL Thomas","KROL T","Thomas","Krol","52",25,1,2201,"Netherlands","NED",1,1,"1","1:07.92","1:07.92",67920,0,TRUE,FALSE
1,762751,"DUBREUIL Laurent","DUBREUIL L","Laurent","Dubreuil","7",29,159,2231,"Canada","CAN",2,2,"2","1:08.32","1:08.32",68320,400,TRUE,FALSE
1,751032,"LORENTZEN Haavard","LORENTZEN H","Håvard","Lorentzen","61",26,153,2221,"Norway","NOR",3,3,"3","1:08.48","1:08.48",68480,560,TRUE,FALSE
1,818482,"MICHALSKI Piotr","MICHALSKI P","Piotr","Michalski","69",7,150,2214,"Poland","POL",4,4,"4","1:08.56","1:08.56",68560,640,TRUE,FALSE
1,1720677,"ZHONGYAN Ning","ZHONGYAN N","Zhongyan","Ning","15",27,26,2770,"China","CHN",5,5,"5","1:08.60","1:08.60",68600,680,TRUE,FALSE
1,1156984,"GOLOVATSIUK Ignat","GOLOVATSIUK I","Ignat","Golovatsiuk","4",23,103,4387,"Belarus","BLR",6,6,"6","1:08.63","1:08.63",68630,710,TRUE,FALSE
1,1053142,"LIIV Marten","LIIV M","Marten","Liiv","21",21,8,2217,"Estonia","EST",7,7,"7","1:08.65","1:08.65",68650,730,TRUE,FALSE
1,1362330,"MUSHTAKOV Viktor","MUSHTAKOV V","Viktor","Mushtakov","75",24,23062,73035,"ROC","ROC",8,8,"8","1:08.74","1:08.74",68740,820,TRUE,FALSE
1,1110840,"KERSTEN Cornelius","KERSTEN C","Cornelius","Kersten","22",20,211,4058,"Great Britain","GBR",9,9,"9","1:08.79","1:08.79",68790,870,TRUE,FALSE
1,642924,"OTTERSPEER Hein","OTTERSPEER H","Hein","Otterspeer","54",28,1,2201,"Netherlands","NED",10,10,"10","1:08.80","1:08.80",68800,880,TRUE,FALSE
1,830231,"KULIZHNIKOV Pavel","KULIZHNIKOV P","Pavel","Kulizhnikov","73",11,23062,73035,"ROC","ROC",11,11,"11","1:08.87","1:08.87",68870,950,TRUE,FALSE
1,1630234,"HOWE Connor","HOWE C","Connor","Howe","10",22,159,2231,"Canada","CAN",12,12,"12","1:08.97","1:08.97",68970,1050,TRUE,FALSE
1,1453586,"ZUREK Damian","ZUREK D","Damian","Zurek","70",2,150,2214,"Poland","POL",13,13,"13","1:09.08","1:09.08",69080,1160,TRUE,FALSE
1,2052148,"STOLZ Jordan","STOLZ J","Jordan","Stolz","87",13,5,2209,"United States","USA",14,14,"14","1:09.12","1:09.12",69120,1200,TRUE,FALSE
1,748659,"BOSA David","BOSA D","David","Bosa","26",9,6,2210,"Italy","ITA",15,15,"15","1:09.35","1:09.35",69350,1430,TRUE,FALSE
1,1933337,"MORISHIGE Wataru","MORISHIGE W","Wataru","Morishige","34",5,18,2241,"Japan","JPN",16,16,"16","1:09.47","1:09.47",69470,1550,TRUE,FALSE
1,1023163,"MOROZOV Dmitriy","MOROZOV D","Dmitriy","Morozov","41",3,160,2236,"Kazakhstan","KAZ",17,17,"17","1:09.61","1:09.61",69610,1690,TRUE,FALSE
1,1020993,"MIN-KYU Cha","MIN-KYU C","Min Kyu","Cha","42",19,106,4391,"South Korea","KOR",18,18,"18","1:09.69","1:09.69",69690,1770,TRUE,FALSE
1,2052118,"LIAN Ziwen","LIAN Z","Ziwen","Lian","14",8,26,2770,"China","CHN",19,19,"19","1:09.93","1:09.93",69930,2010,TRUE,FALSE
1,1933332,"KOJIMA Ryouta","KOJIMA R","Ryouta","Kojima","33",17,18,2241,"Japan","JPN",20,20,"20","1:09.97","1:09.97",69970,2050,TRUE,FALSE
1,1220081,"SHINHAMA Tatsuya","SHINHAMA T","Tatsuya","Shinhama","37",1,18,2241,"Japan","JPN",21,21,"21","1:10.00","1:10.00",70000,2080,TRUE,FALSE
1,762603,"GELINAS-BEAULIEU Antoine","GELINAS-BEAULIEU A","Antoine","Gélinas-Beaulieu","9",15,159,2231,"Canada","CAN",22,22,"22","1:10.075","1:10.075",70075,2150,TRUE,FALSE
1,720270,"KUZIN Denis","KUZIN D","Denis","Kuzin","40",10,160,2236,"Kazakhstan","KAZ",23,23,"23","1:10.077","1:10.077",70077,2150,TRUE,FALSE
1,1246985,"KIM Min-Seok","KIM MS","Min-Seok","Kim","45",14,106,4391,"South Korea","KOR",24,24,"24","1:10.08","1:10.08",70080,2160,TRUE,FALSE
1,1362313,"MAGNUSSEN Bjorn","MAGNUSSEN B","Bjørn","Magnussen","62",6,153,2221,"Norway","NOR",25,25,"25","1:10.14","1:10.14",70140,2220,TRUE,FALSE
1,349442,"DUFTER Joel","DUFTER J","Joel","Dufter","24",16,2,2206,"Germany","GER",26,26,"26","1:10.16","1:10.16",70160,2240,TRUE,FALSE
