"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantFirstName","c_ParticipantLastName","c_Bib","n_StartOrder","NOC.n_ID","NOC.n_GeoID","NOC.c_Name","NOC.c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_TimeAbs","n_TimeRel","b_Completed","b_Upcoming"
1, 222453,"WUST Ireen","WUST I","Ireen","Wüst","253",23,    1, 2201,Netherlands,NED, 1, 1,"1","1:53.28","1:53.28",113280,    0,TRUE,FALSE
1, 723414,"TAKAGI Miho","TAKAGI M","Miho","Takagi","237",30,   18, 2241,Japan,JPN, 2, 2,"2","1:53.72","1:53.72",113720,  440,TRUE,FALSE
1, 816627,"DE JONG Antoinette","DE JONG A","Antoinette","de Jong","246",21,    1, 2201,Netherlands,NED, 3, 3,"3","1:54.82","1:54.82",114820, 1540,TRUE,FALSE
1,1146729,"SATO Ayano","SATO A","Ayano","Sato","236",25,   18, 2241,Japan,JPN, 4, 4,"4","1:54.92","1:54.92",114920, 1640,TRUE,FALSE
1,1384759,"GROENEWOUD Marijke","GROENEWOUD M","Marijke","Groenewoud","248",17,    1, 2201,Netherlands,NED, 5, 5,"5","1:54.97","1:54.97",114970, 1690,TRUE,FALSE
1, 703475,"LOLLOBRIGIDA Francesca","LOLLOBRIGIDA F","Francesca","Lollobrigida","230",26,    6, 2210,Italy,ITA, 6, 6,"6","1:55.20","1:55.20",115200, 1920,TRUE,FALSE
1,1023486,"GOLUBEVA Elizaveta","GOLUBEVA E","Elizaveta","Golubeva","266",29,23062,73035,ROC,ROC, 7, 7,"7","1:55.30","1:55.30",115300, 2020,TRUE,FALSE
1, 818501,"TAKAGI Nana","TAKAGI N","Nana","Takagi","238",20,   18, 2241,Japan,JPN, 8, 8,"8","1:55.34","1:55.34",115340, 2060,TRUE,FALSE
1, 699664,"LALENKOVA Evgenia","LALENKOVA E","Evgenia","Lalenkova","269",13,23062,73035,ROC,ROC, 9, 9,"9","1:55.74","1:55.74",115740, 2460,TRUE,FALSE
1, 671585,"BOWE Brittany","BOWE B","Brittany","Bowe","276",27,    5, 2209,United States,USA,10,10,"10","1:55.81","1:55.81",115810, 2530,TRUE,FALSE
1,1146730,"HAN Mei","HAN M","Mei","Han","218",19,   26, 2770,China,CHN,11,11,"11","1:56.08","1:56.08",116080, 2800,TRUE,FALSE
1,1559989,"WIKLUND Ragne","WIKLUND R","Ragne","Wiklund","258",28,  153, 2221,Norway,NOR,12,12,"12","1:56.46","1:56.46",116460, 3180,TRUE,FALSE
1, 652005,"BLONDIN Ivanie","BLONDIN I","Ivanie","Blondin","208",24,  159, 2231,Canada,CAN,13,13,"13","1:56.49","1:56.49",116490, 3210,TRUE,FALSE
1,1453623,"MOROZOVA Nadezhda","MOROZOVA N","Nadezhda","Morozova","240",22,  160, 2236,Kazakhstan,KAZ,14,14,"14","1:56.85","1:56.85",116850, 3570,TRUE,FALSE
1,1458630,"YIN Qi","YIN Q","Qi","Yin","223",18,   26, 2770,China,CHN,15,15,"15","1:57.00","1:57.00",117000, 3720,TRUE,FALSE
1,2167718,"SLOEVA Ekaterina","SLOEVA E","Ekaterina","Sloeva","205", 8,  103, 4387,Belarus,BLR,16,16,"16","1:58.41","1:58.41",118410, 5130,TRUE,FALSE
1,1937824,"AHENAR Adake","AHENAR A","Adake","Ahenar","216",12,   26, 2770,China,CHN,17,17,"17","1:58.59","1:58.59",118590, 5310,TRUE,FALSE
1, 720274,"AYDOVA Yekaterina","AYDOVA Y","Yekaterina","Aydova","239",14,  160, 2236,Kazakhstan,KAZ,18,18,"18","1:59.01","1:59.01",119010, 5730,TRUE,FALSE
1, 335047,"CZERWONKA Natalia","CZERWONKA N","Natalia","Czerwonka","260",16,  150, 2214,Poland,POL,19,19,"19","1:59.03","1:59.03",119030, 5750,TRUE,FALSE
1, 481004,"MANGANELLO KILBURG Mia","MANGANELLO KILBURG M","Mia","Kilburg-Manganello","279", 9,    5, 2209,United States,USA,20,20,"20","1:59.11","1:59.11",119110, 5830,TRUE,FALSE
1,1023494,"ZDRAHALOVA Nikola","ZDRAHALOVA N","Nikola","Zdráhalová","226",15,   17, 2240,Czech Republic,CZE,21,21,"21","1:59.54","1:59.54",119540, 6260,TRUE,FALSE
1, 763157,"SOKHRYAKOVA Elena","SOKHRYAKOVA E","Elena","Sokhryakova","270", 7,23062,73035,ROC,ROC,22,22,"22","1:59.58","1:59.58",119580, 6300,TRUE,FALSE
1, 985487,"ZUEVA Marina","ZUEVA M","Marina","Zueva","207",10,  103, 4387,Belarus,BLR,23,23,"23","1:59.82","1:59.82",119820, 6540,TRUE,FALSE
1,1146732,"PEARMAN Maddison","PEARMAN M","Maddison","Pearman","213",11,  159, 2231,Canada,CAN,24,24,"24","1:59.89","1:59.89",119890, 6610,TRUE,FALSE
1,1023493,"UHRIG Michelle","UHRIG M","Michelle","Uhrig","229", 6,    2, 2206,Germany,GER,25,25,"25","2:00.20","2:00.20",120200, 6920,TRUE,FALSE
1, 582076,"HUANG Yu-Ting","HUANG YT","Yu-Ting","Huang","274", 2,   31, 2784,Chinese Taipei,TPE,26,26,"26","2:00.78","2:00.78",120780, 7500,TRUE,FALSE
1,1453603,"SMEDING Ellia","SMEDING E","Ellia","Smeding","227", 1,  211, 4058,Great Britain,GBR,27,27,"27","2:01.09","2:01.09",121090, 7810,TRUE,FALSE
1, 813179,"HAUGEN Sofie Karoline","HAUGEN SK","Sofie Karoline","Haugen","255", 5,  153, 2221,Norway,NOR,28,28,"28","2:01.57","2:01.57",121570, 8290,TRUE,FALSE
1,1039390,"TAS Sandrine","TAS S","Sandrine","Tas","203", 3,  147, 2205,Belgium,BEL,29,29,"29","2:03.39","2:03.39",123390,10110,TRUE,FALSE
1,1146782,"CZYSZCZON Magdalena","CZYSZCZON M","Magdalena","Czyszczon","261", 4,  150, 2214,Poland,POL,30,30,"30","2:05.64","2:05.64",125640,12360,TRUE,FALSE
