"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantFirstName","c_ParticipantLastName","c_Bib","n_StartOrder","NOC.n_ID","NOC.n_GeoID","NOC.c_Name","NOC.c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_PointsAbs","c_ResultInfo_1","c_ResultInfo_2","b_Completed","b_Upcoming"
1, 730582,"SWINGS Bart","SWINGS B","Bart","Swings","3", 3,  147, 2205,Belgium,BEL, 1, 1,"1","63","63",63000,"16","7:47.11",TRUE,FALSE
1,1720535,"JAE-WON Chung","JAE-WON C","Jae-Won","Chung","7", 7,  106, 4391,South Korea,KOR, 2, 2,"2","40","40",40000,"16","7:47.18",TRUE,FALSE
1, 816618,"LEE Seung-Hoon","LEE SH","Seung-Hoon","Lee","4", 4,  106, 4391,South Korea,KOR, 3, 3,"3","20","20",20000,"16","7:47.20",TRUE,FALSE
1, 580696,"MANTIA Joey","MANTIA J","Joey","Mantia","14",14,    5, 2209,United States,USA, 4, 4,"4","10","10",10000,"16","7:47.20",TRUE,FALSE
1,1778799,"ALDOSHKIN Daniil","ALDOSHKIN D","Daniil","Aldoshkin","9", 9,23062,73035,ROC,ROC, 5, 5,"5","6","6", 6000,"16","7:47.59",TRUE,FALSE
1,1113755,"TSUCHIYA Ryosuke","TSUCHIYA R","Ryosuke","Tsuchiya","12",12,   18, 2241,Japan,JPN, 6, 6,"6","6","6", 6000,"16","7:58.82",TRUE,FALSE
1,1184557,"WENGER Livio","WENGER L","Livio","Wenger","6", 6,  149, 2213,Switzerland,SUI, 7, 7,"7","4","4", 4000,"16","7:47.86",TRUE,FALSE
1,1023471,"ICHINOHE Seitaro","ICHINOHE S","Seitaro","Ichinohe","15",15,   18, 2241,Japan,JPN, 8, 8,"8","3","3", 3000,"16","7:48.56",TRUE,FALSE
1, 189690,"BERGSMA Jorrit","BERGSMA J","Jorrit","Bergsma","16",16,    1, 2201,Netherlands,NED, 9, 9,"9","3","3", 3000,"16","7:50.25",TRUE,FALSE
1,1453594,"ODOR Gabriel","ODOR G","Gabriel","Odor","8", 8,  151, 2219,Austria,AUT,10,10,"10","2","2", 2000,"16","8:10.46",TRUE,FALSE
1, 919827,"GIOVANNINI Andrea","GIOVANNINI A","Andrea","Giovannini","2", 2,    6, 2210,Italy,ITA,11,11,"11",NA,NA,NA,"16","7:47.93",TRUE,FALSE
1,1720677,"ZHONGYAN Ning","ZHONGYAN N","Zhongyan","Ning","5", 5,   26, 2770,China,CHN,12,12,"12",NA,NA,NA,"16","7:48.07",TRUE,FALSE
1, 659883,"BELCHOS Jordan","BELCHOS J","Jordan","Belchos","10",10,  159, 2231,Canada,CAN,13,13,"13",NA,NA,NA,"16","7:48.14",TRUE,FALSE
1,1762256,"ULEKLEIV Kristian","ULEKLEIV K","Kristian","Ulekleiv","1", 1,  153, 2221,Norway,NOR,14,14,"14",NA,NA,NA,"16","7:48.52",TRUE,FALSE
1, 762603,"GELINAS-BEAULIEU Antoine","GELINAS-BEAULIEU A","Antoine","Gélinas-Beaulieu","11",11,  159, 2231,Canada,CAN,15,15,"15",NA,NA,NA,"16","8:13.35",TRUE,FALSE
1, 170973,"KRAMER Sven","KRAMER S","Sven","Kramer","13",13,    1, 2201,Netherlands,NED,16,16,"16",NA,NA,NA,"14",NA,TRUE,FALSE
