"No","First_Name","Last_Name","Tm","Pos","G","A","A1","A2","PTS","SOG","PIM","TOI","FOW","FOL","GS"
"23","Xin","Fang","CHN","F",0,0,0,0,0,1,0,"7:58",0,0,0.1
"26","Yingying","Guan","CHN","F",0,0,0,0,0,0,0,"1:32",0,0,0
"10","Xin","He","CHN","F",0,0,0,0,0,0,0,"1:26",0,0,0
"15","Baozhen","Hu","CHN","F",0,0,0,0,0,1,0,"18:41",0,0,0.1
"17","Mulan","Kang","CHN","F",1,0,0,0,1,3,0,"20:30",0,1,1.19
"44","Beika","Li","CHN","F",0,0,0,0,0,2,0,"17:34",4,6,-0.02
"19","Jiaxin","Lin","CHN","F",0,1,1,0,1,3,0,"17:01",5,7,0.98
"91","Ni","Lin","CHN","F",0,0,0,0,0,2,0,"23:35",1,1,0.2
"8","Qiqi","Lin","CHN","F",0,0,0,0,0,3,0,"25:44",0,0,0.3
"34","Le","Mi","CHN","F",0,0,0,0,0,3,0,"23:38",13,6,1.07
"51","Xifang","Zhang","CHN","F",0,0,0,0,0,3,0,"18:55",0,0,0.3
"98","Rui","Zhu","CHN","F",0,0,0,0,0,3,0,"7:39",1,1,0.3
"28","Anna","Fei","CHN","D",0,0,0,0,0,0,0,"9:05",0,0,0
"5","Huier","Huang","CHN","D",0,0,0,0,0,2,2,"21:23",0,0,-0.1
"66","Qianhua","Li","CHN","D",0,0,0,0,0,0,0,"0:00",0,0,0
"93","Zhixin","Liu","CHN","D",0,0,0,0,0,2,0,"20:40",0,0,0.2
"49","Yuting","Wang","CHN","D",0,0,0,0,0,4,0,"31:25",0,0,0.4
"2","Baiwei","Yu","CHN","D",0,0,0,0,0,1,0,"20:46",0,0,0.1
"97","Qinan","Zhao","CHN","D",0,0,0,0,0,0,0,"9:31",0,0,0
"88","Tiya","Chen","CHN","G",0,0,0,0,0,0,0,"0:00",0,0,0
"33","Jiaying","Zhou","CHN","G",0,0,0,0,0,0,0,"57:46",0,0,0
"11","Josefin","Bouveng","SWE","F",1,0,0,0,1,2,0,"13:02",0,0,1.2
"29","Olivia","Carlsson","SWE","F",0,0,0,0,0,3,0,"16:41",0,0,0.3
"19","Sara","Hjalmarsson","SWE","F",0,0,0,0,0,4,0,"14:35",6,3,0.73
"16","Linnea","Johansson","SWE","F",0,0,0,0,0,3,0,"12:20",3,7,-0.14
"15","Lisa","Johansson","SWE","F",0,0,0,0,0,2,0,"13:20",0,0,0.2
"25","Lina","Ljungblom","SWE","F",0,0,0,0,0,2,0,"14:24",1,0,0.31
"28","Michelle","Löwenhielm","SWE","F",0,0,0,0,0,1,2,"14:39",6,8,-0.42
"17","Sofie","Lundin","SWE","F",0,0,0,0,0,1,0,"15:45",0,0,0.1
"13","Emma","Murén","SWE","F",0,0,0,0,0,1,0,"16:14",1,2,-0.01
"27","Emma","Nordin","SWE","F",0,0,0,0,0,5,0,"15:24",5,4,0.61
"22","Linn","Peterson","SWE","F",0,0,0,0,0,3,0,"12:07",0,0,0.3
"24","Felizia","Wikner-Zienkiewicz","SWE","F",1,0,0,0,1,3,0,"15:22",0,0,1.3
"9","Jessica","Adolfsson","SWE","D",0,0,0,0,0,2,0,"20:31",0,0,0.2
"4","Linnéa","Andersson","SWE","D",0,0,0,0,0,0,0,"0:00",0,0,0
"8","Ebba","Berglund","SWE","D",0,0,0,0,0,0,0,"7:19",0,0,0
"20","Paula","Bergström","SWE","D",0,0,0,0,0,0,2,"10:03",0,0,-0.3
"5","Johanna","Fällman","SWE","D",0,0,0,0,0,0,0,"19:48",0,0,0
"3","Anna","Kjellbin","SWE","D",0,0,0,0,0,0,0,"20:03",0,0,0
"12","Maja","Nylén Persson","SWE","D",0,1,1,0,1,1,2,"19:08",0,0,0.7
"10","Mina","Waxin","SWE","D",0,1,0,1,1,0,0,"22:00",0,0,0.66
"35","Ida","Boman","SWE","G",0,0,0,0,0,0,0,"0:00",0,0,0
"30","Emma","Söderberg","SWE","G",0,0,0,0,0,0,0,"60:00",0,0,0
