"No","First_Name","Last_Name","Tm","Pos","G","A","A1","A2","PTS","SOG","PIM","TOI","FOW","FOL","GS"
"10","Roman","Cervenka","CZE","F",1,1,0,1,2,2,0,"17:43",0,0,1.86
"38","Tomáš","Hyka","CZE","F",0,0,0,0,0,3,0,"15:26",0,0,0.3
"43","Jan","Kovár","CZE","F",0,1,0,1,1,0,2,"18:35",5,3,0.58
"46","David","Krejcí","CZE","F",0,1,1,0,1,3,0,"18:44",13,6,1.97
"25","Radan","Lenc","CZE","F",0,0,0,0,0,1,0,"6:05",0,0,0.1
"26","Michal","Repík","CZE","F",0,0,0,0,0,2,0,"13:55",0,0,0.2
"45","Lukáš","Sedlák","CZE","F",0,0,0,0,0,1,0,"17:22",3,4,-0.01
"13","Jirí","Smejkal","CZE","F",0,0,0,0,0,3,0,"11:24",0,0,0.3
"17","Vladimír","Sobotka","CZE","F",0,0,0,0,0,1,0,"10:55",4,2,0.32
"52","Michael","Špacek","CZE","F",0,0,0,0,0,0,0,"12:27",1,2,-0.11
"44","Matej","Stránský","CZE","F",0,0,0,0,0,2,0,"16:16",0,0,0.2
"20","Hynek","Zohorna","CZE","F",0,0,0,0,0,2,0,"9:19",0,0,0.2
"79","Tomáš","Zohorna","CZE","F",0,0,0,0,0,0,0,"11:28",4,4,0
"5","Jakub","Jerábek","CZE","D",0,0,0,0,0,1,4,"12:01",0,0,-0.5
"31","Lukáš","Klok","CZE","D",1,0,0,0,1,3,0,"22:22",0,0,1.3
"3","Ronald","Knot","CZE","D",0,1,1,0,1,1,0,"19:56",0,0,1
"84","Tomáš","Kundrátek","CZE","D",0,0,0,0,0,2,0,"22:40",0,0,0.2
"65","Vojtech","Mozík","CZE","D",0,0,0,0,0,3,0,"15:40",0,0,0.3
"9","David","Sklenicka","CZE","D",0,0,0,0,0,1,0,"6:53",0,0,0.1
"88","Libor","Šulák","CZE","D",0,0,0,0,0,2,0,"16:36",0,0,0.2
"32","Patrik","Bartošák","CZE","G",0,0,0,0,0,0,0,"0:00",0,0,0
"11","Šimon","Hrubec","CZE","G",0,0,0,0,0,0,0,"56:42",0,0,0
"10","Andres","Ambühl","SUI","F",1,0,0,0,1,2,0,"15:31",0,0,1.2
"85","Sven","Andrighetto","SUI","F",0,2,1,1,2,0,0,"15:22",0,0,1.56
"88","Christoph","Bertschy","SUI","F",0,0,0,0,0,1,0,"13:41",4,3,0.21
"71","Enzo","Corvi","SUI","F",0,1,0,1,1,0,0,"15:30",6,8,0.44
"92","Gaëtan","Haas","SUI","F",0,0,0,0,0,0,0,"17:26",6,13,-0.77
"61","Fabrice","Herzog","SUI","F",0,1,0,1,1,3,0,"16:46",0,0,0.96
"15","Gregory","Hofmann","SUI","F",0,0,0,0,0,0,0,"17:12",0,0,0
"70","Denis","Hollenstein","SUI","F",0,1,1,0,1,0,0,"8:41",0,0,0.9
"62","Denis","Malgin","SUI","F",1,0,0,0,1,2,0,"15:58",3,5,0.98
"82","Simon","Moser","SUI","F",0,0,0,0,0,1,0,"17:12",0,0,0.1
"87","Killian","Mottet","SUI","F",1,0,0,0,1,1,0,"11:01",0,0,1.1
"79","Calvin","Thürkauf","SUI","F",0,1,1,0,1,2,0,"16:36",2,1,1.21
"83","Joël","Vermin","SUI","F",0,0,0,0,0,0,0,"1:06",0,0,0
"2","Santeri","Alatalo","SUI","D",0,1,1,0,1,1,0,"11:14",0,0,1
"16","Raphael","Diaz","SUI","D",1,1,0,1,2,1,0,"21:06",0,0,1.76
"45","Michael","Fora","SUI","D",0,0,0,0,0,1,2,"11:56",0,0,-0.2
"38","Lukas","Frick","SUI","D",0,0,0,0,0,0,0,"14:30",0,0,0
"55","Romain","Loeffel","SUI","D",0,0,0,0,0,0,0,"13:54",0,0,0
"25","Mirco","Müller","SUI","D",0,0,0,0,0,1,2,"22:39",0,0,-0.2
"6","Yannick","Weber","SUI","D",0,0,0,0,0,2,0,"19:53",0,0,0.2
"20","Reto","Berra","SUI","G",0,0,0,0,0,0,0,"0:00",0,0,0
"63","Leonardo","Genoni","SUI","G",0,0,0,0,0,0,0,"60:00",0,0,0
