"No","First_Name","Last_Name","Tm","Pos","G","A","A1","A2","PTS","SOG","PIM","TOI","FOW","FOL","GS"
"42","Mikkel","Aagaard","DEN","F",0,0,0,0,0,1,2,"7:41",0,0,-0.2
"50","Mathias","Bau","DEN","F",0,0,0,0,0,1,0,"10:37",0,0,0.1
"89","Mikkel","Bødker","DEN","F",0,1,1,0,1,2,0,"22:02",0,0,1.1
"33","Julian","Jakobsen","DEN","F",1,1,1,0,2,2,0,"11:46",7,7,2.1
"40","Jesper","Jensen","DEN","F",0,0,0,0,0,0,0,"0:00",0,0,0
"17","Nicklas","Jensen","DEN","F",0,0,0,0,0,1,0,"18:01",0,0,0.1
"29","Morten","Madsen","DEN","F",0,0,0,0,0,1,0,"10:18",1,2,-0.01
"72","Nicolai","Meyer","DEN","F",0,1,1,0,1,0,0,"7:14",0,0,0.9
"51","Frans","Nielsen","DEN","F",0,1,0,1,1,2,0,"23:23",12,14,0.64
"38","Morten","Poulsen","DEN","F",1,0,0,0,1,3,0,"10:59",0,0,1.3
"93","Peter","Regin","DEN","F",0,0,0,0,0,1,0,"15:54",10,2,0.98
"63","Patrick","Russell","DEN","F",0,0,0,0,0,4,0,"21:44",0,0,0.4
"9","Frederik","Storm","DEN","F",0,0,0,0,0,2,0,"16:18",0,0,0.2
"2","Phillip","Bruggisser","DEN","D",0,0,0,0,0,3,0,"5:03",0,0,0.3
"48","Nicholas","Jensen","DEN","D",0,0,0,0,0,2,2,"21:33",0,0,-0.1
"28","Emil","Kristensen","DEN","D",0,0,0,0,0,0,2,"11:55",0,0,-0.3
"47","Oliver","Larsen","DEN","D",0,0,0,0,0,1,2,"14:40",0,0,-0.2
"15","Matias","Lassen","DEN","D",0,1,0,1,1,2,0,"17:49",0,0,0.86
"22","Markus","Lauridsen","DEN","D",1,0,0,0,1,2,0,"23:14",0,0,1.2
"25","Oliver","Lauridsen","DEN","D",0,0,0,0,0,1,0,"20:24",0,0,0.1
"32","Sebastian","Dahm","DEN","G",0,0,0,0,0,0,0,"60:00",0,0,0
"1","Frederik","Dichow","DEN","G",0,0,0,0,0,0,0,"0:00",0,0,0
"18","Rodrigo","Abols","LAT","F",0,0,0,0,0,1,0,"17:32",12,12,0.1
"95","Oskars","Batna","LAT","F",0,0,0,0,0,0,0,"15:02",5,6,-0.11
"14","Rihards","Bukarts","LAT","F",0,0,0,0,0,1,0,"15:39",0,0,0.1
"10","Lauris","Darzinš","LAT","F",2,0,0,0,2,4,2,"15:46",0,0,2.1
"16","Kaspars","Daugavinš","LAT","F",0,0,0,0,0,4,0,"19:01",0,0,0.4
"25","Andris","Džerinš","LAT","F",0,0,0,0,0,1,0,"15:33",6,7,-0.01
"17","Martinš","Dzierkals","LAT","F",0,0,0,0,0,2,0,"14:26",0,0,0.2
"70","Miks","Indrašis","LAT","F",0,0,0,0,0,1,2,"13:51",0,0,-0.2
"69","Nikolajs","Jelisejevs","LAT","F",0,0,0,0,0,3,2,"11:29",0,0,0
"91","Ronalds","Keninš","LAT","F",0,0,0,0,0,0,0,"17:09",0,0,0
"9","Renars","Krastenbergs","LAT","F",0,2,1,1,2,1,2,"15:33",0,0,1.36
"87","Gints","Meija","LAT","F",0,0,0,0,0,0,0,"0:00",0,0,0
"73","Deniss","Smirnovs","LAT","F",0,0,0,0,0,1,0,"9:19",2,5,-0.23
"26","Uvis","Balinskis","LAT","D",0,1,1,0,1,0,0,"17:50",0,0,0.9
"27","Oskars","Cibulskis","LAT","D",0,1,0,1,1,1,0,"18:28",0,0,0.76
"29","Ralfs","Freibergs","LAT","D",0,0,0,0,0,1,0,"15:42",0,0,0.1
"72","Janis","Jaks","LAT","D",0,0,0,0,0,2,0,"13:57",0,0,0.2
"55","Roberts","Mamcics","LAT","D",0,0,0,0,0,4,0,"15:31",0,0,0.4
"77","Kristaps","Zile","LAT","D",0,0,0,0,0,0,0,"15:43",0,0,0
"98","Janis","Kalninš","LAT","G",0,0,0,0,0,0,0,"7:47",0,0,0
"74","Ivars","Punnenovs","LAT","G",0,0,0,0,0,0,0,"51:41",0,0,0
