"No","First_Name","Last_Name","Tm","Pos","G","A","A1","A2","PTS","SOG","PIM","TOI","FOW","FOL","GS"
"20","Hannah","Brandt","USA","F",0,0,0,0,0,1,0,"21:11",8,14,-0.56
"24","Dani","Cameranesi","USA","F",1,0,0,0,1,6,0,"13:43",0,0,1.6
"25","Alex","Carpenter","USA","F",1,0,0,0,1,8,0,"17:04",1,1,1.8
"18","Jesse","Compher","USA","F",0,0,0,0,0,1,0,"10:58",6,7,-0.01
"26","Kendall","Coyne Schofield","USA","F",0,0,0,0,0,2,0,"21:26",0,0,0.2
"28","Amanda","Kessel","USA","F",0,1,1,0,1,2,0,"15:55",0,0,1.1
"21","Hilary","Knight","USA","F",0,0,0,0,0,4,0,"20:58",0,0,0.4
"37","Abbey","Murphy","USA","F",0,0,0,0,0,2,0,"11:28",0,0,0.2
"12","Kelly","Pannek","USA","F",0,1,1,0,1,4,0,"13:03",2,9,0.53
"11","Abby","Roque","USA","F",0,0,0,0,0,6,0,"17:18",12,1,1.81
"16","Hayley","Scamurra","USA","F",0,0,0,0,0,2,0,"10:36",0,0,0.2
"13","Grace","Zumwinkle","USA","F",0,0,0,0,0,3,0,"10:23",0,0,0.3
"3","Cayla","Barnes","USA","D",0,1,0,1,1,7,0,"24:45",0,0,1.36
"9","Megan","Bozek","USA","D",0,0,0,0,0,1,0,"11:33",0,0,0.1
"19","Jincy","Dunne","USA","D",0,0,0,0,0,2,0,"6:52",0,0,0.2
"15","Savannah","Harmon","USA","D",0,0,0,0,0,1,0,"24:38",0,0,0.1
"4","Caroline","Harvey","USA","D",0,0,0,0,0,0,2,"0:44",0,0,-0.3
"5","Megan","Keller","USA","D",0,1,0,1,1,0,0,"28:08",0,0,0.66
"2","Lee","Stecklein","USA","D",0,0,0,0,0,1,0,"19:29",0,0,0.1
"33","Alex","Cavallini","USA","G",0,0,0,0,0,0,0,"0:00",0,0,0
"35","Madeline","Rooney","USA","G",0,0,0,0,0,0,0,"57:23",0,0,0
"26","Emily","Clark","CAN","F",0,0,0,0,0,0,2,"19:39",0,0,-0.3
"10","Sarah","Fillier","CAN","F",0,1,1,0,1,1,0,"13:02",4,7,0.67
"19","Brianne","Jenner","CAN","F",2,0,0,0,2,2,0,"19:39",4,1,2.53
"6","Rebecca","Johnston","CAN","F",0,0,0,0,0,1,2,"16:20",0,0,-0.2
"27","Emma","Maltais","CAN","F",0,0,0,0,0,0,0,"6:26",1,0,0.11
"20","Sarah","Nurse","CAN","F",0,1,1,0,1,2,0,"17:46",0,1,0.99
"29","Marie-Philip","Poulin","CAN","F",1,1,0,1,2,5,0,"19:30",13,8,2.71
"47","Jamie Lee","Rattray","CAN","F",1,0,0,0,1,5,0,"12:51",0,0,1.5
"11","Jill","Saulnier","CAN","F",0,0,0,0,0,0,0,"3:49",0,0,0
"24","Natalie","Spooner","CAN","F",0,1,1,0,1,2,0,"11:05",0,0,1.1
"7","Laura","Stacey","CAN","F",0,0,0,0,0,0,2,"4:53",0,0,-0.3
"40","Blayre","Turnbull","CAN","F",0,0,0,0,0,1,2,"21:45",10,12,-0.42
"23","Erin","Ambrose","CAN","D",0,0,0,0,0,1,0,"18:12",0,0,0.1
"21","Ashton","Bell","CAN","D",0,0,0,0,0,0,0,"12:02",0,0,0
"14","Renata","Fast","CAN","D",0,0,0,0,0,0,0,"29:19",0,0,0
"28","Micah","Hart","CAN","D",0,1,0,1,1,0,0,"17:00",0,0,0.66
"3","Jocelyne","Larocque","CAN","D",0,0,0,0,0,3,2,"26:01",0,0,0
"17","Ella","Shelton","CAN","D",0,0,0,0,0,1,0,"2:07",0,0,0.1
"42","Claire","Thompson","CAN","D",0,0,0,0,0,3,2,"15:09",0,0,0
"35","Ann-Renée","Desbiens","CAN","G",0,0,0,0,0,0,0,"60:00",0,0,0
"38","Emerance","Maschmeyer","CAN","G",0,0,0,0,0,0,0,"0:00",0,0,0
