"No","First_Name","Last_Name","Tm","Pos","G","A","A1","A2","PTS","SOG","PIM","TOI","FOW","FOL","GS"
"26","Emily","Clark","CAN","F",0,1,1,0,1,0,2,"15:09",0,0,0.6
"10","Sarah","Fillier","CAN","F",2,0,0,0,2,5,0,"16:23",5,3,2.72
"19","Brianne","Jenner","CAN","F",3,1,1,0,4,7,0,"18:02",7,5,4.82
"6","Rebecca","Johnston","CAN","F",0,0,0,0,0,2,0,"13:32",0,0,0.2
"27","Emma","Maltais","CAN","F",0,1,1,0,1,2,2,"12:58",1,4,0.47
"20","Sarah","Nurse","CAN","F",3,0,0,0,3,7,0,"13:59",6,4,3.92
"29","Marie-Philip","Poulin","CAN","F",0,3,0,3,3,2,4,"17:21",9,1,2.46
"47","Jamie Lee","Rattray","CAN","F",1,1,0,1,2,3,0,"14:19",0,0,1.96
"11","Jill","Saulnier","CAN","F",0,0,0,0,0,2,0,"11:02",0,0,0.2
"24","Natalie","Spooner","CAN","F",0,4,2,2,4,1,0,"15:08",0,1,3.11
"7","Laura","Stacey","CAN","F",2,0,0,0,2,4,0,"10:39",0,0,2.4
"40","Blayre","Turnbull","CAN","F",0,0,0,0,0,4,2,"13:51",11,7,0.54
"23","Erin","Ambrose","CAN","D",0,1,1,0,1,4,0,"17:45",0,0,1.3
"21","Ashton","Bell","CAN","D",0,2,0,2,2,0,0,"12:45",0,0,1.32
"14","Renata","Fast","CAN","D",0,1,1,0,1,3,4,"21:13",0,0,0.6
"28","Micah","Hart","CAN","D",0,1,1,0,1,0,0,"18:15",0,0,0.9
"3","Jocelyne","Larocque","CAN","D",0,1,1,0,1,1,0,"19:29",0,0,1
"17","Ella","Shelton","CAN","D",0,2,1,1,2,0,0,"11:14",0,0,1.56
"42","Claire","Thompson","CAN","D",0,1,0,1,1,1,0,"12:28",0,0,0.76
"35","Ann-Renée","Desbiens","CAN","G",0,0,0,0,0,0,0,"60:00",0,0,0
"38","Emerance","Maschmeyer","CAN","G",0,0,0,0,0,0,0,"0:00",0,0,0
"23","Sanni","Hakala","FIN","F",0,0,0,0,0,2,0,"10:52",0,0,0.2
"10","Elisa","Holopainen","FIN","F",0,0,0,0,0,2,2,"13:59",0,0,-0.1
"33","Michelle","Karvinen","FIN","F",0,0,0,0,0,4,0,"19:39",0,0,0.4
"27","Julia","Liikala","FIN","F",0,0,0,0,0,0,0,"9:52",0,0,0
"16","Petra","Nieminen","FIN","F",0,0,0,0,0,4,0,"18:27",5,3,0.62
"61","Tanja","Niskanen","FIN","F",0,0,0,0,0,1,0,"11:29",3,7,-0.34
"28","Jenniina","Nylund","FIN","F",0,0,0,0,0,1,0,"10:50",0,2,-0.12
"34","Sofianna","Sundelin","FIN","F",0,0,0,0,0,1,0,"12:54",0,0,0.1
"77","Susanna","Tapani","FIN","F",0,0,0,0,0,0,0,"21:13",8,12,-0.44
"40","Noora","Tulus","FIN","F",0,0,0,0,0,1,0,"16:04",4,5,-0.01
"24","Viivi","Vainikka","FIN","F",0,0,0,0,0,2,0,"15:09",3,3,0.2
"12","Sanni","Vanhanen","FIN","F",0,0,0,0,0,1,0,"12:13",2,7,-0.45
"32","Emilia","Vesa","FIN","F",0,0,0,0,0,0,0,"0:07",0,0,0
"6","Jenni","Hiirikoski","FIN","D",0,0,0,0,0,6,0,"25:47",0,0,0.6
"2","Sini","Karjalainen","FIN","D",0,0,0,0,0,0,0,"10:17",0,0,0
"9","Nelli","Laitinen","FIN","D",0,0,0,0,0,2,0,"21:08",0,0,0.2
"7","Sanni","Rantala","FIN","D",0,0,0,0,0,0,4,"12:34",0,0,-0.6
"88","Ronja","Savolainen","FIN","D",0,0,0,0,0,1,0,"19:19",0,0,0.1
"15","Minnamari","Tuominen","FIN","D",1,0,0,0,1,1,0,"13:35",0,0,1.1
"8","Ella","Viitasuo","FIN","D",0,0,0,0,0,0,0,"14:12",0,0,0
"36","Anni","Keisala","FIN","G",0,0,0,0,0,0,0,"20:00",0,0,0
"18","Meeri","Räisänen","FIN","G",0,0,0,0,0,0,2,"40:00",0,0,-0.3
