"No","First_Name","Last_Name","Tm","Pos","G","A","A1","A2","PTS","SOG","PIM","TOI","FOW","FOL","GS"
"11","Josefin","Bouveng","SWE","F",0,0,0,0,0,3,0,"14:19",0,0,0.3
"29","Olivia","Carlsson","SWE","F",0,0,0,0,0,0,0,"11:33",0,0,0
"19","Sara","Hjalmarsson","SWE","F",0,0,0,0,0,1,2,"12:49",4,3,-0.09
"16","Linnea","Johansson","SWE","F",0,0,0,0,0,0,0,"8:37",1,2,-0.11
"15","Lisa","Johansson","SWE","F",1,0,0,0,1,1,0,"11:23",0,0,1.1
"25","Lina","Ljungblom","SWE","F",0,1,1,0,1,3,0,"17:23",2,0,1.42
"28","Michelle","Löwenhielm","SWE","F",0,0,0,0,0,2,0,"18:18",11,9,0.42
"17","Sofie","Lundin","SWE","F",0,2,2,0,2,0,0,"18:11",0,0,1.8
"13","Emma","Murén","SWE","F",0,0,0,0,0,1,0,"11:07",0,5,-0.45
"27","Emma","Nordin","SWE","F",1,0,0,0,1,3,0,"16:58",7,7,1.3
"22","Linn","Peterson","SWE","F",0,0,0,0,0,0,0,"9:33",0,0,0
"24","Felizia","Wikner-Zienkiewicz","SWE","F",0,0,0,0,0,0,4,"17:28",0,0,-0.6
"9","Jessica","Adolfsson","SWE","D",0,0,0,0,0,2,2,"19:42",0,0,-0.1
"4","Linnéa","Andersson","SWE","D",0,0,0,0,0,1,0,"5:18",0,0,0.1
"8","Ebba","Berglund","SWE","D",1,0,0,0,1,3,2,"18:09",0,0,1
"5","Johanna","Fällman","SWE","D",0,0,0,0,0,0,2,"14:43",0,0,-0.3
"3","Anna","Kjellbin","SWE","D",0,0,0,0,0,1,0,"16:41",0,0,0.1
"12","Maja","Nylén Persson","SWE","D",0,0,0,0,0,0,0,"20:27",0,0,0
"10","Mina","Waxin","SWE","D",0,1,0,1,1,0,2,"20:27",0,0,0.36
"35","Ida","Boman","SWE","G",0,0,0,0,0,0,0,"0:00",0,0,0
"30","Emma","Söderberg","SWE","G",0,0,0,0,0,0,0,"60:00",0,0,0
"50","Mia","Bau Hansen","DEN","F",0,0,0,0,0,0,0,"15:44",0,0,0
"13","Michele","Brix Nielsen","DEN","F",0,0,0,0,0,0,0,"3:28",0,0,0
"27","Lilli","Friis-Hansen","DEN","F",0,1,0,1,1,0,0,"9:59",0,0,0.66
"80","Julie","Funch Østergaard","DEN","F",0,0,0,0,0,2,2,"17:40",8,6,0.12
"4","Silke","Glud","DEN","F",0,0,0,0,0,1,0,"24:10",0,0,0.1
"63","Josefine","Jakobsen","DEN","F",0,1,1,0,1,6,0,"24:48",6,12,0.84
"14","Nicoline","Jensen","DEN","F",0,0,0,0,0,3,0,"27:00",5,5,0.3
"23","Julie","Oksbjerg","DEN","F",1,0,0,0,1,2,0,"9:17",0,0,1.2
"8","Josefine","Persson","DEN","F",0,0,0,0,0,4,4,"23:57",0,0,-0.2
"18","Maria","Peters","DEN","F",0,0,0,0,0,0,0,"5:19",0,0,0
"68","Emma","Russell","DEN","F",0,0,0,0,0,0,0,"2:11",0,0,0
"17","Sofia","Skriver","DEN","F",0,0,0,0,0,0,0,"1:48",0,0,0
"21","Michelle","Weis","DEN","F",0,0,0,0,0,1,2,"22:53",7,2,0.35
"11","Amalie","Andersen","DEN","D",0,0,0,0,0,1,0,"16:04",0,0,0.1
"19","Josephine","Asperup","DEN","D",0,0,0,0,0,1,0,"19:46",0,0,0.1
"89","Malene","Frandsen","DEN","D",0,0,0,0,0,2,0,"20:55",0,0,0.2
"87","Simone","Jacquet Thrysøe","DEN","D",0,0,0,0,0,2,0,"18:28",0,0,0.2
"2","Kristine","Melberg","DEN","D",0,0,0,0,0,1,0,"15:42",0,0,0.1
"15","Amanda","Refsgaard","DEN","D",0,0,0,0,0,0,2,"15:00",0,0,-0.3
"22","Sofie","Skott","DEN","D",0,0,0,0,0,0,0,"0:00",0,0,0
"30","Lisa","Jensen","DEN","G",0,0,0,0,0,0,0,"0:00",0,0,0
"72","Cassandra","Repstock-Romme","DEN","G",0,0,0,0,0,0,0,"58:00",0,0,0
