"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantFirstName","c_ParticipantLastName","c_Bib","n_StartOrder","NOC.n_ID","NOC.n_GeoID","NOC.c_Name","NOC.c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_TimeAbs","n_TimeRel","b_Completed","b_Upcoming","n_BDF_StartTime","c_BDF_StartTime","n_BDF_VideoSessionID","c_ClientStreamURL","c_ODF_IRM"
1,1351727,"NOEL Clement","NOEL C","Clément","Noël","4",25,  144, 2202,France,FRA, 1, 1,"1","49.79","49.79",49790,    0,TRUE,FALSE,1518048025,"456942:24:08",16,"https://stream.nbcolympics.com/alpine-skiing-slalom-mens-run-2",NA
1,1009818,"YULE Daniel","YULE D","Daniel","Yule","15",18,  149, 2213,Switzerland,SUI, 2, 2,"2","+0.10","49.89",49890,  100,TRUE,FALSE,1518048018,"456942:10:48",16,"https://stream.nbcolympics.com/alpine-skiing-slalom-mens-run-2",NA
1,1020851,"AERNI Luca","AERNI L","Luca","Aerni","17",12,  149, 2213,Switzerland,SUI, 3, 3,"3","+0.41","50.20",50200,  410,TRUE,FALSE,1518048012,"456941:59:02",16,"https://stream.nbcolympics.com/alpine-skiing-slalom-mens-run-2",NA
1, 652873,"RAZZOLI Giuliano","RAZZOLI G","Giuliano","Razzoli","18",19,    6, 2210,Italy,ITA, 4, 4,"4","+0.47","50.26",50260,  470,TRUE,FALSE,1518048019,"456942:12:27",16,"https://stream.nbcolympics.com/alpine-skiing-slalom-mens-run-2",NA
1,1023183,"SCHWARZ Marco","SCHWARZ M","Marco","Schwarz","6", 6,  151, 2219,Austria,AUT, 5, 5,"5","+0.56","50.35",50350,  560,TRUE,FALSE,1518048006,"456943:20:33",16,"https://stream.nbcolympics.com/alpine-skiing-slalom-mens-run-2",NA
1,1475277,"KOLEGA Samuel","KOLEGA S","Samuel","Kolega","30",13,   89, 4354,Croatia,CRO, 6, 6,"6","+0.63","50.42",50420,  630,TRUE,FALSE,1518048013,"456942:00:49",16,"https://stream.nbcolympics.com/alpine-skiing-slalom-mens-run-2",NA
1, 766597,"RYDING Dave","RYDING D","Dave","Ryding","13",15,  211, 4058,Great Britain,GBR, 7, 7,"7","+0.65","50.44",50440,  650,TRUE,FALSE,1518048015,"456942:03:58",16,"https://stream.nbcolympics.com/alpine-skiing-slalom-mens-run-2",NA
1,1245465,"POPOV Albert","POPOV A","Albert","Popov","22",22,  148, 2211,Bulgaria,BUL, 8, 8,"8","+0.74","50.53",50530,  740,TRUE,FALSE,1518048022,"456942:17:19",16,"https://stream.nbcolympics.com/alpine-skiing-slalom-mens-run-2",NA
1, 578601,"KHOROSHILOV Alexander","KHOROSHILOV A","Alexander","Khoroshilov","21",21,23062,73035,ROC,ROC, 9, 9,"9","+0.75","50.54",50540,  750,TRUE,FALSE,1518048021,"456942:15:46",16,"https://stream.nbcolympics.com/alpine-skiing-slalom-mens-run-2",NA
1,1245489,"MEILLARD Loic","MEILLARD L","Loïc","Meillard","11",27,  149, 2213,Switzerland,SUI,10,10,"10","+0.88","50.67",50670,  880,TRUE,FALSE,1518048027,"456942:28:02",16,"https://stream.nbcolympics.com/alpine-skiing-slalom-mens-run-2",NA
1,1022813,"ZENHAUSERN Ramon","ZENHAUSERN R","Ramon","Zenhäusern","1",20,  149, 2213,Switzerland,SUI,11,11,"11","+0.96","50.75",50750,  960,TRUE,FALSE,1518048020,"456942:21:14",16,"https://stream.nbcolympics.com/alpine-skiing-slalom-mens-run-2",NA
1,1087690,"STRASSER Linus","STRASSER L","Linus","Straßer","5",26,    2, 2206,Germany,GER,12,12,"12","+0.98","50.77",50770,  980,TRUE,FALSE,1518048026,"456942:26:11",16,"https://stream.nbcolympics.com/alpine-skiing-slalom-mens-run-2",NA
1,1020876,"STROLZ Johannes","STROLZ J","Johannes","Strolz","19",30,  151, 2219,Austria,AUT,13,13,"13","+0.99","50.78",50780,  990,TRUE,FALSE,1518048030,"456942:35:04",16,"https://stream.nbcolympics.com/alpine-skiing-slalom-mens-run-2",NA
