"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantFirstName","c_ParticipantLastName","c_Bib","n_StartOrder","NOC.n_ID","NOC.n_GeoID","NOC.c_Name","NOC.c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_TimeAbs","n_TimeRel","b_Completed","b_Upcoming","n_BDF_StartTime","c_BDF_StartTime","n_BDF_VideoSessionID","c_ClientStreamURL","c_ODF_IRM"
1,1020946,"VLHOVA Petra","VLHOVA P","Petra","Vlhová","2",23,   14, 2233,Slovakia,SVK, 1, 1,"1","52.09","52.09",52090,    0,TRUE,FALSE,1518048023,"456774:23:29",8,"https://stream.nbcolympics.com/alpine-skiing-slalom-womens-run-2",NA
1,1351921,"LIENSBERGER Katharina","LIENSBERGER K","Katharina","Liensberger","5",24,  151, 2219,Austria,AUT, 2, 2,"2","+0.14","52.23",52230,  140,TRUE,FALSE,1518048024,"456774:25:17",8,"https://stream.nbcolympics.com/alpine-skiing-slalom-womens-run-2",NA
1,1547772,"RAST Camille","RAST C","Camille","Rast","16",22,  149, 2213,Switzerland,SUI, 3, 3,"3","+0.31","52.40",52400,  310,TRUE,FALSE,1518048022,"456774:19:30",8,"https://stream.nbcolympics.com/alpine-skiing-slalom-womens-run-2",NA
1, 836102,"HOLDENER Wendy","HOLDENER W","Wendy","Holdener","6",26,  149, 2213,Switzerland,SUI, 4, 4,"4","+0.36","52.45",52450,  360,TRUE,FALSE,1518048026,"456774:28:49",8,"https://stream.nbcolympics.com/alpine-skiing-slalom-womens-run-2",NA
1,1351702,"SLOKAR Andreja","SLOKAR A","Andreja","Slokar","17",27,   30, 2783,Slovenia,SLO, 5, 5,"5","+0.47","52.56",52560,  470,TRUE,FALSE,1518048027,"456774:31:09",8,"https://stream.nbcolympics.com/alpine-skiing-slalom-womens-run-2",NA
1, 912574,"SWENN-LARSSON Anna","SWENN-LARSSON A","Anna","Swenn-Larsson","3",20,  154, 2222,Sweden,SWE, 6, 6,"6","+0.78","52.87",52870,  780,TRUE,FALSE,1518048020,"456774:16:23",8,"https://stream.nbcolympics.com/alpine-skiing-slalom-womens-run-2",NA
1, 833538,"BUCIK Ana","BUCIK A","Ana","Bucik","14",17,   30, 2783,Slovenia,SLO, 7, 7,"7","+0.85","52.94",52940,  850,TRUE,FALSE,1518048017,"456774:16:18",8,"https://stream.nbcolympics.com/alpine-skiing-slalom-womens-run-2",NA
1,1351703,"DANIOTH Aline","DANIOTH A","Aline","Danioth","28",18,  149, 2213,Switzerland,SUI, 8, 8,"8","+0.89","52.98",52980,  890,TRUE,FALSE,1518048018,"456774:13:27",8,"https://stream.nbcolympics.com/alpine-skiing-slalom-womens-run-2",NA
1, 718808,"DUERR Lena","DUERR L","Lena","Dürr","1",30,    2, 2206,Germany,GER, 9, 9,"9","+0.91","53.00",53000,  910,TRUE,FALSE,1518048030,"456774:37:06",8,"https://stream.nbcolympics.com/alpine-skiing-slalom-womens-run-2",NA
1,1147299,"ST-GERMAIN Laurence","ST-GERMAIN L","Laurence","St-Germain","9", 9,  159, 2231,Canada,CAN,10,10,"10","+0.97","53.06",53060,  970,TRUE,FALSE,1518048009,"456773:56:31",8,"https://stream.nbcolympics.com/alpine-skiing-slalom-womens-run-2",NA
1, 765136,"SHKANOVA Maria","SHKANOVA M","Maria","Shkanova","45", 6,  103, 4387,Belarus,BLR,11,11,"11","+1.01","53.10",53100, 1010,TRUE,FALSE,1518048006,"456773:51:56",8,"https://stream.nbcolympics.com/alpine-skiing-slalom-womens-run-2",NA
1,2177175,"AICHER Emma","AICHER E","Emma","Aicher","29",10,    2, 2206,Germany,GER,12,12,"12","+1.02","53.11",53110, 1020,TRUE,FALSE,1518048010,"456773:58:09",8,"https://stream.nbcolympics.com/alpine-skiing-slalom-womens-run-2",NA
1,1345945,"POPOVIC Leona","POPOVIC L","Leona","Popovic","10", 1,   89, 4354,Croatia,CRO,12,13,"12","+1.02","53.11",53110, 1020,TRUE,FALSE,1518048001,"456773:45:05",8,"https://stream.nbcolympics.com/alpine-skiing-slalom-womens-run-2",NA
