"ParticipantType","ParticipantID","Participant","ParticipantShort","ParticipantLastName","c_Bib","StartOrder","NOCID","NOCGeoID","NOCName","NOCShort","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_PointsAbs","c_ODF_QualificationMark","c_ResultInfo_1","c_ResultInfo_2","c_ResultInfo_3","c_ResultInfo_4","c_ResultInfo_5","b_Completed","b_Upcoming","TeamMemberList.n_Position1","TeamMemberList.n_Position2","TeamMemberList.n_Position3","TeamMemberList.n_Position4","TeamMemberList.n_PersonID1","TeamMemberList.n_PersonID2","TeamMemberList.n_PersonID3","TeamMemberList.n_PersonID4","TeamMemberList.c_Person1","TeamMemberList.c_Person2","TeamMemberList.c_Person3","TeamMemberList.c_Person4","TeamMemberList.c_PersonFirstName1","TeamMemberList.c_PersonFirstName2","TeamMemberList.c_PersonFirstName3","TeamMemberList.c_PersonFirstName4","TeamMemberList.c_PersonLastName1","TeamMemberList.c_PersonLastName2","TeamMemberList.c_PersonLastName3","TeamMemberList.c_PersonLastName4","TeamMemberList.c_PersonShort1","TeamMemberList.c_PersonShort2","TeamMemberList.c_PersonShort3","TeamMemberList.c_PersonShort4","TeamMemberList.c_Bib1","TeamMemberList.c_Bib2","TeamMemberList.c_Bib3","TeamMemberList.c_Bib4"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","727","Slovenia","SLO","Slovenia","8","1","30","2783","Slovenia","SLO","1","1","1","2","2","2000","QT","25.96","24.50","24.07","23.85","47.92","TRUE","FALSE","1","2","3","4","833538","1022826","1351702","920385","BUCIK Ana","HROBAT Miha","SLOKAR Andreja","KRANJEC Zan","Ana","Miha","Andreja","Žan","Bucik","Hrobat","Slokar","Kranjec","BUCIK A","HROBAT M","SLOKAR A","KRANJEC Z","81 - Run 1","85 - Run 2","83 - Run 3","86 - Run 4"
"4","366","France","FRA","France","5","1","144","2202","France","FRA","1","1","1","3","3","3000","Q","25.10","24.09","25.01","24.13",NA,"TRUE","FALSE","1","2","3","4","605623","764388","833099","833104","WORLEY Tessa","PINTURAULT Alexis","FRASSE SOMBET Coralie","FAIVRE Mathieu","Tessa","Alexis","Coralie","Mathieu","Worley","Pinturault","Frasse Sombet","Faivre","WORLEY T","PINTURAULT A","FRASSE SOMBET C","FAIVRE M","53 - Run 1","57 - Run 2","52 - Run 3","55 - Run 4"
"4","383","Norway","NOR","Norway","4","1","153","2221","Norway","NOR","1","1","1","2","2","2000","QT","DNF","24.36","24.28","DNF","48.64","TRUE","FALSE","1","2","3","4","1087660","1479794","1479807","1342956","TVIBERG Maria Therese","HAUGAN Timon","STJERNESUND Thea Louise","SOLHEIM Fabian Wilkens","Maria Therese","Timon","Thea Louise","Fabian Wilkens","Tviberg","Haugan","Stjernesund","Solheim","TVIBERG MT","HAUGAN T","STJERNESUND TL","SOLHEIM FW","43 - Run 1","45 - Run 2","42 - Run 3","46 - Run 4"
"4","550","Italy","ITA","Italy","3","1","6","2210","Italy","ITA","1","1","1","3","3","3000","Q","25.25","24.14","25.64","24.51",NA,"TRUE","FALSE","1","2","3","4","711462","769615","1147303","1629971","BRIGNONE Federica","DE ALIPRANDINI Luca","BASSINO Marta","VINATZER Alex","Federica","Luca","Marta","Alex","Brignone","De Aliprandini","Bassino","Vinatzer","BRIGNONE F","DE ALIPRANDINI L","BASSINO M","VINATZER A","32 - Run 1","35 - Run 2","31 - Run 3","37 - Run 4"
"4","939","United States","USA","United States","6","1","5","2209","United States","USA","1","1","1","3","3","3000","Q","25.91","24.00","24.98","24.72",NA,"TRUE","FALSE","1","2","3","4","920906","1475275","1119649","720759","SHIFFRIN Mikaela","RADAMUS River","MOLTZAN Paula","FORD Tommy","Mikaela","River","Paula","Tommy","Shiffrin","Radamus","Moltzan","Ford","SHIFFRIN M","RADAMUS R","MOLTZAN P","FORD T","63 - Run 1","66 - Run 2","62 - Run 3","65 - Run 4"
"4","358","Germany","GER","Germany","7","1","2","2206","Germany","GER","1","1","1","3","3","3000","Q","25.15","24.17","24.84","24.05",NA,"TRUE","FALSE","1","2","3","4","2177175","1087690","718808","1020826","AICHER Emma","STRASSER Linus","DUERR Lena","SCHMID Alexander","Emma","Linus","Lena","Alexander","Aicher","Straßer","Dürr","Schmid","AICHER E","STRASSER L","DUERR L","SCHMID A","71 - Run 1","77 - Run 2","72 - Run 3","76 - Run 4"
"4","701","Switzerland","SUI","Switzerland","2","1","149","2213","Switzerland","SUI","1","1","1","4","4","4000","Q","25.89","24.48","25.49","24.16",NA,"TRUE","FALSE","1","2","3","4","836102","832201","1021096","997065","HOLDENER Wendy","MURISIER Justin","ELLENBERGER Andrea","CAVIEZEL Gino","Wendy","Justin","Andrea","Gino","Holdener","Murisier","Ellenberger","Caviezel","HOLDENER W","MURISIER J","ELLENBERGER A","CAVIEZEL G","22 - Run 1","26 - Run 2","21 - Run 3","25 - Run 4"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2923","Canada","CAN","Canada","9","2","159","2231","Canada","CAN","2","2","2","2","2","2000",NA,"24.71","24.59","25.09","23.53","48.24","TRUE","FALSE","1","2","3","4","764375","769664","1782459","1005586","MIELZYNSKI Erin","READ Erik","GRAY Cassidy","PHILP Trevor","Erin","Erik","Cassidy","Trevor","Mielzynski","Read","Gray","Philp","MIELZYNSKI E","READ E","GRAY C","PHILP T","92 - Run 1","96 - Run 2","91 - Run 3","95 - Run 4"
