"n_PersonID","Team","c_Person","c_PersonShort","c_PersonFirstName","c_PersonLastName","c_FunctionShort","n_Sort","c_Value_GAME_SUCCESS","c_Value_CW","c_Value_CCW","c_Value_DRAW","c_Value_TAKEOUT","c_ValueRelative_GAME_SUCCESS","c_ValueRelative_CW","c_ValueRelative_CCW","c_ValueRelative_DRAW","c_ValueRelative_TAKEOUT"
1221195,"CHN","WANG Rui","WANG R","Rui","Wang","4-V",5,"16","5","11","9","7","55","50","57","44","68"
1475586,"CHN","HAN Yu","HAN Y","Yu","Han","3-S",5,"16","7","9","8","8","61","64","58","69","53"
1721079,"CHN","JIANG Xindi","JIANG X","Xindi","Jiang","A",5,"0","0","0","0","0","-","-","-","-","-"
1721083,"CHN","DONG Ziqi","DONG Z","Ziqi","Dong","2",5,"16","7","9","9","7","64","75","56","56","75"
1949354,"CHN","ZHANG Lijun","ZHANG L","Lijun","Zhang","1",5,"16","10","6","13","3","92","88","100","90","100"
340094,"JPN","ISHIZAKI Kotomi","ISHIZAKI K","Kotomi","Ishizaki","A",5,"0","0","0","0","0","-","-","-","-","-"
721946,"JPN","FUJISAWA Satsuki","FUJISAWA S","Satsuki","Fujisawa","4-S",5,"16","6","10","13","3","89","100","83","87","100"
1221183,"JPN","YOSHIDA Chinami","YOSHIDA C","Chinami","Yoshida","3-V",5,"16","8","8","9","7","80","84","75","75","86"
1453422,"JPN","YOSHIDA Yurika","YOSHIDA Y","Yurika","Yoshida","1",5,"16","4","12","13","3","88","94","85","87","92"
1453423,"JPN","SUZUKI Yumi","SUZUKI Y","Yumi","Suzuki","2",5,"16","4","12","8","8","91","75","96","94","88"
