"n_PersonID","Team","c_Person","c_PersonShort","c_PersonFirstName","c_PersonLastName","c_FunctionShort","n_Sort","c_Value_GAME_SUCCESS","c_Value_CW","c_Value_CCW","c_Value_DRAW","c_Value_TAKEOUT","c_ValueRelative_GAME_SUCCESS","c_ValueRelative_CW","c_ValueRelative_CCW","c_ValueRelative_DRAW","c_ValueRelative_TAKEOUT"
1235627,"KOR","KIM Eun-Jung","KIM EJ","Eun-Jung","Kim","4-S",5,"20","13","7","6","14","93","96","86","88","95"
1235648,"KOR","KIM Kyeong-Ae","KIM KA","Kyeong-Ae","Kim","3-V",5,"20","13","7","6","14","86","81","96","79","89"
1235698,"KOR","KIM Seon-Yeong","KIM SY","Seon-Yeong","Kim","1",5,"19","13","6","19","0","80","83","75","80","-"
1235704,"KOR","KIM Yeong-Mi","KIM YM","Yeong-Mi","Kim","A",5,"0","0","0","0","0","-","-","-","-","-"
1550327,"KOR","KIM Chohi","KIM C","Chohi","Kim","2",5,"20","13","7","7","13","88","81","100","71","96"
771133,"ROC","ARSENKINA Galina","ARSENKINA G","Galina","Arsenkina","2",5,"20","16","4","14","6","80","78","88","86","67"
1149935,"ROC","KOVALEVA Alina","KOVALEVA A","Alina","Kovaleva","4-S",5,"19","10","9","12","7","79","85","72","71","93"
1149971,"ROC","PORTUNOVA Yulia","PORTUNOVA Y","Yulia","Portunova","3-V",5,"20","11","9","12","8","83","84","81","73","97"
1366650,"ROC","KUZMINA Ekaterina","KUZMINA E","Ekaterina","Kuzmina","1",5,"20","12","8","19","1","90","100","75","95","0"
1482314,"ROC","KOMAROVA Maria","KOMAROVA M","Maria","Komarova","A",5,"0","0","0","0","0","-","-","-","-","-"
