"n_PersonID","Team","c_Person","c_PersonShort","c_PersonFirstName","c_PersonLastName","c_FunctionShort","n_Sort","c_Value_GAME_SUCCESS","c_Value_CW","c_Value_CCW","c_Value_DRAW","c_Value_TAKEOUT","c_ValueRelative_GAME_SUCCESS","c_ValueRelative_CW","c_ValueRelative_CCW","c_ValueRelative_DRAW","c_ValueRelative_TAKEOUT"
1022644,"GBR","MCMILLAN Hammy","MCMILLAN H","Hammy","McMillan","1",5,"20","17","3","20","0","83","82","83","83","-"
1366640,"GBR","LAMMIE Bobby","LAMMIE B","Bobby","Lammie","2",5,"20","12","8","9","11","88","90","84","81","93"
1366641,"GBR","MOUAT Bruce","MOUAT B","Bruce","Mouat","4-S",5,"20","9","11","11","9","90","94","86","84","97"
1475594,"GBR","WHYTE Ross","WHYTE R","Ross","Whyte","A",5,"0","0","0","0","0","-","-","-","-","-"
1716751,"GBR","HARDIE Grant","HARDIE G","Grant","Hardie","3-V",5,"20","9","11","7","13","90","97","84","93","88"
428699,"ITA","RETORNAZ Joel","RETORNAZ J","Joel","Retornaz","4-S",5,"20","12","8","11","9","85","81","91","91","78"
1022627,"ITA","MOSANER Amos","MOSANER A","Amos","Mosaner","3",5,"20","8","12","8","12","84","81","85","88","81"
1022667,"ITA","ARMAN Sebastiano","ARMAN S","Sebastiano","Arman","2",5,"20","10","10","9","11","76","90","63","89","66"
1158337,"ITA","GONIN Simone","GONIN S","Simone","Gonin","1-V",5,"20","16","4","18","2","88","86","94","92","50"
1954347,"ITA","GIOVANELLA Mattia","GIOVANELLA M","Mattia","Giovanella","A",5,"0","0","0","0","0","-","-","-","-","-"
