"n_PersonID","Team","c_Person","c_PersonShort","c_PersonFirstName","c_PersonLastName","c_FunctionShort","n_Sort","c_Value_GAME_SUCCESS","c_Value_CW","c_Value_CCW","c_Value_DRAW","c_Value_TAKEOUT","c_ValueRelative_GAME_SUCCESS","c_ValueRelative_CW","c_ValueRelative_CCW","c_ValueRelative_DRAW","c_ValueRelative_TAKEOUT"
458196,"USA","SHUSTER John","SHUSTER J","John","Shuster","4-S",5,"19","4","15","6","13","87","100","83","100","81"
721966,"USA","PLYS Chris","PLYS C","Chris","Plys","3-V",5,"20","7","13","6","14","73","100","58","58","79"
721969,"USA","HAMILTON Matt","HAMILTON M","Matt","Hamilton","2",5,"20","11","9","9","11","88","89","86","83","91"
931762,"USA","LANDSTEINER John","LANDSTEINER J","John","Landsteiner","1",5,"20","6","14","19","1","79","75","80","78","100"
1221219,"USA","HUFMAN Colin","HUFMAN C","Colin","Hufman","A",5,"0","0","0","0","0","-","-","-","-","-"
1022644,"GBR","MCMILLAN Hammy","MCMILLAN H","Hammy","McMillan","1",5,"20","10","10","18","2","96","100","93","96","100"
1366640,"GBR","LAMMIE Bobby","LAMMIE B","Bobby","Lammie","2",5,"20","10","10","8","12","90","98","83","94","88"
1366641,"GBR","MOUAT Bruce","MOUAT B","Bruce","Mouat","4-S",5,"20","8","12","8","12","90","94","88","88","92"
1475594,"GBR","WHYTE Ross","WHYTE R","Ross","Whyte","A",5,"0","0","0","0","0","-","-","-","-","-"
1716751,"GBR","HARDIE Grant","HARDIE G","Grant","Hardie","3-V",5,"20","7","13","7","13","84","75","88","79","87"
