"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantLastName","c_Bib","n_StartOrder","NOC.n_ID","NOC.n_GeoID","NOC.c_Name","NOC.c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_TimeAbs","n_TimeRel","c_ResultInfo_1","c_ResultInfo_2","b_Completed","b_Upcoming","n_BDF_StartTime","n_BDF_VideoSessionID","c_ClientStreamURL","n_Position1","n_Position2","n_Position3","n_Position4","n_PersonID1","n_PersonID2","n_PersonID3","n_PersonID4","c_Person1","c_Person2","c_Person3","c_Person4","c_PersonFirstName1","c_PersonFirstName2","c_PersonFirstName3","c_PersonFirstName4","c_PersonLastName1","c_PersonLastName2","c_PersonLastName3","c_PersonLastName4","c_PersonShort1","c_PersonShort2","c_PersonShort3","c_PersonShort4","n_BDF_VideoSessionID1","n_BDF_VideoSessionID2","n_BDF_VideoSessionID3","n_BDF_VideoSessionID4","c_ClientStreamURL1","c_ClientStreamURL2","c_ClientStreamURL3","c_ClientStreamURL4"
4, 823159,"Germany","GER","Germany","4",20,    2, 2206,Germany,GER, 1, 1,"1","59.13","59.13",59130,  0,"FRIEDRICH Francesco","136.0",TRUE,FALSE,1518048020,244,"https://stream.nbcolympics.com/four-man-bobsled-heats-3-4","1","2","3","4","823159","1012833","1355453","1551064","FRIEDRICH Francesco","MARGIS Thorsten","BAUER Candy","SCHULLER Alexander","Francesco","Thorsten","Candy","Alexander","Friedrich","Margis","Bauer","Schüller","FRIEDRICH F","MARGIS T","BAUER C","SCHULLER A","244","244","244","244","https://stream.nbcolympics.com/four-man-bobsled-heats-3-4","https://stream.nbcolympics.com/four-man-bobsled-heats-3-4","https://stream.nbcolympics.com/four-man-bobsled-heats-3-4","https://stream.nbcolympics.com/four-man-bobsled-heats-3-4"
4,1337470,"Germany","GER","Germany","12",17,    2, 2206,Germany,GER, 2, 2,"2","+0.12","59.25",59250,120,"HAFER Christoph","135.1",TRUE,FALSE,1518048017,244,"https://stream.nbcolympics.com/four-man-bobsled-heats-3-4","1","2","3","4","1337470","879151","1458194","1563811","HAFER Christoph","SALZER Michael","SOMMER Matthias","SCHNEIDER Tobias","Christoph","Michael","Matthias","Tobias","Hafer","Salzer","Sommer","Schneider","HAFER C","SALZER M","SOMMER M","SCHNEIDER T","244","244","244","244","https://stream.nbcolympics.com/four-man-bobsled-heats-3-4","https://stream.nbcolympics.com/four-man-bobsled-heats-3-4","https://stream.nbcolympics.com/four-man-bobsled-heats-3-4","https://stream.nbcolympics.com/four-man-bobsled-heats-3-4"
4, 654193,"Canada","CAN","Canada","5",18,  159, 2231,Canada,CAN, 3, 3,"3","+0.14","59.27",59270,140,"KRIPPS Justin","137.2",TRUE,FALSE,1518048018,244,"https://stream.nbcolympics.com/four-man-bobsled-heats-3-4","1","2","3","4","654193","1939010","1467428","1112810","KRIPPS Justin","SOMMER Ryan","STONES Cameron","COAKWELL Ben","Justin","Ryan","Cameron","Ben","Kripps","Sommer","Stones","Coakwell","KRIPPS J","SOMMER R","STONES C","COAKWELL B","244","244","244","244","https://stream.nbcolympics.com/four-man-bobsled-heats-3-4","https://stream.nbcolympics.com/four-man-bobsled-heats-3-4","https://stream.nbcolympics.com/four-man-bobsled-heats-3-4","https://stream.nbcolympics.com/four-man-bobsled-heats-3-4"
4,1014132,"Italy","ITA","Italy","3", 4,    6, 2210,Italy,ITA, 4, 4,"4","+0.15","59.28",59280,150,"BAUMGARTNER Patrick","136.6",TRUE,FALSE,1518048004,244,"https://stream.nbcolympics.com/four-man-bobsled-heats-3-4","1","2","3","4","1014132","1963977","1737598","1569240","BAUMGARTNER Patrick","FANTAZZINI Eric","VERGINER Alex","BILOTTI Lorenzo","Patrick","Eric","Alex","Lorenzo","Baumgartner","Fantazzini","Verginer","Bilotti","BAUMGARTNER P","FANTAZZINI E","VERGINER A","BILOTTI L","244","244","244","244","https://stream.nbcolympics.com/four-man-bobsled-heats-3-4","https://stream.nbcolympics.com/four-man-bobsled-heats-3-4","https://stream.nbcolympics.com/four-man-bobsled-heats-3-4","https://stream.nbcolympics.com/four-man-bobsled-heats-3-4"
4,1239754,"Germany","GER","Germany","6",19,    2, 2206,Germany,GER, 5, 5,"5","+0.17","59.30",59300,170,"LOCHNER Johannes","135.9",TRUE,FALSE,1518048019,244,"https://stream.nbcolympics.com/four-man-bobsled-heats-3-4","1","2","3","4","1239754","1720339","1563729","1458940","LOCHNER Johannes","BAUER Florian","WEBER Christopher","RASP Christian","Johannes","Florian","Christopher","Christian","Lochner","Bauer","Weber","Rasp","LOCHNER J","BAUER F","WEBER C","RASP C","244","244","244","244","https://stream.nbcolympics.com/four-man-bobsled-heats-3-4","https://stream.nbcolympics.com/four-man-bobsled-heats-3-4","https://stream.nbcolympics.com/four-man-bobsled-heats-3-4","https://stream.nbcolympics.com/four-man-bobsled-heats-3-4"
4,1023339,"Latvia","LAT","Latvia","9",16,    9, 2218,Latvia,LAT, 5, 6,"5","+0.17","59.30",59300,170,"KIBERMANIS Oskars","135.6",TRUE,FALSE,1518048016,244,"https://stream.nbcolympics.com/four-man-bobsled-heats-3-4","1","2","3","4","1023339","1174086","1337495","1938994","KIBERMANIS Oskars","SPRINGIS Davis","MIKNIS Matiss","NEMME Edgars","Oskars","Davis","Matiss","Edgars","Kibermanis","Springis","Miknis","Nemme","KIBERMANIS O","SPRINGIS D","MIKNIS M","NEMME E","244","244","244","244","https://stream.nbcolympics.com/four-man-bobsled-heats-3-4","https://stream.nbcolympics.com/four-man-bobsled-heats-3-4","https://stream.nbcolympics.com/four-man-bobsled-heats-3-4","https://stream.nbcolympics.com/four-man-bobsled-heats-3-4"
4,1124999,"Great Britain","GBR","Great Britain","8",15,  211, 4058,Great Britain,GBR, 7, 7,"7","+0.25","59.38",59380,250,"HALL Bradley","135.6",TRUE,FALSE,1518048015,244,"https://stream.nbcolympics.com/four-man-bobsled-heats-3-4","1","2","3","4","1124999","2062496","1563812","1563744","HALL Bradley","LAWRENCE Taylor","GLEESON Nicholas","CACKETT Greg","Bradley","Taylor","Nicholas","Greg","Hall","Lawrence","Gleeson","Cackett","HALL B","LAWRENCE T","GLEESON N","CACKETT G","244","244","244","244","https://stream.nbcolympics.com/four-man-bobsled-heats-3-4","https://stream.nbcolympics.com/four-man-bobsled-heats-3-4","https://stream.nbcolympics.com/four-man-bobsled-heats-3-4","https://stream.nbcolympics.com/four-man-bobsled-heats-3-4"
4,1125013,"ROC","ROC","ROC","14",13,23062,73035,ROC,ROC, 8, 8,"8","+0.27","59.40",59400,270,"ANDRIANOV Maxim","136.6",TRUE,FALSE,1518048013,244,"https://stream.nbcolympics.com/four-man-bobsled-heats-3-4","1","2","3","4","1125013","1239768","1551078","1397099","ANDRIANOV Maxim","ZAYTSEV Aleksey","ZHAROVTSEV Vladislav","LOPIN Dmitriy","Maxim","Aleksey","Vladislav","Dmitriy","Andrianov","Zaytsev","Zharovtsev","Lopin","ANDRIANOV M","ZAYTSEV A","ZHAROVTSEV V","LOPIN D","244","244","244","244","https://stream.nbcolympics.com/four-man-bobsled-heats-3-4","https://stream.nbcolympics.com/four-man-bobsled-heats-3-4","https://stream.nbcolympics.com/four-man-bobsled-heats-3-4","https://stream.nbcolympics.com/four-man-bobsled-heats-3-4"
4,1729454,"Switzerland","SUI","Switzerland","11", 9,  149, 2213,Switzerland,SUI, 9, 9,"9","+0.31","59.44",59440,310,"VOGT Michael","135.5",TRUE,FALSE,1518048009,244,"https://stream.nbcolympics.com/four-man-bobsled-heats-3-4","1","2","3","4","1729454","2157791","1734641","1748758","VOGT Michael","ROLLI Luca","BIERI Cyril","MICHEL Sandro","Michael","Luca","Cyril","Sandro","Vogt","Rolli","Bieri","Michel","VOGT M","ROLLI L","BIERI C","MICHEL S","244","244","244","244","https://stream.nbcolympics.com/four-man-bobsled-heats-3-4","https://stream.nbcolympics.com/four-man-bobsled-heats-3-4","https://stream.nbcolympics.com/four-man-bobsled-heats-3-4","https://stream.nbcolympics.com/four-man-bobsled-heats-3-4"
4,1457403,"United States","USA","United States","17", 6,    5, 2209,United States,USA, 9,10,"9","+0.31","59.44",59440,310,"DEL DUCA Frank","135.4",TRUE,FALSE,1518048006,244,"https://stream.nbcolympics.com/four-man-bobsled-heats-3-4","1","2","3","4","1457403","1338817","1338816","1467425","DEL DUCA Frank","VALDES Carlo","REED James","ABDUL-SABOOR Hakeem","Frank","Carlo","James","Hakeem","Del Duca","Valdes","Reed","Abdul-Saboor","DEL DUCA F","VALDES C","REED J","ABDUL-SABOOR H","244","244","244","244","https://stream.nbcolympics.com/four-man-bobsled-heats-3-4","https://stream.nbcolympics.com/four-man-bobsled-heats-3-4","https://stream.nbcolympics.com/four-man-bobsled-heats-3-4","https://stream.nbcolympics.com/four-man-bobsled-heats-3-4"
