"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantLastName","c_Bib","n_StartOrder","NOC.n_ID","NOC.n_GeoID","NOC.c_Name","NOC.c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_TimeAbs","n_TimeRel","c_ResultInfo_1","b_Completed","b_Upcoming","n_BDF_StartTime","n_BDF_VideoSessionID","c_ClientStreamURL","n_Position1","n_Position2","n_PersonID1","n_PersonID2","c_Person1","c_Person2","c_PersonFirstName1","c_PersonFirstName2","c_PersonLastName1","c_PersonLastName2","c_PersonShort1","c_PersonShort2","n_BDF_VideoSessionID1","n_BDF_VideoSessionID2","c_ClientStreamURL1","c_ClientStreamURL2"
2, 823159,"FRIEDRICH F/MARGIS T","Friedrich/Margis","Friedrich/Margis","4", 4,    2, 2206,Germany,GER, 1, 1,"1","59.02","59.02",59020,   0,"135.9",TRUE,FALSE,1518048004,239,"https://stream.nbcolympics.com/two-man-bobsled-heats-1-2","1","2","823159","1012833","FRIEDRICH Francesco","MARGIS Thorsten","Francesco","Thorsten","Friedrich","Margis","FRIEDRICH F","MARGIS T","239","239","https://stream.nbcolympics.com/two-man-bobsled-heats-1-2","https://stream.nbcolympics.com/two-man-bobsled-heats-1-2"
2,1239754,"LOCHNER J/BAUER F","Lochner/Bauer","Lochner/Bauer","6", 6,    2, 2206,Germany,GER, 2, 2,"2","+0.24","59.26",59260, 240,"135.5",TRUE,FALSE,1518048006,239,"https://stream.nbcolympics.com/two-man-bobsled-heats-1-2","1","2","1239754","1720339","LOCHNER Johannes","BAUER Florian","Johannes","Florian","Lochner","Bauer","LOCHNER J","BAUER F","239","239","https://stream.nbcolympics.com/two-man-bobsled-heats-1-2","https://stream.nbcolympics.com/two-man-bobsled-heats-1-2"
2,1592029,"GAITIUKEVICH R/LAPTEV A","Gaitiukevich/Laptev","Gaitiukevich/Laptev","7", 7,23062,73035,ROC,ROC, 3, 3,"3","+0.39","59.41",59410, 390,"134.5",TRUE,FALSE,1518048007,239,"https://stream.nbcolympics.com/two-man-bobsled-heats-1-2","1","2","1592029","2160926","GAITIUKEVICH Rostislav","LAPTEV Aleksey","Rostislav","Aleksey","Gaitiukevich","Laptev","GAITIUKEVICH R","LAPTEV A","239","239","https://stream.nbcolympics.com/two-man-bobsled-heats-1-2","https://stream.nbcolympics.com/two-man-bobsled-heats-1-2"
2,1337470,"HAFER C/SOMMER M","Hafer/Sommer","Hafer/Sommer","9", 9,    2, 2206,Germany,GER, 4, 4,"4","+0.42","59.44",59440, 420,"135.3",TRUE,FALSE,1518048009,239,"https://stream.nbcolympics.com/two-man-bobsled-heats-1-2","1","2","1337470","1458194","HAFER Christoph","SOMMER Matthias","Christoph","Matthias","Hafer","Sommer","HAFER C","SOMMER M","239","239","https://stream.nbcolympics.com/two-man-bobsled-heats-1-2","https://stream.nbcolympics.com/two-man-bobsled-heats-1-2"
2,1014145,"MAIER B/SAMMER M","Maier/Sammer","Maier/Sammer","14",14,  151, 2219,Austria,AUT, 5, 5,"5","+0.49","59.51",59510, 490,"135.1",TRUE,FALSE,1518048014,239,"https://stream.nbcolympics.com/two-man-bobsled-heats-1-2","1","2","1014145","1012853","MAIER Benjamin","SAMMER Markus","Benjamin","Markus","Maier","Sammer","MAIER B","SAMMER M","239","239","https://stream.nbcolympics.com/two-man-bobsled-heats-1-2","https://stream.nbcolympics.com/two-man-bobsled-heats-1-2"
2, 764863,"SPRING C/EVELYN M","Spring/Evelyn","Spring/Evelyn","15",15,  159, 2231,Canada,CAN, 6, 6,"6","+0.52","59.54",59540, 520,"134.2",TRUE,FALSE,1518048015,239,"https://stream.nbcolympics.com/two-man-bobsled-heats-1-2","1","2","764863","2167049","SPRING Chris","EVELYN Mike","Chris","Mike","Spring","Evelyn","SPRING C","EVELYN M","239","239","https://stream.nbcolympics.com/two-man-bobsled-heats-1-2","https://stream.nbcolympics.com/two-man-bobsled-heats-1-2"
2,1729454,"VOGT M/MICHEL S","Vogt/Michel","Vogt/Michel","11",11,  149, 2213,Switzerland,SUI, 7, 7,"7","+0.55","59.57",59570, 550,"134.8",TRUE,FALSE,1518048011,239,"https://stream.nbcolympics.com/two-man-bobsled-heats-1-2","1","2","1729454","1748758","VOGT Michael","MICHEL Sandro","Michael","Sandro","Vogt","Michel","VOGT M","MICHEL S","239","239","https://stream.nbcolympics.com/two-man-bobsled-heats-1-2","https://stream.nbcolympics.com/two-man-bobsled-heats-1-2"
2, 654193,"KRIPPS J/STONES C","Kripps/Stones","Kripps/Stones","5", 5,  159, 2231,Canada,CAN, 8, 8,"8","+0.59","59.61",59610, 590,"134.2",TRUE,FALSE,1518048005,239,"https://stream.nbcolympics.com/two-man-bobsled-heats-1-2","1","2","654193","1467428","KRIPPS Justin","STONES Cameron","Justin","Cameron","Kripps","Stones","KRIPPS J","STONES C","239","239","https://stream.nbcolympics.com/two-man-bobsled-heats-1-2","https://stream.nbcolympics.com/two-man-bobsled-heats-1-2"
2,1014143,"RINALDI R/VAIN B","Rinaldi/Vain","Rinaldi/Vain","1", 1,   22, 2249,Monaco,MON, 9, 9,"9","+0.60","59.62",59620, 600,"135.9",TRUE,FALSE,1518048001,239,"https://stream.nbcolympics.com/two-man-bobsled-heats-1-2","1","2","1014143","1139113","RINALDI Rudy","VAIN Boris","Rudy","Boris","Rinaldi","Vain","RINALDI R","VAIN B","239","239","https://stream.nbcolympics.com/two-man-bobsled-heats-1-2","https://stream.nbcolympics.com/two-man-bobsled-heats-1-2"
2,1023339,"KIBERMANIS O/MIKNIS M","Kibermanis/Miknis","Kibermanis/Miknis","12",12,    9, 2218,Latvia,LAT,10,10,"10","+0.63","59.65",59650, 630,"134.2",TRUE,FALSE,1518048012,239,"https://stream.nbcolympics.com/two-man-bobsled-heats-1-2","1","2","1023339","1337495","KIBERMANIS Oskars","MIKNIS Matiss","Oskars","Matiss","Kibermanis","Miknis","KIBERMANIS O","MIKNIS M","239","239","https://stream.nbcolympics.com/two-man-bobsled-heats-1-2","https://stream.nbcolympics.com/two-man-bobsled-heats-1-2"
2,1124999,"HALL B/GLEESON N","Hall/Gleeson","Hall/Gleeson","8", 8,  211, 4058,Great Britain,GBR,11,11,"11","+0.67","59.69",59690, 670,"135.0",TRUE,FALSE,1518048008,239,"https://stream.nbcolympics.com/two-man-bobsled-heats-1-2","1","2","1124999","1563812","HALL Bradley","GLEESON Nicholas","Bradley","Nicholas","Hall","Gleeson","HALL B","GLEESON N","239","239","https://stream.nbcolympics.com/two-man-bobsled-heats-1-2","https://stream.nbcolympics.com/two-man-bobsled-heats-1-2"
2,1469894,"TENTEA M/DAROCZI NC","Tentea/Daroczi","Tentea/Daroczi","19",19,  164, 2244,Romania,ROU,12,12,"12","+0.81","59.83",59830, 810,"134.9",TRUE,FALSE,1518048019,239,"https://stream.nbcolympics.com/two-man-bobsled-heats-1-2","1","2","1469894","1408208","TENTEA Mihai","DAROCZI Nicolae Ciprian","Mihai","Nicolae Ciprian","Tentea","Daroczi","TENTEA M","DAROCZI NC","239","239","https://stream.nbcolympics.com/two-man-bobsled-heats-1-2","https://stream.nbcolympics.com/two-man-bobsled-heats-1-2"
2,1457403,"DEL DUCA F/ABDUL-SABOOR H","Del Duca/Abdul-Saboor","Del Duca/Abdul-Saboor","17",17,    5, 2209,United States,USA,13,13,"13","+0.85","59.87",59870, 850,"133.9",TRUE,FALSE,1518048017,239,"https://stream.nbcolympics.com/two-man-bobsled-heats-1-2","1","2","1457403","1467425","DEL DUCA Frank","ABDUL-SABOOR Hakeem","Frank","Hakeem","Del Duca","Abdul-Saboor","DEL DUCA F","ABDUL-SABOOR H","239","239","https://stream.nbcolympics.com/two-man-bobsled-heats-1-2","https://stream.nbcolympics.com/two-man-bobsled-heats-1-2"
2, 911732,"South Korea","Won/Kim","Won/Kim","16",16,  106, 4391,South Korea,KOR,14,14,"14","+0.87","59.89",59890, 870,"133.9",TRUE,FALSE,1518048016,239,"https://stream.nbcolympics.com/two-man-bobsled-heats-1-2","1","2","911732","1221460","YUN-JONG Won","KIM Jinsu","Yunjong","Jinsu","Won","Kim","YUN-JONG W","KIM J","239","239","https://stream.nbcolympics.com/two-man-bobsled-heats-1-2","https://stream.nbcolympics.com/two-man-bobsled-heats-1-2"
2,1123833,"DVORAK D/NOSEK J","Dvorak/Nosek","Dvorak/Nosek","24",24,   17, 2240,Czech Republic,CZE,15,15,"15","+0.88","59.90",59900, 880,"134.0",TRUE,FALSE,1518048024,239,"https://stream.nbcolympics.com/two-man-bobsled-heats-1-2","1","2","1123833","1337484","DVORAK Dominik","NOSEK Jakub","Dominik","Jakub","Dvorak","Nosek","DVORAK D","NOSEK J","239","239","https://stream.nbcolympics.com/two-man-bobsled-heats-1-2","https://stream.nbcolympics.com/two-man-bobsled-heats-1-2"
2, 995128,"HEINRICH R/HAUTERVILLE D","Heinrich/Hauterville","Heinrich/Hauterville","13",13,  144, 2202,France,FRA,16,16,"16","+0.91","59.93",59930, 910,"133.4",TRUE,FALSE,1518048013,239,"https://stream.nbcolympics.com/two-man-bobsled-heats-1-2","1","2","995128","1563682","HEINRICH Romain","HAUTERVILLE Dorian","Romain","Dorian","Heinrich","Hauterville","HEINRICH R","HAUTERVILLE D","239","239","https://stream.nbcolympics.com/two-man-bobsled-heats-1-2","https://stream.nbcolympics.com/two-man-bobsled-heats-1-2"
2, 994209,"FRIEDLI S/HAAS A","Friedli/Haas","Friedli/Haas","10",10,  149, 2213,Switzerland,SUI,17,17,"17","+0.95","59.97",59970, 950,"133.2",TRUE,FALSE,1518048010,239,"https://stream.nbcolympics.com/two-man-bobsled-heats-1-2","1","2","994209","2157768","FRIEDLI Simon","HAAS Andreas","Simon","Andreas","Friedli","Haas","FRIEDLI S","HAAS A","239","239","https://stream.nbcolympics.com/two-man-bobsled-heats-1-2","https://stream.nbcolympics.com/two-man-bobsled-heats-1-2"
2,2058224,"CIPULIS E/NEMME E","Cipulis/Nemme","Cipulis/Nemme","20",20,    9, 2218,Latvia,LAT,18,18,"18","+0.98","1:00.00",60000, 980,"132.8",TRUE,FALSE,1518048020,239,"https://stream.nbcolympics.com/two-man-bobsled-heats-1-2","1","2","2058224","1938994","CIPULIS Emils","NEMME Edgars","Emils","Edgars","Cipulis","Nemme","CIPULIS E","NEMME E","239","239","https://stream.nbcolympics.com/two-man-bobsled-heats-1-2","https://stream.nbcolympics.com/two-man-bobsled-heats-1-2"
2,1720351,"SUN K/WU Q","Sun/Wu","Sun/Wu","22",22,   26, 2770,China,CHN,19,19,"19","+1.02","1:00.04",60040,1020,"133.2",TRUE,FALSE,1518048022,239,"https://stream.nbcolympics.com/two-man-bobsled-heats-1-2","1","2","1720351","1940417","SUN Kaizhi","WU Qingze","Kaizhi","Qingze","Sun","Wu","SUN K","WU Q","239","239","https://stream.nbcolympics.com/two-man-bobsled-heats-1-2","https://stream.nbcolympics.com/two-man-bobsled-heats-1-2"
2,1014132,"BAUMGARTNER P/MIRCEA R","Baumgartner/Mircea","Baumgartner/Mircea","26",26,    6, 2210,Italy,ITA,20,20,"20","+1.06","1:00.08",60080,1060,"134.1",TRUE,FALSE,1518048026,239,"https://stream.nbcolympics.com/two-man-bobsled-heats-1-2","1","2","1014132","2260343","BAUMGARTNER Patrick","MIRCEA Robert","Patrick","Robert","Baumgartner","Mircea","BAUMGARTNER P","MIRCEA R","239","239","https://stream.nbcolympics.com/two-man-bobsled-heats-1-2","https://stream.nbcolympics.com/two-man-bobsled-heats-1-2"
2,1139559,"AUSTIN T/SUNDERLAND D","Austin/Sunderland","Austin/Sunderland","18",18,  159, 2231,Canada,CAN,21,21,"21","+1.09","1:00.11",60110,1090,"133.9",TRUE,FALSE,1518048018,239,"https://stream.nbcolympics.com/two-man-bobsled-heats-1-2","1","2","1139559","1468088","AUSTIN Taylor","SUNDERLAND Daniel","Taylor","Daniel","Austin","Sunderland","AUSTIN T","SUNDERLAND D","239","239","https://stream.nbcolympics.com/two-man-bobsled-heats-1-2","https://stream.nbcolympics.com/two-man-bobsled-heats-1-2"
2,1125013,"ANDRIANOV M/ZHAROVTSEV V","Andrianov/Zharovtsev","Andrianov/Zharovtsev","2", 2,23062,73035,ROC,ROC,22,22,"22","+1.22","1:00.24",60240,1220,"134.7",TRUE,FALSE,1518048002,239,"https://stream.nbcolympics.com/two-man-bobsled-heats-1-2","1","2","1125013","1551078","ANDRIANOV Maxim","ZHAROVTSEV Vladislav","Maxim","Vladislav","Andrianov","Zharovtsev","ANDRIANOV M","ZHAROVTSEV V","239","239","https://stream.nbcolympics.com/two-man-bobsled-heats-1-2","https://stream.nbcolympics.com/two-man-bobsled-heats-1-2"
2,1013412,"South Korea","Suk/Kim","Suk/Kim","21",21,  106, 4391,South Korea,KOR,23,23,"23","+1.26","1:00.28",60280,1260,"134.4",TRUE,FALSE,1518048021,239,"https://stream.nbcolympics.com/two-man-bobsled-heats-1-2","1","2","1013412","2271626","SUK Youngjin","KIM Hyeonggeun","Youngjin","Hyeonggeun","Suk","Kim","SUK Y","KIM H","239","239","https://stream.nbcolympics.com/two-man-bobsled-heats-1-2","https://stream.nbcolympics.com/two-man-bobsled-heats-1-2"
2,1720336,"LI C/LIU W","Li/Liu","Li/Liu","23",23,   26, 2770,China,CHN,24,24,"24","+1.29","1:00.31",60310,1290,"132.0",TRUE,FALSE,1518048023,239,"https://stream.nbcolympics.com/two-man-bobsled-heats-1-2","1","2","1720336","1720367","LI Chunjian","LIU Wei","Chunjian","Wei","Li","Liu","LI C","LIU W","239","239","https://stream.nbcolympics.com/two-man-bobsled-heats-1-2","https://stream.nbcolympics.com/two-man-bobsled-heats-1-2"
2,1458215,"CHURCH H/VOLKER C","Church/Volker","Church/Volker","28",28,    5, 2209,United States,USA,25,25,"25","+1.36","1:00.38",60380,1360,"132.8",TRUE,FALSE,1518048028,239,"https://stream.nbcolympics.com/two-man-bobsled-heats-1-2","1","2","1458215","2260519","CHURCH Hunter","VOLKER Charles","Hunter","Charles","Church","Volker","CHURCH H","VOLKER C","239","239","https://stream.nbcolympics.com/two-man-bobsled-heats-1-2","https://stream.nbcolympics.com/two-man-bobsled-heats-1-2"
2,1014149,"TREICHL M/GLUCK M","Treichl/Glück","Treichl/Glück","25",25,  151, 2219,Austria,AUT,26,26,"26","+1.40","1:00.42",60420,1400,"134.1",TRUE,FALSE,1518048025,239,"https://stream.nbcolympics.com/two-man-bobsled-heats-1-2","1","2","1014149","1468064","TREICHL Markus","GLUCK Markus","Markus","Markus","Treichl","Glück","TREICHL M","GLUCK M","239","239","https://stream.nbcolympics.com/two-man-bobsled-heats-1-2","https://stream.nbcolympics.com/two-man-bobsled-heats-1-2"
2, 767857,"DE BRUIN I/FRANJIC J","de Bruin/Franjic","de Bruin/Franjic","3", 3,    1, 2201,Netherlands,NED,27,27,"27","+1.44","1:00.46",60460,1440,"132.4",TRUE,FALSE,1518048003,239,"https://stream.nbcolympics.com/two-man-bobsled-heats-1-2","1","2","767857","2071526","DE BRUIN Ivo","FRANJIC Jelen","Ivo","Jelen","de Bruin","Franjic","DE BRUIN I","FRANJIC J","239","239","https://stream.nbcolympics.com/two-man-bobsled-heats-1-2","https://stream.nbcolympics.com/two-man-bobsled-heats-1-2"
2,2262295,"BROWN A/MARCANO A","Brown/Marcano","Brown/Marcano","29",29,   32, 2785,Trinidad & Tobago,TTO,28,28,"28","+1.79","1:00.81",60810,1790,"132.3",TRUE,FALSE,1518048029,239,"https://stream.nbcolympics.com/two-man-bobsled-heats-1-2","1","2","2262295","2272362","BROWN Axel","MARCANO Andre","Axel","Andre","Brown","Marcano","BROWN A","MARCANO A","239","239","https://stream.nbcolympics.com/two-man-bobsled-heats-1-2","https://stream.nbcolympics.com/two-man-bobsled-heats-1-2"
