"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantLastName","c_Bib","n_StartOrder","NOC.n_ID","NOC.n_GeoID","NOC.c_Name","NOC.c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_TimeAbs","n_TimeRel","c_ResultInfo_1","b_Completed","b_Upcoming","n_BDF_StartTime","n_BDF_VideoSessionID","c_ClientStreamURL","n_Position1","n_Position2","n_PersonID1","n_PersonID2","c_Person1","c_Person2","c_PersonFirstName1","c_PersonFirstName2","c_PersonLastName1","c_PersonLastName2","c_PersonShort1","c_PersonShort2","n_BDF_VideoSessionID1","n_BDF_VideoSessionID2","c_ClientStreamURL1","c_ClientStreamURL2"
2,1339644,"JAMANKA M/BURGHARDT A","Jamanka/Burghardt","Jamanka/Burghardt","9",19,    2, 2206,Germany,GER, 1, 1,"1","1:01.20","1:01.20",61200,   0,"131.6",TRUE,FALSE,1518048019,243,"https://stream.nbcolympics.com/two-woman-bobsled-heats-3-4","1","2","1339644","951283","JAMANKA Mariama","BURGHARDT Alexandra","Mariama","Alexandra","Jamanka","Burghardt","JAMANKA M","BURGHARDT A","243","243","https://stream.nbcolympics.com/two-woman-bobsled-heats-3-4","https://stream.nbcolympics.com/two-woman-bobsled-heats-3-4"
2,1475349,"NOLTE L/LEVI D","Nolte/Levi","Nolte/Levi","4",20,    2, 2206,Germany,GER, 2, 2,"2","+0.01","1:01.21",61210,  10,"131.8",TRUE,FALSE,1518048020,243,"https://stream.nbcolympics.com/two-woman-bobsled-heats-3-4","1","2","1475349","1940848","NOLTE Laura","LEVI Deborah","Laura","Deborah","Nolte","Levi","NOLTE L","LEVI D","243","243","https://stream.nbcolympics.com/two-woman-bobsled-heats-3-4","https://stream.nbcolympics.com/two-woman-bobsled-heats-3-4"
2,1720360,"HASLER M/PASTERNACK N","Hasler/Pasternack","Hasler/Pasternack","11",14,  149, 2213,Switzerland,SUI, 3, 3,"3","+0.36","1:01.56",61560, 360,"130.1",TRUE,FALSE,1518048014,243,"https://stream.nbcolympics.com/two-woman-bobsled-heats-3-4","1","2","1720360","1524167","HASLER Melanie","PASTERNACK Nadja","Melanie","Nadja","Hasler","Pasternack","HASLER M","PASTERNACK N","243","243","https://stream.nbcolympics.com/two-woman-bobsled-heats-3-4","https://stream.nbcolympics.com/two-woman-bobsled-heats-3-4"
2, 709694,"MEYERS TAYLOR E/HOFFMAN S","Meyers Taylor/Hoffman","Meyers Taylor/Hoffman","8",18,    5, 2209,United States,USA, 3, 4,"3","+0.36","1:01.56",61560, 360,"129.8",TRUE,FALSE,1518048018,243,"https://stream.nbcolympics.com/two-woman-bobsled-heats-3-4","1","2","709694","1144614","MEYERS TAYLOR Elana","HOFFMAN Sylvia","Elana","Sylvia","Meyers Taylor","Hoffman","MEYERS TAYLOR E","HOFFMAN S","243","243","https://stream.nbcolympics.com/two-woman-bobsled-heats-3-4","https://stream.nbcolympics.com/two-woman-bobsled-heats-3-4"
2,1458179,"KALICKI K/BUCKWITZ LM","Kalicki/Buckwitz","Kalicki/Buckwitz","5",16,    2, 2206,Germany,GER, 5, 5,"5","+0.39","1:01.59",61590, 390,"131.3",TRUE,FALSE,1518048016,243,"https://stream.nbcolympics.com/two-woman-bobsled-heats-3-4","1","2","1458179","1341173","KALICKI Kim","BUCKWITZ Lisa Marie","Kim","Lisa Marie","Kalicki","Buckwitz","KALICKI K","BUCKWITZ LM","243","243","https://stream.nbcolympics.com/two-woman-bobsled-heats-3-4","https://stream.nbcolympics.com/two-woman-bobsled-heats-3-4"
2,1114670,"DE BRUIN C/BUJNOWSKI K","de Bruin/Bujnowski","de Bruin/Bujnowski","6",17,  159, 2231,Canada,CAN, 6, 6,"6","+0.53","1:01.73",61730, 530,"130.8",TRUE,FALSE,1518048017,243,"https://stream.nbcolympics.com/two-woman-bobsled-heats-3-4","1","2","1114670","1726854","DE BRUIN Christine","BUJNOWSKI Kristen","Christine","Kristen","de Bruin","Bujnowski","DE BRUIN C","BUJNOWSKI K","243","243","https://stream.nbcolympics.com/two-woman-bobsled-heats-3-4","https://stream.nbcolympics.com/two-woman-bobsled-heats-3-4"
2, 779427,"SERGEEVA N/BELOMESTNYKH Y","Sergeeva/Belomestnykh","Sergeeva/Belomestnykh","10", 8,23062,73035,ROC,ROC, 7, 7,"7","+0.63","1:01.83",61830, 630,"130.1",TRUE,FALSE,1518048008,243,"https://stream.nbcolympics.com/two-woman-bobsled-heats-3-4","1","2","779427","1458937","SERGEEVA Nadezhda","BELOMESTNYKH Yulia","Nadezhda","Yulia","Sergeeva","Belomestnykh","SERGEEVA N","BELOMESTNYKH Y","243","243","https://stream.nbcolympics.com/two-woman-bobsled-heats-3-4","https://stream.nbcolympics.com/two-woman-bobsled-heats-3-4"
2, 484979,"HUMPHRIES K/LOVE K","Humphries/Love","Humphries/Love","7",15,    5, 2209,United States,USA, 8, 8,"8","+0.71","1:01.91",61910, 710,"129.7",TRUE,FALSE,1518048015,243,"https://stream.nbcolympics.com/two-woman-bobsled-heats-3-4","1","2","484979","1989124","HUMPHRIES Kaillie","LOVE Kaysha","Kaillie","Kaysha","Humphries","Love","HUMPHRIES K","LOVE K","243","243","https://stream.nbcolympics.com/two-woman-bobsled-heats-3-4","https://stream.nbcolympics.com/two-woman-bobsled-heats-3-4"
2,1467430,"APPIAH C/RICHARDSON WILSON D","Appiah/Richardson Wilson","Appiah/Richardson Wilson","13",13,  159, 2231,Canada,CAN, 9, 9,"9","+0.73","1:01.93",61930, 730,"130.6",TRUE,FALSE,1518048013,243,"https://stream.nbcolympics.com/two-woman-bobsled-heats-3-4","1","2","1467430","1969529","APPIAH Cynthia","RICHARDSON WILSON Dawn","Cynthia","Dawn","Appiah","Richardson Wilson","APPIAH C","RICHARDSON WILSON D","243","243","https://stream.nbcolympics.com/two-woman-bobsled-heats-3-4","https://stream.nbcolympics.com/two-woman-bobsled-heats-3-4"
2,1433753,"BOCH M/SENECHAL C","Boch/Senechal","Boch/Senechal","3", 5,  144, 2202,France,FRA,10,10,"10","+0.77","1:01.97",61970, 770,"130.9",TRUE,FALSE,1518048005,243,"https://stream.nbcolympics.com/two-woman-bobsled-heats-3-4","1","2","1433753","1940854","BOCH Margot","SENECHAL Carla","Margot","Carla","Boch","Senechal","BOCH M","SENECHAL C","243","243","https://stream.nbcolympics.com/two-woman-bobsled-heats-3-4","https://stream.nbcolympics.com/two-woman-bobsled-heats-3-4"
