"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantLastName","c_Bib","n_StartOrder","NOC.n_ID","NOC.n_GeoID","NOC.c_Name","NOC.c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_TimeAbs","n_TimeRel","c_ResultInfo_1","c_ResultInfo_2","b_Completed","b_Upcoming","n_BDF_StartTime","n_BDF_VideoSessionID","c_ClientStreamURL","n_Position1","n_Position2","n_Position3","n_Position4","n_PersonID1","n_PersonID2","n_PersonID3","n_PersonID4","c_Person1","c_Person2","c_Person3","c_Person4","c_PersonFirstName1","c_PersonFirstName2","c_PersonFirstName3","c_PersonFirstName4","c_PersonLastName1","c_PersonLastName2","c_PersonLastName3","c_PersonLastName4","c_PersonShort1","c_PersonShort2","c_PersonShort3","c_PersonShort4","n_BDF_VideoSessionID1","n_BDF_VideoSessionID2","n_BDF_VideoSessionID3","n_BDF_VideoSessionID4","c_ClientStreamURL1","c_ClientStreamURL2","c_ClientStreamURL3","c_ClientStreamURL4"
4,1239754,"Germany","GER","Germany","6", 6,    2, 2206,Germany,GER, 1, 1,"1","58.13","58.13",58130,   0,"LOCHNER Johannes","139.7",TRUE,FALSE,1518048006,242,"https://stream.nbcolympics.com/four-man-bobsled-heats-1-2","1","2","3","4","1239754","1720339","1563729","1458940","LOCHNER Johannes","BAUER Florian","WEBER Christopher","RASP Christian","Johannes","Florian","Christopher","Christian","Lochner","Bauer","Weber","Rasp","LOCHNER J","BAUER F","WEBER C","RASP C","242","242","242","242","https://stream.nbcolympics.com/four-man-bobsled-heats-1-2","https://stream.nbcolympics.com/four-man-bobsled-heats-1-2","https://stream.nbcolympics.com/four-man-bobsled-heats-1-2","https://stream.nbcolympics.com/four-man-bobsled-heats-1-2"
4, 823159,"Germany","GER","Germany","4", 4,    2, 2206,Germany,GER, 2, 2,"2","+0.16","58.29",58290, 160,"FRIEDRICH Francesco","138.7",TRUE,FALSE,1518048004,242,"https://stream.nbcolympics.com/four-man-bobsled-heats-1-2","1","2","3","4","823159","1012833","1355453","1551064","FRIEDRICH Francesco","MARGIS Thorsten","BAUER Candy","SCHULLER Alexander","Francesco","Thorsten","Candy","Alexander","Friedrich","Margis","Bauer","Schüller","FRIEDRICH F","MARGIS T","BAUER C","SCHULLER A","242","242","242","242","https://stream.nbcolympics.com/four-man-bobsled-heats-1-2","https://stream.nbcolympics.com/four-man-bobsled-heats-1-2","https://stream.nbcolympics.com/four-man-bobsled-heats-1-2","https://stream.nbcolympics.com/four-man-bobsled-heats-1-2"
4, 654193,"Canada","CAN","Canada","5", 5,  159, 2231,Canada,CAN, 3, 3,"3","+0.25","58.38",58380, 250,"KRIPPS Justin","140.2",TRUE,FALSE,1518048005,242,"https://stream.nbcolympics.com/four-man-bobsled-heats-1-2","1","2","3","4","654193","1939010","1467428","1112810","KRIPPS Justin","SOMMER Ryan","STONES Cameron","COAKWELL Ben","Justin","Ryan","Cameron","Ben","Kripps","Sommer","Stones","Coakwell","KRIPPS J","SOMMER R","STONES C","COAKWELL B","242","242","242","242","https://stream.nbcolympics.com/four-man-bobsled-heats-1-2","https://stream.nbcolympics.com/four-man-bobsled-heats-1-2","https://stream.nbcolympics.com/four-man-bobsled-heats-1-2","https://stream.nbcolympics.com/four-man-bobsled-heats-1-2"
4,1592029,"ROC","ROC","ROC","7", 7,23062,73035,ROC,ROC, 4, 4,"4","+0.41","58.54",58540, 410,"GAITIUKEVICH Rostislav","138.1",TRUE,FALSE,1518048007,242,"https://stream.nbcolympics.com/four-man-bobsled-heats-1-2","1","2","3","4","1592029","1551073","1939008","2160926","GAITIUKEVICH Rostislav","MORDASOV Mikhail","TRAVKIN Pavel","LAPTEV Aleksey","Rostislav","Mikhail","Pavel","Aleksey","Gaitiukevich","Mordasov","Travkin","Laptev","GAITIUKEVICH R","MORDASOV M","TRAVKIN P","LAPTEV A","242","242","242","242","https://stream.nbcolympics.com/four-man-bobsled-heats-1-2","https://stream.nbcolympics.com/four-man-bobsled-heats-1-2","https://stream.nbcolympics.com/four-man-bobsled-heats-1-2","https://stream.nbcolympics.com/four-man-bobsled-heats-1-2"
4,1124999,"Great Britain","GBR","Great Britain","8", 8,  211, 4058,Great Britain,GBR, 5, 5,"5","+0.47","58.60",58600, 470,"HALL Bradley","138.1",TRUE,FALSE,1518048008,242,"https://stream.nbcolympics.com/four-man-bobsled-heats-1-2","1","2","3","4","1124999","2062496","1563812","1563744","HALL Bradley","LAWRENCE Taylor","GLEESON Nicholas","CACKETT Greg","Bradley","Taylor","Nicholas","Greg","Hall","Lawrence","Gleeson","Cackett","HALL B","LAWRENCE T","GLEESON N","CACKETT G","242","242","242","242","https://stream.nbcolympics.com/four-man-bobsled-heats-1-2","https://stream.nbcolympics.com/four-man-bobsled-heats-1-2","https://stream.nbcolympics.com/four-man-bobsled-heats-1-2","https://stream.nbcolympics.com/four-man-bobsled-heats-1-2"
4,1337470,"Germany","GER","Germany","12",12,    2, 2206,Germany,GER, 5, 6,"5","+0.47","58.60",58600, 470,"HAFER Christoph","138.0",TRUE,FALSE,1518048012,242,"https://stream.nbcolympics.com/four-man-bobsled-heats-1-2","1","2","3","4","1337470","879151","1458194","1563811","HAFER Christoph","SALZER Michael","SOMMER Matthias","SCHNEIDER Tobias","Christoph","Michael","Matthias","Tobias","Hafer","Salzer","Sommer","Schneider","HAFER C","SALZER M","SOMMER M","SCHNEIDER T","242","242","242","242","https://stream.nbcolympics.com/four-man-bobsled-heats-1-2","https://stream.nbcolympics.com/four-man-bobsled-heats-1-2","https://stream.nbcolympics.com/four-man-bobsled-heats-1-2","https://stream.nbcolympics.com/four-man-bobsled-heats-1-2"
4,1023339,"Latvia","LAT","Latvia","9", 9,    9, 2218,Latvia,LAT, 7, 7,"7","+0.57","58.70",58700, 570,"KIBERMANIS Oskars","138.0",TRUE,FALSE,1518048009,242,"https://stream.nbcolympics.com/four-man-bobsled-heats-1-2","1","2","3","4","1023339","1174086","1337495","1938994","KIBERMANIS Oskars","SPRINGIS Davis","MIKNIS Matiss","NEMME Edgars","Oskars","Davis","Matiss","Edgars","Kibermanis","Springis","Miknis","Nemme","KIBERMANIS O","SPRINGIS D","MIKNIS M","NEMME E","242","242","242","242","https://stream.nbcolympics.com/four-man-bobsled-heats-1-2","https://stream.nbcolympics.com/four-man-bobsled-heats-1-2","https://stream.nbcolympics.com/four-man-bobsled-heats-1-2","https://stream.nbcolympics.com/four-man-bobsled-heats-1-2"
4,1014145,"Austria","AUT","Austria","10",10,  151, 2219,Austria,AUT, 8, 8,"8","+0.63","58.76",58760, 630,"MAIER Benjamin","139.9",TRUE,FALSE,1518048010,242,"https://stream.nbcolympics.com/four-man-bobsled-heats-1-2","1","2","3","4","1014145","2062481","1012853","1940375","MAIER Benjamin","STEPAN Sascha","SAMMER Markus","HUBER Kristian","Benjamin","Sascha","Markus","Kristian","Maier","Stepan","Sammer","Huber","MAIER B","STEPAN S","SAMMER M","HUBER K","242","242","242","242","https://stream.nbcolympics.com/four-man-bobsled-heats-1-2","https://stream.nbcolympics.com/four-man-bobsled-heats-1-2","https://stream.nbcolympics.com/four-man-bobsled-heats-1-2","https://stream.nbcolympics.com/four-man-bobsled-heats-1-2"
4,1125013,"ROC","ROC","ROC","14",14,23062,73035,ROC,ROC, 9, 9,"9","+0.69","58.82",58820, 690,"ANDRIANOV Maxim","138.0",TRUE,FALSE,1518048014,242,"https://stream.nbcolympics.com/four-man-bobsled-heats-1-2","1","2","3","4","1125013","1239768","1551078","1397099","ANDRIANOV Maxim","ZAYTSEV Aleksey","ZHAROVTSEV Vladislav","LOPIN Dmitriy","Maxim","Aleksey","Vladislav","Dmitriy","Andrianov","Zaytsev","Zharovtsev","Lopin","ANDRIANOV M","ZAYTSEV A","ZHAROVTSEV V","LOPIN D","242","242","242","242","https://stream.nbcolympics.com/four-man-bobsled-heats-1-2","https://stream.nbcolympics.com/four-man-bobsled-heats-1-2","https://stream.nbcolympics.com/four-man-bobsled-heats-1-2","https://stream.nbcolympics.com/four-man-bobsled-heats-1-2"
4,1469894,"Romania","ROU","Romania","2", 2,  164, 2244,Romania,ROU,10,10,"10","+0.74","58.87",58870, 740,"TENTEA Mihai","138.9",TRUE,FALSE,1518048002,242,"https://stream.nbcolympics.com/four-man-bobsled-heats-1-2","1","2","3","4","1469894","1368482","1408208","1190488","TENTEA Mihai","DOBRE Raul Constantin","DAROCZI Nicolae Ciprian","RADU Cristian","Mihai","Raul Constantin","Nicolae Ciprian","Cristian","Tentea","Dobre","Daroczi","Radu","TENTEA M","DOBRE RC","DAROCZI NC","RADU C","242","242","242","242","https://stream.nbcolympics.com/four-man-bobsled-heats-1-2","https://stream.nbcolympics.com/four-man-bobsled-heats-1-2","https://stream.nbcolympics.com/four-man-bobsled-heats-1-2","https://stream.nbcolympics.com/four-man-bobsled-heats-1-2"
