"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantFirstName","c_ParticipantLastName","c_Bib","n_StartOrder","NOC.n_ID","NOC.n_GeoID","NOC.c_Name","NOC.c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_TimeAbs","n_TimeRel","c_ResultInfo_1","b_Completed","b_Upcoming","n_BDF_StartTime","c_BDF_StartTime","n_BDF_VideoSessionID","c_ClientStreamURL"
1,1240931,"TAUBITZ Julia","TAUBITZ J","Julia","Taubitz","5", 9,    2, 2206,Germany,GER, 1, 1,"1","58.358","58.358",58358,   0,"120.2",TRUE,FALSE,1518048009,"456757:56:05",230,"https://stream.nbcolympics.com/womens-singles-luge-run-3-4"
1, 655668,"GEISENBERGER Natalie","GEISENBERGER N","Natalie","Geisenberger","1",20,    2, 2206,Germany,GER, 2, 2,"2","+0.045","58.403",58403,  45,"127.8",TRUE,FALSE,1518048020,"456758:41:54",230,"https://stream.nbcolympics.com/womens-singles-luge-run-3-4"
1,1240565,"EGLE Madeleine","EGLE M","Madeleine","Egle","2",15,  151, 2219,Austria,AUT, 3, 3,"3","+0.074","58.432",58432,  74,"126.6",TRUE,FALSE,1518048015,"456758:29:09",230,"https://stream.nbcolympics.com/womens-singles-luge-run-3-4"
1,1593834,"BERREITER Anna","BERREITER A","Anna","Berreiter","3",19,    2, 2206,Germany,GER, 4, 4,"4","+0.208","58.566",58566, 208,"126.3",TRUE,FALSE,1518048019,"456758:30:50",230,"https://stream.nbcolympics.com/womens-singles-luge-run-3-4"
1, 759541,"IVANOVA Tatyana","IVANOVA T","Tatyana","Ivanova","6",18,23062,73035,ROC,ROC, 5, 5,"5","+0.272","58.630",58630, 272,"127.1",TRUE,FALSE,1518048018,"456758:22:21",230,"https://stream.nbcolympics.com/womens-singles-luge-run-3-4"
1,1593836,"SCHULTE Lisa","SCHULTE L","Lisa","Schulte","10",16,  151, 2219,Austria,AUT, 6, 6,"6","+0.284","58.642",58642, 284,"119.3",TRUE,FALSE,1518048016,"456758:12:43",230,"https://stream.nbcolympics.com/womens-singles-luge-run-3-4"
1,1474748,"FARQUHARSON Ashley","FARQUHARSON A","Ashley","Farquharson","24", 4,    5, 2209,United States,USA, 7, 7,"7","+0.285","58.643",58643, 285,"126.0",TRUE,FALSE,1518048004,"456757:45:55",230,"https://stream.nbcolympics.com/womens-singles-luge-run-3-4"
1, 823623,"TIRUMA Eliza","TIRUMA E","Eliza","Tiruma","9",14,    9, 2218,Latvia,LAT, 8, 8,"8","+0.413","58.771",58771, 413,"128.4",TRUE,FALSE,1518048014,"456758:08:03",230,"https://stream.nbcolympics.com/womens-singles-luge-run-3-4"
1,1593832,"PROCK Hannah","PROCK H","Hannah","Prock","12",17,  151, 2219,Austria,AUT, 9, 9,"9","+0.440","58.798",58798, 440,"120.2",TRUE,FALSE,1518048017,"456758:28:20",230,"https://stream.nbcolympics.com/womens-singles-luge-run-3-4"
1,1205052,"MAAG Natalie","MAAG N","Natalie","Maag","18",11,  149, 2213,Switzerland,SUI,10,10,"10","+0.534","58.892",58892, 534,"123.2",TRUE,FALSE,1518048011,"456758:00:23",230,"https://stream.nbcolympics.com/womens-singles-luge-run-3-4"
