"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantFirstName","c_ParticipantLastName","c_Bib","n_StartOrder","NOC.n_ID","NOC.n_GeoID","NOC.c_Name","NOC.c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_TimeAbs","n_TimeRel","c_ResultInfo_1","b_Completed","b_Upcoming","n_BDF_StartTime","c_BDF_StartTime","n_BDF_VideoSessionID","c_ClientStreamURL","c_ODF_IRM"
1,1240931,"TAUBITZ Julia","TAUBITZ J","Julia","Taubitz","5", 5,    2, 2206,Germany,GER, 1, 1,"1","58.345","58.345",58345,   0,"119.8",TRUE,FALSE,1518048005,"456731:58:20",229,"https://stream.nbcolympics.com/womens-singles-luge-run-1-2",NA
1, 655668,"GEISENBERGER Natalie","GEISENBERGER N","Natalie","Geisenberger","1", 1,    2, 2206,Germany,GER, 2, 2,"2","+0.057","58.402",58402,  57,"127.1",TRUE,FALSE,1518048001,"456733:06:38",229,"https://stream.nbcolympics.com/womens-singles-luge-run-1-2",NA
1,1593836,"SCHULTE Lisa","SCHULTE L","Lisa","Schulte","10",10,  151, 2219,Austria,AUT, 3, 3,"3","+0.178","58.523",58523, 178,"119.6",TRUE,FALSE,1518048010,"456732:10:38",229,"https://stream.nbcolympics.com/womens-singles-luge-run-1-2",NA
1,1593834,"BERREITER Anna","BERREITER A","Anna","Berreiter","3", 3,    2, 2206,Germany,GER, 4, 4,"4","+0.180","58.525",58525, 180,"126.4",TRUE,FALSE,1518048003,"456731:54:15",229,"https://stream.nbcolympics.com/womens-singles-luge-run-1-2",NA
1, 759541,"IVANOVA Tatyana","IVANOVA T","Tatyana","Ivanova","6", 6,23062,73035,ROC,ROC, 5, 5,"5","+0.388","58.733",58733, 388,"127.1",TRUE,FALSE,1518048006,"456732:00:22",229,"https://stream.nbcolympics.com/womens-singles-luge-run-1-2",NA
1,1593832,"PROCK Hannah","PROCK H","Hannah","Prock","12",12,  151, 2219,Austria,AUT, 6, 6,"6","+0.417","58.762",58762, 417,"122.9",TRUE,FALSE,1518048012,"456732:14:42",229,"https://stream.nbcolympics.com/womens-singles-luge-run-1-2",NA
1,1023433,"DEMCHENKO Victoria","DEMCHENKO V","Victoria","Demchenko","11",11,23062,73035,ROC,ROC, 7, 7,"7","+0.524","58.869",58869, 524,"125.4",TRUE,FALSE,1518048011,"456732:12:39",229,"https://stream.nbcolympics.com/womens-singles-luge-run-1-2",NA
1, 823623,"TIRUMA Eliza","TIRUMA E","Eliza","Tiruma","9", 9,    9, 2218,Latvia,LAT, 8, 8,"8","+0.611","58.956",58956, 611,"127.5",TRUE,FALSE,1518048009,"456732:08:31",229,"https://stream.nbcolympics.com/womens-singles-luge-run-1-2",NA
1,1731288,"HOFER Verena","HOFER V","Verena","Hofer","19",19,    6, 2210,Italy,ITA, 9, 9,"9","+0.615","58.960",58960, 615,"123.2",TRUE,FALSE,1518048019,"456732:28:47",229,"https://stream.nbcolympics.com/womens-singles-luge-run-1-2",NA
1, 767945,"SWEENEY Emily","SWEENEY E","Emily","Sweeney","14",14,    5, 2209,United States,USA,10,10,"10","+0.626","58.971",58971, 626,"125.7",TRUE,FALSE,1518048014,"456732:18:45",229,"https://stream.nbcolympics.com/womens-singles-luge-run-1-2",NA
