"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantFirstName","c_ParticipantLastName","c_Bib","n_StartOrder","NOC.n_ID","NOC.n_GeoID","NOC.c_Name","NOC.c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_PointsAbs","c_ODF_QualificationMark","c_ResultInfo_1","b_Completed","b_Upcoming","n_BDF_StartTime","c_BDF_StartTime","n_BDF_VideoSessionID","c_ClientStreamURL","c_ODF_IRM"
1, 994183,"ALTHAUS Katharina","ALTHAUS K","Katharina","Althaus","40",40,    2, 2206,Germany,GER, 1, 1,"1","121.1","121.1",121100,"Q","105.5",TRUE,FALSE,1518048040,"456683:44:21",211,"https://stream.nbcolympics.com/ski-jumping-womens-normal-hill-final",NA
1, 994191,"BOGATAJ Ursa","BOGATAJ U","Urša","Bogataj","39",39,   30, 2783,Slovenia,SLO, 2, 2,"2","118.0","118.0",118000,"Q","108.0",TRUE,FALSE,1518048039,"456683:43:00",211,"https://stream.nbcolympics.com/ski-jumping-womens-normal-hill-final",NA
1,1476014,"KRIZNAR Nika","KRIZNAR N","Nika","Križnar","37",37,   30, 2783,Slovenia,SLO, 3, 3,"3","113.9","113.9",113900,"Q","103.0",TRUE,FALSE,1518048037,"456683:40:32",211,"https://stream.nbcolympics.com/ski-jumping-womens-normal-hill-final",NA
1,1020421,"KLINEC Ema","KLINEC E","Ema","Klinec","38",38,   30, 2783,Slovenia,SLO, 4, 4,"4","112.1","112.1",112100,"Q","100.0",TRUE,FALSE,1518048038,"456683:41:37",211,"https://stream.nbcolympics.com/ski-jumping-womens-normal-hill-final",NA
1, 837286,"TAKANASHI Sara","TAKANASHI S","Sara","Takanashi","36",36,   18, 2241,Japan,JPN, 5, 5,"5","108.7","108.7",108700,"Q","98.5",TRUE,FALSE,1518048036,"456683:39:28",211,"https://stream.nbcolympics.com/ski-jumping-womens-normal-hill-final",NA
1,1948072,"BJORSETH Thea Minyan","BJORSETH TM","Thea Minyan","Bjørseth","28",28,  153, 2221,Norway,NOR, 6, 6,"6","104.1","104.1",104100,"Q","99.5",TRUE,FALSE,1518048028,"456683:30:00",211,"https://stream.nbcolympics.com/ski-jumping-womens-normal-hill-final",NA
1,1555621,"PAGNIER Josephine","PAGNIER J","Joséphine","Pagnier","32",32,  144, 2202,France,FRA, 7, 7,"7","102.1","102.1",102100,"Q","96.0",TRUE,FALSE,1518048032,"456683:35:12",211,"https://stream.nbcolympics.com/ski-jumping-womens-normal-hill-final",NA
1, 766956,"ROGELJ Spela","ROGELJ S","Špela","Rogelj","29",29,   30, 2783,Slovenia,SLO, 8, 8,"8","101.7","101.7",101700,"Q","93.0",TRUE,FALSE,1518048029,"456683:31:09",211,"https://stream.nbcolympics.com/ski-jumping-womens-normal-hill-final",NA
1, 919110,"AVVAKUMOVA Irina","AVVAKUMOVA I","Irina","Avvakumova","22",22,23062,73035,ROC,ROC, 9, 9,"9","99.6","99.6", 99600,"Q","95.0",TRUE,FALSE,1518048022,"456683:18:27",211,"https://stream.nbcolympics.com/ski-jumping-womens-normal-hill-final",NA
1, 919104,"ITO Yuki","ITO Y","Yuki","Ito","26",26,   18, 2241,Japan,JPN,10,10,"10","95.5","95.5", 95500,"Q","94.0",TRUE,FALSE,1518048026,"456683:28:59",211,"https://stream.nbcolympics.com/ski-jumping-womens-normal-hill-final",NA
1, 994184,"IWABUCHI Kaori","IWABUCHI K","Kaori","Iwabuchi","27",27,   18, 2241,Japan,JPN,11,11,"11","94.8","94.8", 94800,"Q","94.5",TRUE,FALSE,1518048027,"456683:28:58",211,"https://stream.nbcolympics.com/ski-jumping-womens-normal-hill-final",NA
1,1352364,"OPSETH Silje","OPSETH S","Silje","Opseth","35",35,  153, 2221,Norway,NOR,12,12,"12","94.7","94.7", 94700,"Q","92.5",TRUE,FALSE,1518048035,"456683:38:25",211,"https://stream.nbcolympics.com/ski-jumping-womens-normal-hill-final",NA
1,1335511,"SETO Yuka","SETO Y","Yuka","Seto","21",21,   18, 2241,Japan,JPN,13,13,"13","94.6","94.6", 94600,"Q","94.5",TRUE,FALSE,1518048021,"456683:14:54",211,"https://stream.nbcolympics.com/ski-jumping-womens-normal-hill-final",NA
1, 766937,"IRASCHKO-STOLZ Daniela","IRASCHKO-STOLZ D","Daniela","Iraschko-Stolz","34",34,  151, 2219,Austria,AUT,14,14,"14","94.1","94.1", 94100,"Q","91.5",TRUE,FALSE,1518048034,"456683:37:25",211,"https://stream.nbcolympics.com/ski-jumping-womens-normal-hill-final",NA
1,1555647,"EDER Lisa","EDER L","Lisa","Eder","30",30,  151, 2219,Austria,AUT,15,15,"15","92.3","92.3", 92300,"Q","92.0",TRUE,FALSE,1518048030,"456683:32:09",211,"https://stream.nbcolympics.com/ski-jumping-womens-normal-hill-final",NA
1,1135357,"STROM Anna Odine","STROM AO","Anna Odine","Strøm","31",31,  153, 2221,Norway,NOR,16,16,"16","91.5","91.5", 91500,"Q","91.5",TRUE,FALSE,1518048031,"456683:34:12",211,"https://stream.nbcolympics.com/ski-jumping-womens-normal-hill-final",NA
1,1555421,"MAKHINIA Irma","MAKHINIA I","Irma","Makhinia","7", 7,23062,73035,ROC,ROC,17,17,"17","85.4","85.4", 85400,"Q","90.0",TRUE,FALSE,1518048007,"456682:51:58",211,"https://stream.nbcolympics.com/ski-jumping-womens-normal-hill-final",NA
1,1335510,"PINKELNIG Eva","PINKELNIG E","Eva","Pinkelnig","33",33,  151, 2219,Austria,AUT,18,18,"18","83.9","83.9", 83900,"Q","87.0",TRUE,FALSE,1518048033,"456683:36:14",211,"https://stream.nbcolympics.com/ski-jumping-womens-normal-hill-final",NA
1,1020420,"HARALAMBIE Daniela","HARALAMBIE D","Daniela","Haralambie","17",17,  164, 2244,Romania,ROU,19,19,"19","83.0","83.0", 83000,"Q","88.5",TRUE,FALSE,1518048017,"456683:08:35",211,"https://stream.nbcolympics.com/ski-jumping-womens-normal-hill-final",NA
