"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantFirstName","c_ParticipantLastName","c_Bib","n_StartOrder","NOC.n_ID","NOC.n_GeoID","NOC.c_Name","NOC.c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_PointsAbs","c_ODF_QualificationMark","c_ResultInfo_1","b_Completed","b_Upcoming","n_BDF_StartTime","c_BDF_StartTime","n_BDF_VideoSessionID","c_ClientStreamURL"
1,1352160,"LINDVIK Marius","LINDVIK M","Marius","Lindvik","50",50,  153, 2221,Norway,NOR, 1, 1,"1","116.7","116.7",116700,"Q","100.5",TRUE,FALSE,1518048050,"456679:27:43",210,"https://stream.nbcolympics.com/ski-jumping-mens-normal-hill-qualification"
1, 766277,"JOHANSSON Robert","JOHANSSON R","Robert","Johansson","43",43,  153, 2221,Norway,NOR, 2, 2,"2","116.6","116.6",116600,"Q","103.0",TRUE,FALSE,1518048043,"456679:16:18",210,"https://stream.nbcolympics.com/ski-jumping-mens-normal-hill-qualification"
1, 603430,"ZYLA Piotr","ZYLA P","Piotr","Zyla","34",34,  150, 2214,Poland,POL, 3, 3,"3","112.1","112.1",112100,"Q","102.5",TRUE,FALSE,1518048034,"456679:05:11",210,"https://stream.nbcolympics.com/ski-jumping-mens-normal-hill-qualification"
1,1240224,"KOBAYASHI Ryoyu","KOBAYASHI R","Ryoyu","Kobayashi","52",52,   18, 2241,Japan,JPN, 4, 4,"4","111.4","111.4",111400,"Q","99.0",TRUE,FALSE,1518048052,"456679:29:37",210,"https://stream.nbcolympics.com/ski-jumping-mens-normal-hill-qualification"
1,1004005,"KRAFT Stefan","KRAFT S","Stefan","Kraft","46",46,  151, 2219,Austria,AUT, 5, 5,"5","108.5","108.5",108500,"Q","100.0",TRUE,FALSE,1518048046,"456679:22:59",210,"https://stream.nbcolympics.com/ski-jumping-mens-normal-hill-qualification"
1, 335566,"FETTNER Manuel","FETTNER M","Manuel","Fettner","37",37,  151, 2219,Austria,AUT, 6, 6,"6","107.5","107.5",107500,"Q","102.0",TRUE,FALSE,1518048037,"456679:07:52",210,"https://stream.nbcolympics.com/ski-jumping-mens-normal-hill-qualification"
1, 721201,"DESCHWANDEN Gregor","DESCHWANDEN G","Gregor","Deschwanden","32",32,  149, 2213,Switzerland,SUI, 7, 7,"7","106.4","106.4",106400,"Q","96.5",TRUE,FALSE,1518048032,"456679:02:10",210,"https://stream.nbcolympics.com/ski-jumping-mens-normal-hill-qualification"
1, 409229,"AALTO Antti","AALTO A","Antti","Aalto","21",21,  161, 2237,Finland,FIN, 8, 8,"8","105.0","105.0",105000,"Q","98.5",TRUE,FALSE,1518048021,"456678:49:41",210,"https://stream.nbcolympics.com/ski-jumping-mens-normal-hill-qualification"
1,1119517,"GEIGER Karl","GEIGER K","Karl","Geiger","53",53,    2, 2206,Germany,GER, 9, 9,"9","103.9","103.9",103900,"Q","97.5",TRUE,FALSE,1518048053,"456679:31:23",210,"https://stream.nbcolympics.com/ski-jumping-mens-normal-hill-qualification"
1,1020435,"SATO Yukiya","SATO Y","Yukiya","Sato","41",41,   18, 2241,Japan,JPN,10,10,"10","103.6","103.6",103600,"Q","100.0",TRUE,FALSE,1518048041,"456679:13:24",210,"https://stream.nbcolympics.com/ski-jumping-mens-normal-hill-qualification"
