"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantLastName","c_Bib","n_StartOrder","NOC.n_ID","NOC.n_GeoID","NOC.c_Name","NOC.c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_PointsAbs","c_ODF_QualificationMark","b_Completed","b_Upcoming","n_BDF_VideoSessionID","n_Position1","n_Position2","n_Position3","n_Position4","n_PersonID1","n_PersonID2","n_PersonID3","n_PersonID4","c_Person1","c_Person2","c_Person3","c_Person4","c_PersonFirstName1","c_PersonFirstName2","c_PersonFirstName3","c_PersonFirstName4","c_PersonLastName1","c_PersonLastName2","c_PersonLastName3","c_PersonLastName4","c_PersonShort1","c_PersonShort2","c_PersonShort3","c_PersonShort4","c_Bib1","c_Bib2","c_Bib3","c_Bib4","n_BDF_VideoSessionID1","n_BDF_VideoSessionID2","n_BDF_VideoSessionID3","n_BDF_VideoSessionID4"
4,  2309,"Slovenia","SLO","Slovenia","9", 9,   30, 2783,Slovenia,SLO, 1, 1,"1","506.4","506.4",506400,"Q",TRUE,FALSE,1,"1","2","3","4","1476014","1555823","994191","765887","KRIZNAR Nika","ZAJC Timi","BOGATAJ Ursa","PREVC Peter","Nika","Timi","Urša","Peter","Križnar","Zajc","Bogataj","Prevc","KRIZNAR N","ZAJC T","BOGATAJ U","PREVC P","9-1","9-2","9-3","9-4","1","1","1","1"
4,  3016,"Norway","NOR","Norway","7", 7,  153, 2221,Norway,NOR, 2, 2,"2","457.4","457.4",457400,"Q",TRUE,FALSE,1,"1","2","3","4","1135357","766277","1352364","1352160","STROM Anna Odine","JOHANSSON Robert","OPSETH Silje","LINDVIK Marius","Anna Odine","Robert","Silje","Marius","Strøm","Johansson","Opseth","Lindvik","STROM AO","JOHANSSON R","OPSETH S","LINDVIK M","7-1","7-2","7-3","7-4","1","1","1","1"
4,475663,"ROC","ROC","ROC","4", 4,23062,73035,ROC,ROC, 3, 3,"3","448.8","448.8",448800,"Q",TRUE,FALSE,1,"1","2","3","4","1555421","1948109","919110","1018160","MAKHINIA Irma","SADREEV Danil","AVVAKUMOVA Irina","KLIMOV Evgeniy","Irma","Danil","Irina","Evgeniy","Makhinia","Sadreev","Avvakumova","Klimov","MAKHINIA I","SADREEV D","AVVAKUMOVA I","KLIMOV E","4-1","4-2","4-3","4-4","1","1","1","1"
4,  2522,"Canada","CAN","Canada","2", 2,  159, 2231,Canada,CAN, 4, 4,"4","415.4","415.4",415400,"Q",TRUE,FALSE,1,"1","2","3","4","2078509","1240218","1555176","764058","LOUTITT Alexandria","SOUKUP Matthew","STRATE Abigail","BOYD-CLOWES Mackenzie","Alexandria","Matthew","Abigail","Mackenzie","Loutitt","Soukup","Strate","Boyd-Clowes","LOUTITT A","SOUKUP M","STRATE A","BOYD-CLOWES M","2-1","2-2","2-3","2-4","1","1","1","1"
4,  2797,"Poland","POL","Poland","5", 5,  150, 2214,Poland,POL, 5, 5,"5","386.1","386.1",386100,"Q",TRUE,FALSE,1,"1","2","3","4","2070851","763030","1458702","486641","KONDERLA Nicole","KUBACKI Dawid","RAJDA Kinga","STOCH Kamil","Nicole","Dawid","Kinga","Kamil","Konderla","Kubacki","Rajda","Stoch","KONDERLA N","KUBACKI D","RAJDA K","STOCH K","5-1","5-2","5-3","5-4","1","1","1","1"
4,  2224,"Austria","AUT","Austria","10",10,  151, 2219,Austria,AUT, 6, 6,"6","370.7","370.7",370700,"Q",TRUE,FALSE,1,"1","2","3","4","766937","1004005","1555647","335566","IRASCHKO-STOLZ Daniela","KRAFT Stefan","EDER Lisa","FETTNER Manuel","Daniela","Stefan","Lisa","Manuel","Iraschko-Stolz","Kraft","Eder","Fettner","IRASCHKO-STOLZ D","KRAFT S","EDER L","FETTNER M","10-1","10-2","10-3","10-4","1","1","1","1"
4,   523,"Czech Republic","CZE","Czech Republic","3", 3,   17, 2240,Czech Republic,CZE, 7, 7,"7","362.5","362.5",362500,"Q",TRUE,FALSE,1,"1","2","3","4","1555634","764059","1220119","650679","ULRICHOVA Klara","KOZISEK Cestmir","INDRACKOVA Karolina","KOUDELKA Roman","Klara","Cestmír","Karolína","Roman","Ulrichova","Kožíšek","Indrácková","Koudelka","ULRICHOVA K","KOZISEK C","INDRACKOVA K","KOUDELKA R","3-1","3-2","3-3","3-4","1","1","1","1"
4,  1034,"Japan","JPN","Japan","6", 6,   18, 2241,Japan,JPN, 8, 8,"8","359.9","359.9",359900,"Q",TRUE,FALSE,1,"1","2","3","4","837286","1020435","919104","1240224","TAKANASHI Sara","SATO Yukiya","ITO Yuki","KOBAYASHI Ryoyu","Sara","Yukiya","Yuki","Ryoyu","Takanashi","Sato","Ito","Kobayashi","TAKANASHI S","SATO Y","ITO Y","KOBAYASHI R","6-1","6-2","6-3","6-4","1","1","1","1"
4,  2830,"Germany","GER","Germany","8", 8,    2, 2206,Germany,GER, 9, 9,"9","350.9","350.9",350900,NA,TRUE,FALSE,1,"1","2","3","4","1555902","1351783","994183","1119517","FREITAG Selina","SCHMID Constantin","ALTHAUS Katharina","GEIGER Karl","Selina","Constantin","Katharina","Karl","Freitag","Schmid","Althaus","Geiger","FREITAG S","SCHMID C","ALTHAUS K","GEIGER K","8-1","8-2","8-3","8-4","1","1","1","1"
4,  5773,"China","CHN","China","1", 1,   26, 2770,China,CHN,10,10,"10","229.8","229.8",229800,NA,TRUE,FALSE,1,"1","2","3","4","1135360","2261533","2262664","1955622","DONG Bing","SONG Qiwu","PENG Qingyue","ZHAO Jiawen","Bing","Qiwu","Qingyue","Jiawen","Dong","Song","Peng","Zhao","DONG B","SONG Q","PENG Q","ZHAO J","1-1","1-2","1-3","1-4","1","1","1","1"
