"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantFirstName","c_ParticipantLastName","c_Bib","n_StartOrder","NOC.n_ID","NOC.n_GeoID","NOC.c_Name","NOC.c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_PointsAbs","c_ResultInfo_1","b_Completed","b_Upcoming","n_BDF_StartTime","c_BDF_StartTime","n_BDF_VideoSessionID","c_ClientStreamURL"
1, 994191,"BOGATAJ Ursa","BOGATAJ U","Urša","Bogataj","39",29,   30, 2783,Slovenia,SLO, 1, 1,"1","121.0","121.0",121000,"100.0",TRUE,FALSE,1518048029,"456684:36:14",211,"https://stream.nbcolympics.com/ski-jumping-womens-normal-hill-final"
1,1476014,"KRIZNAR Nika","KRIZNAR N","Nika","Križnar","37",28,   30, 2783,Slovenia,SLO, 2, 2,"2","118.1","118.1",118100,"99.5",TRUE,FALSE,1518048028,"456684:34:44",211,"https://stream.nbcolympics.com/ski-jumping-womens-normal-hill-final"
1, 994183,"ALTHAUS Katharina","ALTHAUS K","Katharina","Althaus","40",30,    2, 2206,Germany,GER, 3, 3,"3","115.7","115.7",115700,"94.0",TRUE,FALSE,1518048030,"456684:37:41",211,"https://stream.nbcolympics.com/ski-jumping-womens-normal-hill-final"
1, 837286,"TAKANASHI Sara","TAKANASHI S","Sara","Takanashi","36",26,   18, 2241,Japan,JPN, 4, 4,"4","115.4","115.4",115400,"100.0",TRUE,FALSE,1518048026,"456684:32:20",211,"https://stream.nbcolympics.com/ski-jumping-womens-normal-hill-final"
1,1352364,"OPSETH Silje","OPSETH S","Silje","Opseth","35",19,  153, 2221,Norway,NOR, 5, 5,"5","105.8","105.8",105800,"95.0",TRUE,FALSE,1518048019,"456684:23:34",211,"https://stream.nbcolympics.com/ski-jumping-womens-normal-hill-final"
1,1020421,"KLINEC Ema","KLINEC E","Ema","Klinec","38",27,   30, 2783,Slovenia,SLO, 6, 6,"6","103.3","103.3",103300,"90.5",TRUE,FALSE,1518048027,"456684:33:31",211,"https://stream.nbcolympics.com/ski-jumping-womens-normal-hill-final"
1,1555647,"EDER Lisa","EDER L","Lisa","Eder","30",16,  151, 2219,Austria,AUT, 7, 7,"7","101.1","101.1",101100,"90.0",TRUE,FALSE,1518048016,"456684:20:37",211,"https://stream.nbcolympics.com/ski-jumping-womens-normal-hill-final"
1, 919110,"AVVAKUMOVA Irina","AVVAKUMOVA I","Irina","Avvakumova","22",22,23062,73035,ROC,ROC, 8, 8,"8","96.7","96.7", 96700,"89.5",TRUE,FALSE,1518048022,"456684:28:05",211,"https://stream.nbcolympics.com/ski-jumping-womens-normal-hill-final"
1,1555421,"MAKHINIA Irma","MAKHINIA I","Irma","Makhinia","7",14,23062,73035,ROC,ROC, 9, 9,"9","95.5","95.5", 95500,"90.0",TRUE,FALSE,1518048014,"456684:18:34",211,"https://stream.nbcolympics.com/ski-jumping-womens-normal-hill-final"
1,1555413,"WESTMAN Frida","WESTMAN F","Frida","Westman","23", 9,  154, 2222,Sweden,SWE,10,10,"10","94.6","94.6", 94600,"90.0",TRUE,FALSE,1518048009,"456684:12:35",211,"https://stream.nbcolympics.com/ski-jumping-womens-normal-hill-final"
