"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantFirstName","c_ParticipantLastName","c_Bib","n_StartOrder","NOC.n_ID","NOC.n_GeoID","NOC.c_Name","NOC.c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_PointsAbs","c_ResultInfo_1","c_ResultInfo_2","b_Completed","b_Upcoming","n_BDF_StartTime","c_BDF_StartTime","n_BDF_VideoSessionID","c_ClientStreamURL","c_ODF_IRM"
1,1240727,"YAMAMOTO Ryota","YAMAMOTO R","Ryota","Yamamoto","39",39,   18, 2241,Japan,JPN, 1, 1,"1","133.0","133.0",133000,"108.0","0:00",TRUE,FALSE,1518048039,"456776:57:41",215,"https://stream.nbcolympics.com/mens-nordic-combined-individual-normal-hill",NA
1,1134598,"GREIDERER Lukas","GREIDERER L","Lukas","Greiderer","35",35,  151, 2219,Austria,AUT, 2, 2,"2","123.4","123.4",123400,"103.5","+0:38",TRUE,FALSE,1518048035,"456776:41:38",215,"https://stream.nbcolympics.com/mens-nordic-combined-individual-normal-hill",NA
1,1555443,"SCHMID Julian","SCHMID J","Julian","Schmid","42",42,    2, 2206,Germany,GER, 3, 3,"3","123.1","123.1",123100,"103.0","+0:40",TRUE,FALSE,1518048042,"456776:48:31",215,"https://stream.nbcolympics.com/mens-nordic-combined-individual-normal-hill",NA
1, 759500,"RYDZEK Johannes","RYDZEK J","Johannes","Rydzek","38",38,    2, 2206,Germany,GER, 4, 4,"4","122.2","122.2",122200,"104.0","+0:43",TRUE,FALSE,1518048038,"456776:48:35",215,"https://stream.nbcolympics.com/mens-nordic-combined-individual-normal-hill",NA
1,1766435,"LAMPARTER Johannes","LAMPARTER J","Johannes","Lamparter","46",46,  151, 2219,Austria,AUT, 5, 5,"5","116.9","116.9",116900,"100.0","+1:04",TRUE,FALSE,1518048046,"456776:56:11",215,"https://stream.nbcolympics.com/mens-nordic-combined-individual-normal-hill",NA
1,1555804,"YACHI Sora","YACHI S","Sora","Yachi","29",29,   18, 2241,Japan,JPN, 5, 6,"5","116.9","116.9",116900,"103.5","+1:04",TRUE,FALSE,1518048029,"456776:58:04",215,"https://stream.nbcolympics.com/mens-nordic-combined-individual-normal-hill",NA
1, 835865,"REHRL Franz-Josef","REHRL FJ","Franz-Josef","Rehrl","32",32,  151, 2219,Austria,AUT, 7, 7,"7","115.8","115.8",115800,"102.0","+1:09",TRUE,FALSE,1518048032,"456776:39:41",215,"https://stream.nbcolympics.com/mens-nordic-combined-individual-normal-hill",NA
1,1018163,"HEROLA Ilkka","HEROLA I","Ilkka","Herola","37",37,  161, 2237,Finland,FIN, 8, 8,"8","115.7","115.7",115700,"100.0","+1:09",TRUE,FALSE,1518048037,"456776:42:09",215,"https://stream.nbcolympics.com/mens-nordic-combined-individual-normal-hill",NA
1, 835857,"GRAABAK Joergen","GRAABAK J","Jørgen","Graabak","44",44,  153, 2221,Norway,NOR, 9, 9,"9","114.1","114.1",114100,"98.5","+1:16",TRUE,FALSE,1518048044,"456776:49:40",215,"https://stream.nbcolympics.com/mens-nordic-combined-individual-normal-hill",NA
1, 602685,"WATABE Akito","WATABE A","Akito","Watabe","40",40,   18, 2241,Japan,JPN, 9,10,"9","114.1","114.1",114100,"98.0","+1:16",TRUE,FALSE,1518048040,"456776:45:25",215,"https://stream.nbcolympics.com/mens-nordic-combined-individual-normal-hill",NA
1,1457323,"GEIGER Vinzenz","GEIGER V","Vinzenz","Geiger","45",45,    2, 2206,Germany,GER,11,11,"11","111.4","111.4",111400,"98.0","+1:26",TRUE,FALSE,1518048045,"456776:54:50",215,"https://stream.nbcolympics.com/mens-nordic-combined-individual-normal-hill",NA
1,1555566,"BAUD Matteo","BAUD M","Mattéo","Baud","20",20,  144, 2202,France,FRA,12,12,"12","111.3","111.3",111300,"97.5","+1:27",TRUE,FALSE,1518048020,"456776:58:01",215,"https://stream.nbcolympics.com/mens-nordic-combined-individual-normal-hill",NA
1, 762492,"WATABE Yoshito","WATABE Y","Yoshito","Watabe","31",31,   18, 2241,Japan,JPN,13,13,"13","110.8","110.8",110800,"97.5","+1:29",TRUE,FALSE,1518048031,"456776:38:03",215,"https://stream.nbcolympics.com/mens-nordic-combined-individual-normal-hill",NA
1,1018185,"PORTYK Tomas","PORTYK T","Tomáš","Portyk","27",27,   17, 2240,Czech Republic,CZE,13,14,"13","110.8","110.8",110800,"97.0","+1:29",TRUE,FALSE,1518048027,"456776:30:33",215,"https://stream.nbcolympics.com/mens-nordic-combined-individual-normal-hill",NA
1,1136177,"BJOERNSTAD Espen","BJOERNSTAD E","Espen","Bjørnstad","34",34,  153, 2221,Norway,NOR,15,15,"15","110.1","110.1",110100,"99.0","+1:32",TRUE,FALSE,1518048034,"456776:37:54",215,"https://stream.nbcolympics.com/mens-nordic-combined-individual-normal-hill",NA
1,1018159,"ANDERSEN Espen","ANDERSEN E","Espen","Andersen","36",36,  153, 2221,Norway,NOR,16,16,"16","109.3","109.3",109300,"96.0","+1:35",TRUE,FALSE,1518048036,"456776:40:06",215,"https://stream.nbcolympics.com/mens-nordic-combined-individual-normal-hill",NA
1,1240207,"LOOMIS Ben","LOOMIS B","Ben","Loomis","26",26,    5, 2209,United States,USA,17,17,"17","105.6","105.6",105600,"94.5","+1:50",TRUE,FALSE,1518048026,"456776:31:03",215,"https://stream.nbcolympics.com/mens-nordic-combined-individual-normal-hill",NA
1,1134600,"FRITZ Martin","FRITZ M","Martin","Fritz","33",33,  151, 2219,Austria,AUT,18,18,"18","105.2","105.2",105200,"96.0","+1:51",TRUE,FALSE,1518048033,"456776:36:58",215,"https://stream.nbcolympics.com/mens-nordic-combined-individual-normal-hill",NA
1,1221146,"HIRVONEN Eero","HIRVONEN E","Eero","Hirvonen","28",28,  161, 2237,Finland,FIN,19,19,"19","104.1","104.1",104100,"93.0","+1:56",TRUE,FALSE,1518048028,"456776:31:37",215,"https://stream.nbcolympics.com/mens-nordic-combined-individual-normal-hill",NA
1,1555403,"OFTEBRO Jens Luraas","OFTEBRO JL","Jens Lurås","Oftebro","41",41,  153, 2221,Norway,NOR,20,20,"20","103.8","103.8",103800,"92.5","+1:57",TRUE,FALSE,1518048041,"456776:46:27",215,"https://stream.nbcolympics.com/mens-nordic-combined-individual-normal-hill",NA
1,1240650,"MUHLETHALER Laurent","MUHLETHALER L","Laurent","Mühlethaler","30",30,  144, 2202,France,FRA,21,21,"21","102.4","102.4",102400,"94.0","+2:02",TRUE,FALSE,1518048030,"456776:33:35",215,"https://stream.nbcolympics.com/mens-nordic-combined-individual-normal-hill",NA
1,1023440,"BUZZI Raffaele","BUZZI R","Raffaele","Buzzi","24",24,    6, 2210,Italy,ITA,22,22,"22","99.9","99.9", 99900,"93.0","+2:12",TRUE,FALSE,1518048024,"456776:26:52",215,"https://stream.nbcolympics.com/mens-nordic-combined-individual-normal-hill",NA
1,1352317,"PAZOUT Ondrej","PAZOUT O","Ondrej","Pažout","12",12,   17, 2240,Czech Republic,CZE,22,23,"22","99.9","99.9", 99900,"96.0","+2:12",TRUE,FALSE,1518048012,"456776:14:58",215,"https://stream.nbcolympics.com/mens-nordic-combined-individual-normal-hill",NA
1,1477944,"SHUMATE Jared","SHUMATE J","Jared","Shumate","19",19,    5, 2209,United States,USA,24,24,"24","99.2","99.2", 99200,"93.5","+2:15",TRUE,FALSE,1518048019,"456776:20:27",215,"https://stream.nbcolympics.com/mens-nordic-combined-individual-normal-hill",NA
1,1240647,"DANEK Lukas","DANEK L","Lukáš","Danek","18",18,   17, 2240,Czech Republic,CZE,25,25,"25","98.2","98.2", 98200,"97.0","+2:19",TRUE,FALSE,1518048018,"456776:22:33",215,"https://stream.nbcolympics.com/mens-nordic-combined-individual-normal-hill",NA
1,1555368,"BORTOLAS Iacopo","BORTOLAS I","Iacopo","Bortolas","2", 2,    6, 2210,Italy,ITA,26,26,"26","97.0","97.0", 97000,"93.5","+2:24",TRUE,FALSE,1518048002,"456776:02:41",215,"https://stream.nbcolympics.com/mens-nordic-combined-individual-normal-hill",NA
1,1136180,"MAEKIAHO Arttu","MAEKIAHO A","Arttu","Mäkiaho","23",23,  161, 2237,Finland,FIN,27,27,"27","95.1","95.1", 95100,"95.5","+2:32",TRUE,FALSE,1518048023,"456776:24:36",215,"https://stream.nbcolympics.com/mens-nordic-combined-individual-normal-hill",NA
1,1948080,"REPONEN Perttu","REPONEN P","Perttu","Reponen","21",21,  161, 2237,Finland,FIN,28,28,"28","94.2","94.2", 94200,"90.0","+2:35",TRUE,FALSE,1518048021,"456776:22:26",215,"https://stream.nbcolympics.com/mens-nordic-combined-individual-normal-hill",NA
1,1352114,"VYTRVAL Jan","VYTRVAL J","Jan","Vytrval","16",16,   17, 2240,Czech Republic,CZE,29,29,"29","93.5","93.5", 93500,"92.5","+2:38",TRUE,FALSE,1518048016,"456776:20:35",215,"https://stream.nbcolympics.com/mens-nordic-combined-individual-normal-hill",NA
1,2080220,"BLONDEAU Gael","BLONDEAU G","Gael","Blondeau","14",14,  144, 2202,France,FRA,30,30,"30","91.3","91.3", 91300,"91.0","+2:47",TRUE,FALSE,1518048014,"456776:14:40",215,"https://stream.nbcolympics.com/mens-nordic-combined-individual-normal-hill",NA
1,1352331,"VRHOVNIK Vid","VRHOVNIK V","Vid","Vrhovnik","17",17,   30, 2783,Slovenia,SLO,31,31,"31","88.0","88.0", 88000,"91.5","+3:00",TRUE,FALSE,1518048017,"456776:57:43",215,"https://stream.nbcolympics.com/mens-nordic-combined-individual-normal-hill",NA
1,1019258,"KUPCZAK Szczepan","KUPCZAK S","Szczepan","Kupczak","13",13,  150, 2214,Poland,POL,32,32,"32","87.5","87.5", 87500,"89.5","+3:02",TRUE,FALSE,1518048013,"456776:13:39",215,"https://stream.nbcolympics.com/mens-nordic-combined-individual-normal-hill",NA
1,1477950,"SCHUMANN Stephen","SCHUMANN S","Stephen","Schumann","4", 4,    5, 2209,United States,USA,33,33,"33","86.4","86.4", 86400,"88.5","+3:06",TRUE,FALSE,1518048004,"456776:08:36",215,"https://stream.nbcolympics.com/mens-nordic-combined-individual-normal-hill",NA
1, 603077,"FLETCHER Taylor","FLETCHER T","Taylor","Fletcher","22",22,    5, 2209,United States,USA,34,34,"34","83.3","83.3", 83300,"86.5","+3:19",TRUE,FALSE,1518048022,"456776:23:45",215,"https://stream.nbcolympics.com/mens-nordic-combined-individual-normal-hill",NA
