"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantFirstName","c_ParticipantLastName","c_Bib","n_StartOrder","NOC.n_ID","NOC.n_GeoID","NOC.c_Name","NOC.c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_PointsAbs","c_ResultInfo_1","c_ResultInfo_2","b_Completed","b_Upcoming","n_BDF_StartTime","c_BDF_StartTime","n_BDF_VideoSessionID","c_ClientStreamURL"
1,1240651,"RIIBER Jarl Magnus","RIIBER JM","Jarl Magnus","Riiber","47",47,  153, 2221,Norway,NOR, 1, 1,"1","139.8","139.8",139800,"142.0","0:00",TRUE,FALSE,1518048047,"456920:51:34",217,"https://stream.nbcolympics.com/mens-nordic-combined-individual-large-hill"
1,1023254,"ILVES Kristjan","ILVES K","Kristjan","Ilves","44",44,    8, 2217,Estonia,EST, 2, 2,"2","128.7","128.7",128700,"140.0","+0:44",TRUE,FALSE,1518048044,"456920:45:13",217,"https://stream.nbcolympics.com/mens-nordic-combined-individual-large-hill"
1,1240727,"YAMAMOTO Ryota","YAMAMOTO R","Ryota","Yamamoto","40",40,   18, 2241,Japan,JPN, 2, 3,"2","128.7","128.7",128700,"140.0","+0:44",TRUE,FALSE,1518048040,"456920:41:17",217,"https://stream.nbcolympics.com/mens-nordic-combined-individual-large-hill"
1, 824558,"FAISST Manuel","FAISST M","Manuel","Faißt","35",35,    2, 2206,Germany,GER, 4, 4,"4","128.0","128.0",128000,"133.0","+0:47",TRUE,FALSE,1518048035,"456920:34:07",217,"https://stream.nbcolympics.com/mens-nordic-combined-individual-large-hill"
1, 602685,"WATABE Akito","WATABE A","Akito","Watabe","41",41,   18, 2241,Japan,JPN, 5, 5,"5","126.4","126.4",126400,"135.0","+0:54",TRUE,FALSE,1518048041,"456920:42:19",217,"https://stream.nbcolympics.com/mens-nordic-combined-individual-large-hill"
1, 835865,"REHRL Franz-Josef","REHRL FJ","Franz-Josef","Rehrl","33",33,  151, 2219,Austria,AUT, 6, 6,"6","121.9","121.9",121900,"135.5","+1:12",TRUE,FALSE,1518048033,"456920:32:17",217,"https://stream.nbcolympics.com/mens-nordic-combined-individual-large-hill"
1, 835863,"SEIDL Mario","SEIDL M","Mario","Seidl","38",38,  151, 2219,Austria,AUT, 7, 7,"7","119.5","119.5",119500,"130.0","+1:21",TRUE,FALSE,1518048038,"456920:38:09",217,"https://stream.nbcolympics.com/mens-nordic-combined-individual-large-hill"
1,1766435,"LAMPARTER Johannes","LAMPARTER J","Johannes","Lamparter","48",48,  151, 2219,Austria,AUT, 8, 8,"8","118.1","118.1",118100,"128.0","+1:27",TRUE,FALSE,1518048048,"456920:56:01",217,"https://stream.nbcolympics.com/mens-nordic-combined-individual-large-hill"
1,1555443,"SCHMID Julian","SCHMID J","Julian","Schmid","43",43,    2, 2206,Germany,GER, 9, 9,"9","116.0","116.0",116000,"133.5","+1:35",TRUE,FALSE,1518048043,"456920:44:12",217,"https://stream.nbcolympics.com/mens-nordic-combined-individual-large-hill"
1,1555403,"OFTEBRO Jens Luraas","OFTEBRO JL","Jens Lurås","Oftebro","42",42,  153, 2221,Norway,NOR,10,10,"10","113.0","113.0",113000,"127.5","+1:47",TRUE,FALSE,1518048042,"456920:43:14",217,"https://stream.nbcolympics.com/mens-nordic-combined-individual-large-hill"
