"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantLastName","c_Bib","n_StartOrder","NOC.n_ID","NOC.n_GeoID","NOC.c_Name","NOC.c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_PointsAbs","c_ResultInfo_1","b_Completed","b_Upcoming","n_BDF_VideoSessionID","c_ClientStreamURL","n_Position1","n_Position2","n_Position3","n_Position4","n_PersonID1","n_PersonID2","n_PersonID3","n_PersonID4","c_Person1","c_Person2","c_Person3","c_Person4","c_PersonFirstName1","c_PersonFirstName2","c_PersonFirstName3","c_PersonFirstName4","c_PersonLastName1","c_PersonLastName2","c_PersonLastName3","c_PersonLastName4","c_PersonShort1","c_PersonShort2","c_PersonShort3","c_PersonShort4","c_Bib1","c_Bib2","c_Bib3","c_Bib4","n_BDF_StartTime1","n_BDF_StartTime2","n_BDF_StartTime3","n_BDF_StartTime4","n_BDF_VideoSessionID1","n_BDF_VideoSessionID2","n_BDF_VideoSessionID3","n_BDF_VideoSessionID4","c_ClientStreamURL1","c_ClientStreamURL2","c_ClientStreamURL3","c_ClientStreamURL4"
4,1717,"Austria","AUT","Austria","8", 8,151,2219,Austria,AUT, 1, 1,"1","475.4","475.4",475400,"0:00",TRUE,FALSE,219,"https://stream.nbcolympics.com/mens-nordic-combined-team-large-hill","1","2","3","4","1134600","1766435","1134598","835865","FRITZ Martin","LAMPARTER Johannes","GREIDERER Lukas","REHRL Franz-Josef","Martin","Johannes","Lukas","Franz-Josef","Fritz","Lamparter","Greiderer","Rehrl","FRITZ M","LAMPARTER J","GREIDERER L","REHRL FJ","8-1","8-2","8-3","8-4","1518048008","1518048008","1518048008","1518048008","219","219","219","219","https://stream.nbcolympics.com/mens-nordic-combined-team-large-hill","https://stream.nbcolympics.com/mens-nordic-combined-team-large-hill","https://stream.nbcolympics.com/mens-nordic-combined-team-large-hill","https://stream.nbcolympics.com/mens-nordic-combined-team-large-hill"
4, 374,"Norway","NOR","Norway","9", 9,153,2221,Norway,NOR, 2, 2,"2","469.4","469.4",469400,"+0:08",TRUE,FALSE,219,"https://stream.nbcolympics.com/mens-nordic-combined-team-large-hill","1","2","3","4","835857","1555403","1136177","1018159","GRAABAK Joergen","OFTEBRO Jens Luraas","BJOERNSTAD Espen","ANDERSEN Espen","Jørgen","Jens Lurås","Espen","Espen","Graabak","Oftebro","Bjørnstad","Andersen","GRAABAK J","OFTEBRO JL","BJOERNSTAD E","ANDERSEN E","9-1","9-2","9-3","9-4","1518048009","1518048009","1518048009","1518048009","219","219","219","219","https://stream.nbcolympics.com/mens-nordic-combined-team-large-hill","https://stream.nbcolympics.com/mens-nordic-combined-team-large-hill","https://stream.nbcolympics.com/mens-nordic-combined-team-large-hill","https://stream.nbcolympics.com/mens-nordic-combined-team-large-hill"
4,2977,"Germany","GER","Germany","10",10,  2,2206,Germany,GER, 3, 3,"3","467.0","467.0",467000,"+0:11",TRUE,FALSE,219,"https://stream.nbcolympics.com/mens-nordic-combined-team-large-hill","1","2","3","4","824558","650662","1457323","1555443","FAISST Manuel","FRENZEL Eric","GEIGER Vinzenz","SCHMID Julian","Manuel","Eric","Vinzenz","Julian","Faißt","Frenzel","Geiger","Schmid","FAISST M","FRENZEL E","GEIGER V","SCHMID J","10-1","10-2","10-3","10-4","1518048010","1518048010","1518048010","1518048010","219","219","219","219","https://stream.nbcolympics.com/mens-nordic-combined-team-large-hill","https://stream.nbcolympics.com/mens-nordic-combined-team-large-hill","https://stream.nbcolympics.com/mens-nordic-combined-team-large-hill","https://stream.nbcolympics.com/mens-nordic-combined-team-large-hill"
4,1330,"Japan","JPN","Japan","7", 7, 18,2241,Japan,JPN, 4, 4,"4","466.6","466.6",466600,"+0:12",TRUE,FALSE,219,"https://stream.nbcolympics.com/mens-nordic-combined-team-large-hill","1","2","3","4","602685","762492","601192","1240727","WATABE Akito","WATABE Yoshito","NAGAI Hideaki","YAMAMOTO Ryota","Akito","Yoshito","Hideaki","Ryota","Watabe","Watabe","Nagai","Yamamoto","WATABE A","WATABE Y","NAGAI H","YAMAMOTO R","7-1","7-2","7-3","7-4","1518048007","1518048007","1518048007","1518048007","219","219","219","219","https://stream.nbcolympics.com/mens-nordic-combined-team-large-hill","https://stream.nbcolympics.com/mens-nordic-combined-team-large-hill","https://stream.nbcolympics.com/mens-nordic-combined-team-large-hill","https://stream.nbcolympics.com/mens-nordic-combined-team-large-hill"
4,2469,"France","FRA","France","4", 4,144,2202,France,FRA, 5, 5,"5","410.0","410.0",410000,"+1:27",TRUE,FALSE,219,"https://stream.nbcolympics.com/mens-nordic-combined-team-large-hill","1","2","3","4","1555566","2080220","1356947","1240650","BAUD Matteo","BLONDEAU Gael","GERARD Antoine","MUHLETHALER Laurent","Mattéo","Gael","Antoine","Laurent","Baud","Blondeau","Gérard","Mühlethaler","BAUD M","BLONDEAU G","GERARD A","MUHLETHALER L","4-1","4-2","4-3","4-4","1518048004","1518048004","1518048004","1518048004","219","219","219","219","https://stream.nbcolympics.com/mens-nordic-combined-team-large-hill","https://stream.nbcolympics.com/mens-nordic-combined-team-large-hill","https://stream.nbcolympics.com/mens-nordic-combined-team-large-hill","https://stream.nbcolympics.com/mens-nordic-combined-team-large-hill"
4, 938,"Czech Republic","CZE","Czech Republic","2", 2, 17,2240,Czech Republic,CZE, 6, 6,"6","403.7","403.7",403700,"+1:36",TRUE,FALSE,219,"https://stream.nbcolympics.com/mens-nordic-combined-team-large-hill","1","2","3","4","1352317","1352114","1240647","1018185","PAZOUT Ondrej","VYTRVAL Jan","DANEK Lukas","PORTYK Tomas","Ondrej","Jan","Lukáš","Tomáš","Pažout","Vytrval","Danek","Portyk","PAZOUT O","VYTRVAL J","DANEK L","PORTYK T","2-1","2-2","2-3","2-4","1518048002","1518048002","1518048002","1518048002","219","219","219","219","https://stream.nbcolympics.com/mens-nordic-combined-team-large-hill","https://stream.nbcolympics.com/mens-nordic-combined-team-large-hill","https://stream.nbcolympics.com/mens-nordic-combined-team-large-hill","https://stream.nbcolympics.com/mens-nordic-combined-team-large-hill"
4, 748,"United States","USA","United States","5", 5,  5,2209,United States,USA, 7, 7,"7","387.1","387.1",387100,"+1:58",TRUE,FALSE,219,"https://stream.nbcolympics.com/mens-nordic-combined-team-large-hill","1","2","3","4","1136198","603077","1477944","1240207","GOOD Jasper","FLETCHER Taylor","SHUMATE Jared","LOOMIS Ben","Jasper","Taylor","Jared","Ben","Good","Fletcher","Shumate","Loomis","GOOD J","FLETCHER T","SHUMATE J","LOOMIS B","5-1","5-2","5-3","5-4","1518048005","1518048005","1518048005","1518048005","219","219","219","219","https://stream.nbcolympics.com/mens-nordic-combined-team-large-hill","https://stream.nbcolympics.com/mens-nordic-combined-team-large-hill","https://stream.nbcolympics.com/mens-nordic-combined-team-large-hill","https://stream.nbcolympics.com/mens-nordic-combined-team-large-hill"
4,1642,"Finland","FIN","Finland","6", 6,161,2237,Finland,FIN, 8, 8,"8","385.1","385.1",385100,"+2:00",TRUE,FALSE,219,"https://stream.nbcolympics.com/mens-nordic-combined-team-large-hill","1","2","3","4","1018163","1136180","1948080","1221146","HEROLA Ilkka","MAEKIAHO Arttu","REPONEN Perttu","HIRVONEN Eero","Ilkka","Arttu","Perttu","Eero","Herola","Mäkiaho","Reponen","Hirvonen","HEROLA I","MAEKIAHO A","REPONEN P","HIRVONEN E","6-1","6-2","6-3","6-4","1518048006","1518048006","1518048006","1518048006","219","219","219","219","https://stream.nbcolympics.com/mens-nordic-combined-team-large-hill","https://stream.nbcolympics.com/mens-nordic-combined-team-large-hill","https://stream.nbcolympics.com/mens-nordic-combined-team-large-hill","https://stream.nbcolympics.com/mens-nordic-combined-team-large-hill"
4,1736,"Italy","ITA","Italy","3", 3,  6,2210,Italy,ITA, 9, 9,"9","320.1","320.1",320100,"+3:27",TRUE,FALSE,219,"https://stream.nbcolympics.com/mens-nordic-combined-team-large-hill","1","2","3","4","835860","602822","1555368","1023440","COSTA Samuel","PITTIN Alessandro","BORTOLAS Iacopo","BUZZI Raffaele","Samuel","Alessandro","Iacopo","Raffaele","Costa","Pittin","Bortolas","Buzzi","COSTA S","PITTIN A","BORTOLAS I","BUZZI R","3-1","3-2","3-3","3-4","1518048003","1518048003","1518048003","1518048003","219","219","219","219","https://stream.nbcolympics.com/mens-nordic-combined-team-large-hill","https://stream.nbcolympics.com/mens-nordic-combined-team-large-hill","https://stream.nbcolympics.com/mens-nordic-combined-team-large-hill","https://stream.nbcolympics.com/mens-nordic-combined-team-large-hill"
4,5968,"China","CHN","China","1", 1, 26,2770,China,CHN,10,10,"10","184.7","184.7",184700,"+6:28",TRUE,FALSE,219,"https://stream.nbcolympics.com/mens-nordic-combined-team-large-hill","1","2","3","4","1955623","1955622","2279229","2279228","ZHAO Zihe","ZHAO Jiawen","GUO Yuhao","FAN Haibin","Zihe","Jiawen","Yuhao","Haibin","Zhao","Zhao","Guo","Fan","ZHAO Z","ZHAO J","GUO Y","FAN H","1-1","1-2","1-3","1-4","1518048001","1518048001","1518048001","1518048001","219","219","219","219","https://stream.nbcolympics.com/mens-nordic-combined-team-large-hill","https://stream.nbcolympics.com/mens-nordic-combined-team-large-hill","https://stream.nbcolympics.com/mens-nordic-combined-team-large-hill","https://stream.nbcolympics.com/mens-nordic-combined-team-large-hill"
