"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantFirstName","c_ParticipantLastName","n_StartOrder","NOC.n_ID","NOC.n_GeoID","NOC.c_Name","NOC.c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_PointsAbs","c_ResultInfo_1","c_ResultInfo_2","c_ResultInfo_3","c_ResultInfo_4","b_Completed","b_Upcoming","n_BDF_StartTime","c_BDF_StartTime","n_BDF_VideoSessionID","c_ClientStreamURL"
1,2015766,"VALIEVA Kamila","VALIEVA K","Kamila","Valieva",10,23062,73035,ROC,ROC, 1, 1,"1","90.18","90.18",90180,"51.67","38.51","0.00","10",TRUE,FALSE,1518048010,"456698:44:14",173,"https://stream.nbcolympics.com/figure-skating-team-event-day-2"
1,1302221,"HIGUCHI Wakaba","HIGUCHI W","Wakaba","Higuchi", 8,   18, 2241,Japan,JPN, 2, 2,"2","74.73","74.73",74730,"40.54","34.19","0.00","9",TRUE,FALSE,1518048008,"456698:30:53",173,"https://stream.nbcolympics.com/figure-skating-team-event-day-2"
1,2080022,"SCHIZAS Madeline","SCHIZAS M","Madeline","Schizas", 6,  159, 2231,Canada,CAN, 3, 3,"3","69.60","69.60",69600,"37.56","32.04","0.00","8",TRUE,FALSE,1518048006,"456698:17:54",173,"https://stream.nbcolympics.com/figure-skating-team-event-day-2"
1,1702025,"GUBANOVA Anastasia","GUBANOVA A","Anastasia","Gubanova", 4,  163, 2239,Georgia,GEO, 4, 4,"4","67.56","67.56",67560,"36.90","30.66","0.00","7",TRUE,FALSE,1518048004,"456697:57:24",173,"https://stream.nbcolympics.com/figure-skating-team-event-day-2"
1,1208584,"CHEN Karen","CHEN K","Karen","Chen", 9,    5, 2209,United States,USA, 5, 5,"5","65.20","65.20",65200,"32.72","33.48","-1.00","6",TRUE,FALSE,1518048009,"456698:37:34",173,"https://stream.nbcolympics.com/figure-skating-team-event-day-2"
1, 920821,"SCHOTT Nicole","SCHOTT N","Nicole","Schott", 7,    2, 2206,Germany,GER, 6, 6,"6","62.66","62.66",62660,"32.52","30.14","0.00","5",TRUE,FALSE,1518048007,"456698:24:19",173,"https://stream.nbcolympics.com/figure-skating-team-event-day-2"
1,2081332,"SHABOTOVA Anastasiia","SHABOTOVA A","Anastasiia","Shabotova", 2,   13, 2232,Ukraine,UKR, 7, 7,"7","62.49","62.49",62490,"35.63","26.86","0.00","4",TRUE,FALSE,1518048002,"456697:44:19",173,"https://stream.nbcolympics.com/figure-skating-team-event-day-2"
1,1010063,"BREZINOVA Eliska","BREZINOVA E","Eliška","Brezinová", 3,   17, 2240,Czech Republic,CZE, 8, 8,"8","61.05","61.05",61050,"33.97","27.08","0.00","3",TRUE,FALSE,1518048003,"456697:50:48",173,"https://stream.nbcolympics.com/figure-skating-team-event-day-2"
1,1702063,"GUTMANN Lara","GUTMANN L","Lara","Gutmann", 5,    6, 2210,Italy,ITA, 9, 9,"9","58.52","58.52",58520,"30.78","27.74","0.00","2",TRUE,FALSE,1518048005,"456698:03:45",173,"https://stream.nbcolympics.com/figure-skating-team-event-day-2"
1,2049705,"ZHU Yi","ZHU Y","Yi","Zhu", 1,   26, 2770,China,CHN,10,10,"10","47.03","47.03",47030,"22.34","25.69","-1.00","1",TRUE,FALSE,1518048001,"456698:53:03",173,"https://stream.nbcolympics.com/figure-skating-team-event-day-2"
