"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantLastName","n_StartOrder","NOC.n_ID","NOC.n_GeoID","NOC.c_Name","NOC.c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_PointsAbs","c_ResultInfo_1","c_ResultInfo_2","c_ResultInfo_3","c_ResultInfo_4","b_Completed","b_Upcoming","n_BDF_StartTime","n_BDF_VideoSessionID","c_ClientStreamURL","key","n_Position.1","n_Position.2","n_PersonID.1","n_PersonID.2","c_Person.1","c_Person.2","c_PersonFirstName.1","c_PersonFirstName.2","c_PersonLastName.1","c_PersonLastName.2","c_PersonShort.1","c_PersonShort.2","n_BDF_VideoSessionID.1","n_BDF_VideoSessionID.2","c_ClientStreamURL.1","c_ClientStreamURL.2"
2, 61873,"HUBBELL M/DONOHUE Z","Hubbell/Donohue","Hubbell/Donohue", 7,    5, 2209,United States,USA, 1, 1,"1","86.56","86.56",86560,"48.50","38.06","0.00","10",TRUE,FALSE,1518048007,172,"https://stream.nbcolympics.com/figure-skating-team-event-day-1", 1,1,2, 720893, 809677,"HUBBELL Madison","DONOHUE Zach","Madison","Zachary","Hubbell","Donohue","HUBBELL M","DONOHUE Z",172,172,"https://stream.nbcolympics.com/figure-skating-team-event-day-1","https://stream.nbcolympics.com/figure-skating-team-event-day-1"
2, 67659,"SINITSINA V/KATSALAPOV N","Sinitsina/Katsalapov","Sinitsina/Katsalapov",10,23062,73035,ROC,ROC, 2, 2,"2","85.05","85.05",85050,"46.92","38.13","0.00","9",TRUE,FALSE,1518048010,172,"https://stream.nbcolympics.com/figure-skating-team-event-day-1", 2,1,2, 836542, 834312,"SINITSINA Viktoria","KATSALAPOV Nikita","Viktoria","Nikita","Sinitsina","Katsalapov","SINITSINA V","KATSALAPOV N",172,172,"https://stream.nbcolympics.com/figure-skating-team-event-day-1","https://stream.nbcolympics.com/figure-skating-team-event-day-1"
2, 61113,"GUIGNARD C/FABBRI M","Guignard/Fabbri","Guignard/Fabbri", 9,    6, 2210,Italy,ITA, 3, 3,"3","83.83","83.83",83830,"47.12","36.71","0.00","8",TRUE,FALSE,1518048009,172,"https://stream.nbcolympics.com/figure-skating-team-event-day-1", 3,1,2, 926373, 926374,"GUIGNARD Charlene","FABBRI Marco","Charlène","Marco","Guignard","Fabbri","GUIGNARD C","FABBRI M",172,172,"https://stream.nbcolympics.com/figure-skating-team-event-day-1","https://stream.nbcolympics.com/figure-skating-team-event-day-1"
2, 63242,"GILLES P/POIRIER P","Gilles/Poirier","Gilles/Poirier", 8,  159, 2231,Canada,CAN, 4, 4,"4","82.72","82.72",82720,"45.47","37.25","0.00","7",TRUE,FALSE,1518048008,172,"https://stream.nbcolympics.com/figure-skating-team-event-day-1", 4,1,2, 809676, 720888,"GILLES Piper","POIRIER Paul","Piper","Paul","Gilles","Poirier","GILLES P","POIRIER P",172,172,"https://stream.nbcolympics.com/figure-skating-team-event-day-1","https://stream.nbcolympics.com/figure-skating-team-event-day-1"
2, 67663,"WANG S/LIU X","Wang/Liu","Wang/Liu", 6,   26, 2770,China,CHN, 5, 5,"5","74.66","74.66",74660,"41.66","33.00","0.00","6",TRUE,FALSE,1518048006,172,"https://stream.nbcolympics.com/figure-skating-team-event-day-1", 5,1,2,1239210,1239211,"WANG Shiyue","LIU Xinyu","Shiyue","Xinyu","Wang","Liu","WANG S","LIU X",172,172,"https://stream.nbcolympics.com/figure-skating-team-event-day-1","https://stream.nbcolympics.com/figure-skating-team-event-day-1"
2,439095,"TASCHLEROVA N/TASCHLER F","Taschlerová/Taschler","Taschlerová/Taschler", 2,   17, 2240,Czech Republic,CZE, 6, 6,"6","68.99","68.99",68990,"38.68","30.31","0.00","5",TRUE,FALSE,1518048002,172,"https://stream.nbcolympics.com/figure-skating-team-event-day-1", 6,1,2,1702076,1702037,"TASCHLEROVA Natalie","TASCHLER Filip","Natalie","Filip","Taschlerová","Taschler","TASCHLEROVA N","TASCHLER F",172,172,"https://stream.nbcolympics.com/figure-skating-team-event-day-1","https://stream.nbcolympics.com/figure-skating-team-event-day-1"
2,440306,"KOMATSUBARA M/KOLETO T","Komatsubara/Koleto","Komatsubara/Koleto", 1,   18, 2241,Japan,JPN, 7, 7,"7","66.54","66.54",66540,"37.15","29.39","0.00","4",TRUE,FALSE,1518048001,172,"https://stream.nbcolympics.com/figure-skating-team-event-day-1", 7,1,2, 914613,1239214,"KOMATSUBARA Misato","KOLETO Tim","Misato","Tim","Komatsubara","Koleto","KOMATSUBARA M","KOLETO T",172,172,"https://stream.nbcolympics.com/figure-skating-team-event-day-1","https://stream.nbcolympics.com/figure-skating-team-event-day-1"
2,443458,"KAZAKOVA M/REVIYA G","Kazakova/Reviya","Kazakova/Reviya", 4,  163, 2239,Georgia,GEO, 8, 8,"8","64.60","64.60",64600,"35.00","29.60","0.00","3",TRUE,FALSE,1518048004,172,"https://stream.nbcolympics.com/figure-skating-team-event-day-1", 8,1,2,1778047,1426979,"KAZAKOVA Maria","REVIYA Georgiy","Maria","Georgiy","Kazakova","Reviya","KAZAKOVA M","REVIYA G",172,172,"https://stream.nbcolympics.com/figure-skating-team-event-day-1","https://stream.nbcolympics.com/figure-skating-team-event-day-1"
2, 68137,"NAZAROVA O/NIKITIN M","Nazarova/Nikitin","Nazarova/Nikitin", 5,   13, 2232,Ukraine,UKR, 9, 9,"9","64.08","64.08",64080,"34.16","29.92","0.00","2",TRUE,FALSE,1518048005,172,"https://stream.nbcolympics.com/figure-skating-team-event-day-1", 9,1,2,1023055,1023411,"NAZAROVA Oleksandra","NIKITIN Maksym","Oleksandra","Maksym","Nazarova","Nikitin","NAZAROVA O","NIKITIN M",172,172,"https://stream.nbcolympics.com/figure-skating-team-event-day-1","https://stream.nbcolympics.com/figure-skating-team-event-day-1"
2, 84307,"MULLER K/DIECK T","Müller/Dieck","Müller/Dieck", 3,    2, 2206,Germany,GER,10,10,"10","63.21","63.21",63210,"33.52","29.69","0.00","1",TRUE,FALSE,1518048003,172,"https://stream.nbcolympics.com/figure-skating-team-event-day-1",10,1,2,1302148,1208633,"MULLER Katharina","DIECK Tim","Katharina","Tim","Müller","Dieck","MULLER K","DIECK T",172,172,"https://stream.nbcolympics.com/figure-skating-team-event-day-1","https://stream.nbcolympics.com/figure-skating-team-event-day-1"
