"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantFirstName","c_ParticipantLastName","n_StartOrder","NOC.n_ID","NOC.n_GeoID","NOC.c_Name","NOC.c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_PointsAbs","c_ODF_QualificationMark","c_ResultInfo_1","c_ResultInfo_2","c_ResultInfo_3","b_Completed","b_Upcoming","n_BDF_StartTime","c_BDF_StartTime","n_BDF_VideoSessionID","c_ClientStreamURL","c_ODF_IRM"
1,1203661,"CHEN Nathan","CHEN N","Nathan","Chen",28,    5, 2209,United States,USA, 1, 1,"1","113.97","113.97",113970,"Q","65.98","47.99","0.00",TRUE,FALSE,1518048028,"456749:53:20",175,"https://stream.nbcolympics.com/figure-skating-mens-short-program",NA
1,1879961,"KAGIYAMA Yuma","KAGIYAMA Y","Yuma","Kagiyama",27,   18, 2241,Japan,JPN, 2, 2,"2","108.12","108.12",108120,"Q","60.91","47.21","0.00",TRUE,FALSE,1518048027,"456749:51:54",175,"https://stream.nbcolympics.com/figure-skating-mens-short-program",NA
1,1020612,"UNO Shoma","UNO S","Shoma","Uno",22,   18, 2241,Japan,JPN, 3, 3,"3","105.90","105.90",105900,"Q","59.05","46.85","0.00",TRUE,FALSE,1518048022,"456748:26:15",175,"https://stream.nbcolympics.com/figure-skating-mens-short-program",NA
1,1475744,"CHA Jun-Hwan","CHA JH","Jun-Hwan","Cha",23,  106, 4391,South Korea,KOR, 4, 4,"4","99.51","99.51", 99510,"Q","54.30","45.21","0.00",TRUE,FALSE,1518048023,"456749:48:51",175,"https://stream.nbcolympics.com/figure-skating-mens-short-program",NA
1,1212863,"KVITELASHVILI Moris","KVITELASHVILI M","Moris","Kvitelashvili",29,  163, 2239,Georgia,GEO, 5, 5,"5","97.98","97.98", 97980,"Q","55.69","42.29","0.00",TRUE,FALSE,1518048029,"456749:17:48",175,"https://stream.nbcolympics.com/figure-skating-mens-short-program",NA
1, 920812,"BROWN Jason","BROWN J","Jason","Brown",30,    5, 2209,United States,USA, 6, 6,"6","97.24","97.24", 97240,"Q","49.95","47.29","0.00",TRUE,FALSE,1518048030,"456749:24:01",175,"https://stream.nbcolympics.com/figure-skating-mens-short-program",NA
1,1702036,"SEMENENKO Evgeniy","SEMENENKO E","Evgeniy","Semenenko",17,23062,73035,ROC,ROC, 7, 7,"7","95.76","95.76", 95760,"Q","55.23","40.53","0.00",TRUE,FALSE,1518048017,"456749:34:20",175,"https://stream.nbcolympics.com/figure-skating-mens-short-program",NA
1, 767366,"HANYU Yuzuru","HANYU Y","Yuzuru","Hanyu",21,   18, 2241,Japan,JPN, 8, 8,"8","95.15","95.15", 95150,"Q","48.07","47.08","0.00",TRUE,FALSE,1518048021,"456749:34:27",175,"https://stream.nbcolympics.com/figure-skating-mens-short-program",NA
1, 836437,"MESSING Keegan","MESSING K","Keegan","Messing",26,  159, 2231,Canada,CAN, 9, 9,"9","93.24","93.24", 93240,"Q","49.30","43.94","0.00",TRUE,FALSE,1518048026,"456748:58:57",175,"https://stream.nbcolympics.com/figure-skating-mens-short-program",NA
1,1302120,"AYMOZ Kevin","AYMOZ K","Kévin","Aymoz",18,  144, 2202,France,FRA,10,10,"10","93.00","93.00", 93000,"Q","49.93","43.07","0.00",TRUE,FALSE,1518048018,"456748:02:37",175,"https://stream.nbcolympics.com/figure-skating-mens-short-program",NA
1,1137841,"BOYANG Jin","BOYANG J","Boyang","Jin", 5,   26, 2770,China,CHN,11,11,"11","90.98","90.98", 90980,"Q","51.62","39.36","0.00",TRUE,FALSE,1518048005,"456749:34:01",175,"https://stream.nbcolympics.com/figure-skating-mens-short-program",NA
1,1483232,"GRASSL Daniel","GRASSL D","Daniel","Grassl",25,    6, 2210,Italy,ITA,12,12,"12","90.64","90.64", 90640,"Q","48.70","41.94","0.00",TRUE,FALSE,1518048025,"456748:52:40",175,"https://stream.nbcolympics.com/figure-skating-mens-short-program",NA
1,1148712,"RIZZO Matteo","RIZZO M","Matteo","Rizzo",24,    6, 2210,Italy,ITA,13,13,"13","88.63","88.63", 88630,"Q","46.71","41.92","0.00",TRUE,FALSE,1518048024,"456748:38:36",175,"https://stream.nbcolympics.com/figure-skating-mens-short-program",NA
1,1475708,"SIAO HIM FA Adam","SIAO HIM FA A","Adam","Siao Him Fa",15,  144, 2202,France,FRA,14,14,"14","86.74","86.74", 86740,"Q","47.28","40.46","-1.00",TRUE,FALSE,1518048015,"456747:58:52",175,"https://stream.nbcolympics.com/figure-skating-mens-short-program",NA
1,2060463,"KONDRATIUK Mark","KONDRATIUK M","Mark","Kondratiuk",16,23062,73035,ROC,ROC,15,15,"15","86.11","86.11", 86110,"Q","45.08","41.03","0.00",TRUE,FALSE,1518048016,"456749:42:35",175,"https://stream.nbcolympics.com/figure-skating-mens-short-program",NA
1,1208557,"VASILJEVS Deniss","VASILJEVS D","Deniss","Vasiljevs",19,    9, 2218,Latvia,LAT,16,16,"16","85.30","85.30", 85300,"Q","43.08","42.22","0.00",TRUE,FALSE,1518048019,"456748:07:05",175,"https://stream.nbcolympics.com/figure-skating-mens-short-program",NA
