"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantLastName","n_StartOrder","NOC.n_ID","NOC.n_GeoID","NOC.c_Name","NOC.c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_PointsAbs","c_ResultInfo_1","c_ResultInfo_2","c_ResultInfo_3","b_Completed","b_Upcoming","n_BDF_StartTime","n_BDF_VideoSessionID","c_ClientStreamURL","key","n_Position.1","n_Position.2","n_PersonID.1","n_PersonID.2","c_Person.1","c_Person.2","c_PersonFirstName.1","c_PersonFirstName.2","c_PersonLastName.1","c_PersonLastName.2","c_PersonShort.1","c_PersonShort.2","n_BDF_VideoSessionID.1","n_BDF_VideoSessionID.2","c_ClientStreamURL.1","c_ClientStreamURL.2"
2, 66624,"PAPADAKIS G/CIZERON G","Papadakis/Cizeron","Papadakis/Cizeron",20,  144, 2202,France,FRA, 1, 1,"1","136.15","136.15",136150,"76.75","59.40","0.00",TRUE,FALSE,1518048020,178,"https://stream.nbcolympics.com/figure-skating-free-dance", 1,1,2, 840259, 840260,"PAPADAKIS Gabriella","CIZERON Guillaume","Gabriella","Guillaume","Papadakis","Cizeron","PAPADAKIS G","CIZERON G",178,178,"https://stream.nbcolympics.com/figure-skating-free-dance","https://stream.nbcolympics.com/figure-skating-free-dance"
2, 67659,"SINITSINA V/KATSALAPOV N","Sinitsina/Katsalapov","Sinitsina/Katsalapov",19,23062,73035,ROC,ROC, 2, 2,"2","131.66","131.66",131660,"73.43","58.23","0.00",TRUE,FALSE,1518048019,178,"https://stream.nbcolympics.com/figure-skating-free-dance", 2,1,2, 836542, 834312,"SINITSINA Viktoria","KATSALAPOV Nikita","Viktoria","Nikita","Sinitsina","Katsalapov","SINITSINA V","KATSALAPOV N",178,178,"https://stream.nbcolympics.com/figure-skating-free-dance","https://stream.nbcolympics.com/figure-skating-free-dance"
2, 61873,"HUBBELL M/DONOHUE Z","Hubbell/Donohue","Hubbell/Donohue",18,    5, 2209,United States,USA, 3, 3,"3","130.89","130.89",130890,"73.56","58.33","-1.00",TRUE,FALSE,1518048018,178,"https://stream.nbcolympics.com/figure-skating-free-dance", 3,1,2, 720893, 809677,"HUBBELL Madison","DONOHUE Zach","Madison","Zachary","Hubbell","Donohue","HUBBELL M","DONOHUE Z",178,178,"https://stream.nbcolympics.com/figure-skating-free-dance","https://stream.nbcolympics.com/figure-skating-free-dance"
2, 61531,"CHOCK M/BATES E","Chock/Bates","Chock/Bates",17,    5, 2209,United States,USA, 4, 4,"4","130.63","130.63",130630,"72.59","58.04","0.00",TRUE,FALSE,1518048017,178,"https://stream.nbcolympics.com/figure-skating-free-dance", 4,1,2, 764825, 720887,"CHOCK Madison","BATES Evan","Madison","Evan","Chock","Bates","CHOCK M","BATES E",178,178,"https://stream.nbcolympics.com/figure-skating-free-dance","https://stream.nbcolympics.com/figure-skating-free-dance"
2, 61113,"GUIGNARD C/FABBRI M","Guignard/Fabbri","Guignard/Fabbri",14,    6, 2210,Italy,ITA, 5, 5,"5","124.37","124.37",124370,"69.22","55.15","0.00",TRUE,FALSE,1518048014,178,"https://stream.nbcolympics.com/figure-skating-free-dance", 5,1,2, 926373, 926374,"GUIGNARD Charlene","FABBRI Marco","Charlène","Marco","Guignard","Fabbri","GUIGNARD C","FABBRI M",178,178,"https://stream.nbcolympics.com/figure-skating-free-dance","https://stream.nbcolympics.com/figure-skating-free-dance"
2,431346,"SMART O/DIAZ A","Smart/Díaz","Smart/Díaz",12,  145, 2203,Spain,ESP, 6, 6,"6","121.41","121.41",121410,"67.71","53.70","0.00",TRUE,FALSE,1518048012,178,"https://stream.nbcolympics.com/figure-skating-free-dance", 6,1,2,1020595, 836324,"SMART Olivia","DIAZ Adria","Olivia","Adrià","Smart","Díaz","SMART O","DIAZ A",178,178,"https://stream.nbcolympics.com/figure-skating-free-dance","https://stream.nbcolympics.com/figure-skating-free-dance"
2, 63242,"GILLES P/POIRIER P","Gilles/Poirier","Gilles/Poirier",15,  159, 2231,Canada,CAN, 7, 7,"7","121.26","121.26",121260,"66.19","55.07","0.00",TRUE,FALSE,1518048015,178,"https://stream.nbcolympics.com/figure-skating-free-dance", 7,1,2, 809676, 720888,"GILLES Piper","POIRIER Paul","Piper","Paul","Gilles","Poirier","GILLES P","POIRIER P",178,178,"https://stream.nbcolympics.com/figure-skating-free-dance","https://stream.nbcolympics.com/figure-skating-free-dance"
2, 66626,"STEPANOVA A/BUKIN I","Stepanova/Bukin","Stepanova/Bukin",16,23062,73035,ROC,ROC, 8, 8,"8","120.98","120.98",120980,"65.34","55.64","0.00",TRUE,FALSE,1518048016,178,"https://stream.nbcolympics.com/figure-skating-free-dance", 8,1,2,1020506,1020556,"STEPANOVA Aleksandra","BUKIN Ivan","Aleksandra","Ivan","Stepanova","Bukin","STEPANOVA A","BUKIN I",178,178,"https://stream.nbcolympics.com/figure-skating-free-dance","https://stream.nbcolympics.com/figure-skating-free-dance"
2,431355,"FEAR L/GIBSON L","Fear/Gibson","Fear/Gibson",11,  211, 4058,Great Britain,GBR, 9, 9,"9","115.19","115.19",115190,"63.21","51.98","0.00",TRUE,FALSE,1518048011,178,"https://stream.nbcolympics.com/figure-skating-free-dance", 9,1,2,1302159,1550627,"FEAR Lilah","GIBSON Lewis","Lilah","Lewis","Fear","Gibson","FEAR L","GIBSON L",178,178,"https://stream.nbcolympics.com/figure-skating-free-dance","https://stream.nbcolympics.com/figure-skating-free-dance"
2, 67660,"HAWAYEK K/BAKER JL","Hawayek/Baker","Hawayek/Baker",10,    5, 2209,United States,USA,10,10,"10","115.16","115.16",115160,"62.99","52.17","0.00",TRUE,FALSE,1518048010,178,"https://stream.nbcolympics.com/figure-skating-free-dance",10,1,2,1137777,1137779,"HAWAYEK Kaitlin","BAKER Jean-Luc","Kaitlin","Jean-Luc","Hawayek","Baker","HAWAYEK K","BAKER JL",178,178,"https://stream.nbcolympics.com/figure-skating-free-dance","https://stream.nbcolympics.com/figure-skating-free-dance"
