"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantLastName","n_StartOrder","NOC.n_ID","NOC.n_GeoID","NOC.c_Name","NOC.c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_PointsAbs","c_ODF_QualificationMark","c_ResultInfo_1","c_ResultInfo_2","c_ResultInfo_3","b_Completed","b_Upcoming","n_BDF_StartTime","n_BDF_VideoSessionID","c_ClientStreamURL","key","n_Position.1","n_Position.2","n_PersonID.1","n_PersonID.2","c_Person.1","c_Person.2","c_PersonFirstName.1","c_PersonFirstName.2","c_PersonLastName.1","c_PersonLastName.2","c_PersonShort.1","c_PersonShort.2","n_BDF_VideoSessionID.1","n_BDF_VideoSessionID.2","c_ClientStreamURL.1","c_ClientStreamURL.2"
2, 66624,"PAPADAKIS G/CIZERON G","Papadakis/Cizeron","Papadakis/Cizeron",18,  144, 2202,France,FRA, 1, 1,"1","90.83","90.83",90830,"Q","51.65","39.18","0.00",TRUE,FALSE,1518048018,177,"https://stream.nbcolympics.com/figure-skating-rhythm-dance", 1,1,2, 840259, 840260,"PAPADAKIS Gabriella","CIZERON Guillaume","Gabriella","Guillaume","Papadakis","Cizeron","PAPADAKIS G","CIZERON G",177,177,"https://stream.nbcolympics.com/figure-skating-rhythm-dance","https://stream.nbcolympics.com/figure-skating-rhythm-dance"
2, 67659,"SINITSINA V/KATSALAPOV N","Sinitsina/Katsalapov","Sinitsina/Katsalapov",19,23062,73035,ROC,ROC, 2, 2,"2","88.85","88.85",88850,"Q","50.26","38.59","0.00",TRUE,FALSE,1518048019,177,"https://stream.nbcolympics.com/figure-skating-rhythm-dance", 2,1,2, 836542, 834312,"SINITSINA Viktoria","KATSALAPOV Nikita","Viktoria","Nikita","Sinitsina","Katsalapov","SINITSINA V","KATSALAPOV N",177,177,"https://stream.nbcolympics.com/figure-skating-rhythm-dance","https://stream.nbcolympics.com/figure-skating-rhythm-dance"
2, 61873,"HUBBELL M/DONOHUE Z","Hubbell/Donohue","Hubbell/Donohue",23,    5, 2209,United States,USA, 3, 3,"3","87.13","87.13",87130,"Q","48.82","38.31","0.00",TRUE,FALSE,1518048023,177,"https://stream.nbcolympics.com/figure-skating-rhythm-dance", 3,1,2, 720893, 809677,"HUBBELL Madison","DONOHUE Zach","Madison","Zachary","Hubbell","Donohue","HUBBELL M","DONOHUE Z",177,177,"https://stream.nbcolympics.com/figure-skating-rhythm-dance","https://stream.nbcolympics.com/figure-skating-rhythm-dance"
2, 61531,"CHOCK M/BATES E","Chock/Bates","Chock/Bates",20,    5, 2209,United States,USA, 4, 4,"4","84.14","84.14",84140,"Q","46.39","37.75","0.00",TRUE,FALSE,1518048020,177,"https://stream.nbcolympics.com/figure-skating-rhythm-dance", 4,1,2, 764825, 720887,"CHOCK Madison","BATES Evan","Madison","Evan","Chock","Bates","CHOCK M","BATES E",177,177,"https://stream.nbcolympics.com/figure-skating-rhythm-dance","https://stream.nbcolympics.com/figure-skating-rhythm-dance"
2, 66626,"STEPANOVA A/BUKIN I","Stepanova/Bukin","Stepanova/Bukin",16,23062,73035,ROC,ROC, 5, 5,"5","84.09","84.09",84090,"Q","47.09","37.00","0.00",TRUE,FALSE,1518048016,177,"https://stream.nbcolympics.com/figure-skating-rhythm-dance", 5,1,2,1020506,1020556,"STEPANOVA Aleksandra","BUKIN Ivan","Aleksandra","Ivan","Stepanova","Bukin","STEPANOVA A","BUKIN I",177,177,"https://stream.nbcolympics.com/figure-skating-rhythm-dance","https://stream.nbcolympics.com/figure-skating-rhythm-dance"
2, 63242,"GILLES P/POIRIER P","Gilles/Poirier","Gilles/Poirier",21,  159, 2231,Canada,CAN, 6, 6,"6","83.52","83.52",83520,"Q","46.17","37.35","0.00",TRUE,FALSE,1518048021,177,"https://stream.nbcolympics.com/figure-skating-rhythm-dance", 6,1,2, 809676, 720888,"GILLES Piper","POIRIER Paul","Piper","Paul","Gilles","Poirier","GILLES P","POIRIER P",177,177,"https://stream.nbcolympics.com/figure-skating-rhythm-dance","https://stream.nbcolympics.com/figure-skating-rhythm-dance"
2, 61113,"GUIGNARD C/FABBRI M","Guignard/Fabbri","Guignard/Fabbri",22,    6, 2210,Italy,ITA, 7, 7,"7","82.68","82.68",82680,"Q","45.85","36.83","0.00",TRUE,FALSE,1518048022,177,"https://stream.nbcolympics.com/figure-skating-rhythm-dance", 7,1,2, 926373, 926374,"GUIGNARD Charlene","FABBRI Marco","Charlène","Marco","Guignard","Fabbri","GUIGNARD C","FABBRI M",177,177,"https://stream.nbcolympics.com/figure-skating-rhythm-dance","https://stream.nbcolympics.com/figure-skating-rhythm-dance"
2, 66825,"FOURNIER BEAUDRY L/SORENSEN N","Fournier Beaudry/Sørensen","Fournier Beaudry/Sørensen",15,  159, 2231,Canada,CAN, 8, 8,"8","78.54","78.54",78540,"Q","43.89","34.65","0.00",TRUE,FALSE,1518048015,177,"https://stream.nbcolympics.com/figure-skating-rhythm-dance", 8,1,2,1232750, 833788,"FOURNIER BEAUDRY Laurence","SORENSEN Nikolaj","Laurence","Nikolaj","Fournier Beaudry","Sørensen","FOURNIER BEAUDRY L","SORENSEN N",177,177,"https://stream.nbcolympics.com/figure-skating-rhythm-dance","https://stream.nbcolympics.com/figure-skating-rhythm-dance"
2,431346,"SMART O/DIAZ A","Smart/Díaz","Smart/Díaz",14,  145, 2203,Spain,ESP, 9, 9,"9","77.70","77.70",77700,"Q","42.78","34.92","0.00",TRUE,FALSE,1518048014,177,"https://stream.nbcolympics.com/figure-skating-rhythm-dance", 9,1,2,1020595, 836324,"SMART Olivia","DIAZ Adria","Olivia","Adrià","Smart","Díaz","SMART O","DIAZ A",177,177,"https://stream.nbcolympics.com/figure-skating-rhythm-dance","https://stream.nbcolympics.com/figure-skating-rhythm-dance"
2,431355,"FEAR L/GIBSON L","Fear/Gibson","Fear/Gibson",17,  211, 4058,Great Britain,GBR,10,10,"10","76.45","76.45",76450,"Q","41.70","34.75","0.00",TRUE,FALSE,1518048017,177,"https://stream.nbcolympics.com/figure-skating-rhythm-dance",10,1,2,1302159,1550627,"FEAR Lilah","GIBSON Lewis","Lilah","Lewis","Fear","Gibson","FEAR L","GIBSON L",177,177,"https://stream.nbcolympics.com/figure-skating-rhythm-dance","https://stream.nbcolympics.com/figure-skating-rhythm-dance"
2, 67660,"HAWAYEK K/BAKER JL","Hawayek/Baker","Hawayek/Baker",13,    5, 2209,United States,USA,11,11,"11","74.58","74.58",74580,"Q","40.80","33.78","0.00",TRUE,FALSE,1518048013,177,"https://stream.nbcolympics.com/figure-skating-rhythm-dance",11,1,2,1137777,1137779,"HAWAYEK Kaitlin","BAKER Jean-Luc","Kaitlin","Jean-Luc","Hawayek","Baker","HAWAYEK K","BAKER JL",177,177,"https://stream.nbcolympics.com/figure-skating-rhythm-dance","https://stream.nbcolympics.com/figure-skating-rhythm-dance"
2, 67663,"WANG S/LIU X","Wang/Liu","Wang/Liu",11,   26, 2770,China,CHN,12,12,"12","73.41","73.41",73410,"Q","40.16","33.25","0.00",TRUE,FALSE,1518048011,177,"https://stream.nbcolympics.com/figure-skating-rhythm-dance",12,1,2,1239210,1239211,"WANG Shiyue","LIU Xinyu","Shiyue","Xinyu","Wang","Liu","WANG S","LIU X",177,177,"https://stream.nbcolympics.com/figure-skating-rhythm-dance","https://stream.nbcolympics.com/figure-skating-rhythm-dance"
