"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantFirstName","c_ParticipantLastName","n_StartOrder","NOC.n_ID","NOC.n_GeoID","NOC.c_Name","NOC.c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_PointsAbs","c_ODF_QualificationMark","c_ResultInfo_1","c_ResultInfo_2","c_ResultInfo_3","b_Completed","b_Upcoming","n_BDF_StartTime","c_BDF_StartTime","n_BDF_VideoSessionID","c_ClientStreamURL"
1,2015766,"VALIEVA Kamila","VALIEVA K","Kamila","Valieva",26,23062,73035,ROC,ROC, 1, 1,"1","82.16","82.16",82160,"Q","44.51","37.65","0.00",TRUE,FALSE,1518048026,"456926:31:53",179,"https://stream.nbcolympics.com/figure-skating-ladies-short-program"
1,1855011,"SHCHERBAKOVA Anna","SHCHERBAKOVA A","Anna","Shcherbakova",29,23062,73035,ROC,ROC, 2, 2,"2","80.20","80.20",80200,"Q","42.87","37.33","0.00",TRUE,FALSE,1518048029,"456926:43:55",179,"https://stream.nbcolympics.com/figure-skating-ladies-short-program"
1,1208583,"SAKAMOTO Kaori","SAKAMOTO K","Kaori","Sakamoto",30,   18, 2241,Japan,JPN, 3, 3,"3","79.84","79.84",79840,"Q","43.22","36.62","0.00",TRUE,FALSE,1518048030,"456926:45:05",179,"https://stream.nbcolympics.com/figure-skating-ladies-short-program"
1,1699923,"TRUSOVA Aleksandra","TRUSOVA A","Aleksandra","Trusova",28,23062,73035,ROC,ROC, 4, 4,"4","74.60","74.60",74600,"Q","40.12","35.48","-1.00",TRUE,FALSE,1518048028,"456926:31:16",179,"https://stream.nbcolympics.com/figure-skating-ladies-short-program"
1,1302221,"HIGUCHI Wakaba","HIGUCHI W","Wakaba","Higuchi",20,   18, 2241,Japan,JPN, 5, 5,"5","73.51","73.51",73510,"Q","39.53","33.98","0.00",TRUE,FALSE,1518048020,"456926:31:02",179,"https://stream.nbcolympics.com/figure-skating-ladies-short-program"
1,1713415,"YOU Young","YOU Y","Young","You",27,  106, 4391,South Korea,KOR, 6, 6,"6","70.34","70.34",70340,"Q","36.80","33.54","0.00",TRUE,FALSE,1518048027,"456925:59:36",179,"https://stream.nbcolympics.com/figure-skating-ladies-short-program"
1,1319684,"HENDRICKX Loena","HENDRICKX L","Loena","Hendrickx",23,  147, 2205,Belgium,BEL, 7, 7,"7","70.09","70.09",70090,"Q","36.09","34.00","0.00",TRUE,FALSE,1518048023,"456925:25:23",179,"https://stream.nbcolympics.com/figure-skating-ladies-short-program"
1,2015673,"LIU Alysa","LIU A","Alysa","Liu",22,    5, 2209,United States,USA, 8, 8,"8","69.50","69.50",69500,"Q","36.85","32.65","0.00",TRUE,FALSE,1518048022,"456925:18:51",179,"https://stream.nbcolympics.com/figure-skating-ladies-short-program"
1,1527591,"KIM Ye-Lim","KIM YL","Ye-Lim","Kim",19,  106, 4391,South Korea,KOR, 9, 9,"9","67.78","67.78",67780,"Q","35.27","32.51","0.00",TRUE,FALSE,1518048019,"456926:35:57",179,"https://stream.nbcolympics.com/figure-skating-ladies-short-program"
1,1702025,"GUBANOVA Anastasia","GUBANOVA A","Anastasia","Gubanova", 9,  163, 2239,Georgia,GEO,10,10,"10","65.40","65.40",65400,"Q","34.43","30.97","0.00",TRUE,FALSE,1518048009,"456924:37:27",179,"https://stream.nbcolympics.com/figure-skating-ladies-short-program"
1,1208599,"BELL Mariah","BELL M","Mariah","Bell",10,    5, 2209,United States,USA,11,11,"11","65.38","65.38",65380,"Q","33.43","32.95","-1.00",TRUE,FALSE,1518048010,"456924:43:12",179,"https://stream.nbcolympics.com/figure-skating-ladies-short-program"
1,1010063,"BREZINOVA Eliska","BREZINOVA E","Eliška","Brezinová",13,   17, 2240,Czech Republic,CZE,12,12,"12","64.31","64.31",64310,"Q","35.74","28.57","0.00",TRUE,FALSE,1518048013,"456924:37:48",179,"https://stream.nbcolympics.com/figure-skating-ladies-short-program"
1,1208584,"CHEN Karen","CHEN K","Karen","Chen",25,    5, 2209,United States,USA,13,13,"13","64.11","64.11",64110,"Q","31.24","33.87","-1.00",TRUE,FALSE,1518048025,"456926:39:04",179,"https://stream.nbcolympics.com/figure-skating-ladies-short-program"
1, 920821,"SCHOTT Nicole","SCHOTT N","Nicole","Schott",17,    2, 2206,Germany,GER,14,14,"14","63.13","63.13",63130,"Q","33.01","30.12","0.00",TRUE,FALSE,1518048017,"456924:38:09",179,"https://stream.nbcolympics.com/figure-skating-ladies-short-program"
1,2015757,"KAWABE Mana","KAWABE M","Mana","Kawabe", 4,   18, 2241,Japan,JPN,15,15,"15","62.69","62.69",62690,"Q","33.66","30.03","-1.00",TRUE,FALSE,1518048004,"456922:28:02",179,"https://stream.nbcolympics.com/figure-skating-ladies-short-program"
1,1871003,"RYABOVA Ekaterina","RYABOVA E","Ekaterina","Ryabova",24,  214, 4318,Azerbaijan,AZE,16,16,"16","61.82","61.82",61820,"Q","32.43","29.39","0.00",TRUE,FALSE,1518048024,"456925:31:54",179,"https://stream.nbcolympics.com/figure-skating-ladies-short-program"
1,2060464,"SAFONOVA Viktoriya","SAFONOVA V","Viktoriya","Safonova",16,  103, 4387,Belarus,BLR,17,17,"17","61.46","61.46",61460,"Q","32.72","28.74","0.00",TRUE,FALSE,1518048016,"456924:37:57",179,"https://stream.nbcolympics.com/figure-skating-ladies-short-program"
1,1702081,"MIKUTINA Olga","MIKUTINA O","Olga","Mikutina", 3,  151, 2219,Austria,AUT,18,18,"18","61.14","61.14",61140,"Q","32.54","28.60","0.00",TRUE,FALSE,1518048003,"456922:52:59",179,"https://stream.nbcolympics.com/figure-skating-ladies-short-program"
1,1527534,"PAGANINI Alexia","PAGANINI A","Alexia","Paganini",18,  149, 2213,Switzerland,SUI,19,19,"19","61.06","61.06",61060,"Q","32.03","29.03","0.00",TRUE,FALSE,1518048018,"456924:38:19",179,"https://stream.nbcolympics.com/figure-skating-ladies-short-program"
