"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantFirstName","c_ParticipantLastName","n_StartOrder","NOC.n_ID","NOC.n_GeoID","NOC.c_Name","NOC.c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_PointsAbs","c_ResultInfo_1","c_ResultInfo_2","c_ResultInfo_3","b_Completed","b_Upcoming","n_BDF_StartTime","c_BDF_StartTime","n_BDF_VideoSessionID","c_ClientStreamURL"
1,1699923,"TRUSOVA Aleksandra","TRUSOVA A","Aleksandra","Trusova",22,23062,73035,ROC,ROC, 1, 1,"1","177.13","177.13",177130,"106.16","70.97","0.00",TRUE,FALSE,1518048022,"456974:38:54",180,"https://stream.nbcolympics.com/figure-skating-ladies-free-skate"
1,1855011,"SHCHERBAKOVA Anna","SHCHERBAKOVA A","Anna","Shcherbakova",24,23062,73035,ROC,ROC, 2, 2,"2","175.75","175.75",175750,"100.49","75.26","0.00",TRUE,FALSE,1518048024,"456974:41:18",180,"https://stream.nbcolympics.com/figure-skating-ladies-free-skate"
1,1208583,"SAKAMOTO Kaori","SAKAMOTO K","Kaori","Sakamoto",23,   18, 2241,Japan,JPN, 3, 3,"3","153.29","153.29",153290,"78.90","74.39","0.00",TRUE,FALSE,1518048023,"456973:34:31",180,"https://stream.nbcolympics.com/figure-skating-ladies-free-skate"
1,1713415,"YOU Young","YOU Y","Young","You",20,  106, 4391,South Korea,KOR, 4, 4,"4","142.75","142.75",142750,"74.16","68.59","0.00",TRUE,FALSE,1518048020,"456974:36:13",180,"https://stream.nbcolympics.com/figure-skating-ladies-free-skate"
1,2015766,"VALIEVA Kamila","VALIEVA K","Kamila","Valieva",25,23062,73035,ROC,ROC, 5, 5,"5","141.93","141.93",141930,"73.31","70.62","-2.00",TRUE,FALSE,1518048025,"456974:43:45",180,"https://stream.nbcolympics.com/figure-skating-ladies-free-skate"
1,1302221,"HIGUCHI Wakaba","HIGUCHI W","Wakaba","Higuchi",21,   18, 2241,Japan,JPN, 6, 6,"6","140.93","140.93",140930,"72.67","69.26","-1.00",TRUE,FALSE,1518048021,"456974:21:42",180,"https://stream.nbcolympics.com/figure-skating-ladies-free-skate"
1,2015673,"LIU Alysa","LIU A","Alysa","Liu",18,    5, 2209,United States,USA, 7, 7,"7","139.45","139.45",139450,"71.95","67.50","0.00",TRUE,FALSE,1518048018,"456972:47:06",180,"https://stream.nbcolympics.com/figure-skating-ladies-free-skate"
1,1208599,"BELL Mariah","BELL M","Mariah","Bell",15,    5, 2209,United States,USA, 8, 8,"8","136.92","136.92",136920,"68.25","68.67","0.00",TRUE,FALSE,1518048015,"456972:24:03",180,"https://stream.nbcolympics.com/figure-skating-ladies-free-skate"
1,1319684,"HENDRICKX Loena","HENDRICKX L","Loena","Hendrickx",19,  147, 2205,Belgium,BEL, 9, 9,"9","136.70","136.70",136700,"66.19","70.51","0.00",TRUE,FALSE,1518048019,"456974:35:24",180,"https://stream.nbcolympics.com/figure-skating-ladies-free-skate"
1,1702025,"GUBANOVA Anastasia","GUBANOVA A","Anastasia","Gubanova",16,  163, 2239,Georgia,GEO,10,10,"10","135.58","135.58",135580,"70.06","65.52","0.00",TRUE,FALSE,1518048016,"456972:31:41",180,"https://stream.nbcolympics.com/figure-skating-ladies-free-skate"
1,1527591,"KIM Ye-Lim","KIM YL","Ye-Lim","Kim",17,  106, 4391,South Korea,KOR,11,11,"11","134.85","134.85",134850,"68.61","66.24","0.00",TRUE,FALSE,1518048017,"456972:39:32",180,"https://stream.nbcolympics.com/figure-skating-ladies-free-skate"
1,2024119,"KURAKOVA Ekaterina","KURAKOVA E","Ekaterina","Kurakova", 2,  150, 2214,Poland,POL,12,12,"12","126.76","126.76",126760,"66.24","60.52","0.00",TRUE,FALSE,1518048002,"456972:02:58",180,"https://stream.nbcolympics.com/figure-skating-ladies-free-skate"
1,2060464,"SAFONOVA Viktoriya","SAFONOVA V","Viktoriya","Safonova", 9,  103, 4387,Belarus,BLR,13,13,"13","123.37","123.37",123370,"65.54","57.83","0.00",TRUE,FALSE,1518048009,"456971:57:07",180,"https://stream.nbcolympics.com/figure-skating-ladies-free-skate"
1,1702081,"MIKUTINA Olga","MIKUTINA O","Olga","Mikutina", 8,  151, 2219,Austria,AUT,14,14,"14","121.06","121.06",121060,"61.12","59.94","0.00",TRUE,FALSE,1518048008,"456972:09:32",180,"https://stream.nbcolympics.com/figure-skating-ladies-free-skate"
1,1871003,"RYABOVA Ekaterina","RYABOVA E","Ekaterina","Ryabova",10,  214, 4318,Azerbaijan,AZE,15,15,"15","118.15","118.15",118150,"59.58","58.57","0.00",TRUE,FALSE,1518048010,"456971:24:56",180,"https://stream.nbcolympics.com/figure-skating-ladies-free-skate"
1,2015760,"VAN ZUNDERT Lindsay","VAN ZUNDERT L","Lindsay","van Zundert", 4,    1, 2201,Netherlands,NED,16,16,"16","116.57","116.57",116570,"61.74","54.83","0.00",TRUE,FALSE,1518048004,"456972:05:37",180,"https://stream.nbcolympics.com/figure-skating-ladies-free-skate"
1,1208584,"CHEN Karen","CHEN K","Karen","Chen",13,    5, 2209,United States,USA,17,17,"17","115.82","115.82",115820,"51.61","65.21","-1.00",TRUE,FALSE,1518048013,"456971:48:27",180,"https://stream.nbcolympics.com/figure-skating-ladies-free-skate"
1,2080022,"SCHIZAS Madeline","SCHIZAS M","Madeline","Schizas", 6,  159, 2231,Canada,CAN,18,18,"18","115.03","115.03",115030,"53.68","62.35","-1.00",TRUE,FALSE,1518048006,"456970:46:33",180,"https://stream.nbcolympics.com/figure-skating-ladies-free-skate"
1, 920821,"SCHOTT Nicole","SCHOTT N","Nicole","Schott",12,    2, 2206,Germany,GER,19,19,"19","114.52","114.52",114520,"56.28","60.24","-2.00",TRUE,FALSE,1518048012,"456972:12:50",180,"https://stream.nbcolympics.com/figure-skating-ladies-free-skate"
1,1778316,"KIIBUS Eva-Lotta","KIIBUS EL","Eva-Lotta","Kiibus", 5,    8, 2217,Estonia,EST,20,20,"20","112.20","112.20",112200,"54.27","58.93","-1.00",TRUE,FALSE,1518048005,"456972:06:49",180,"https://stream.nbcolympics.com/figure-skating-ladies-free-skate"
1,1010063,"BREZINOVA Eliska","BREZINOVA E","Eliška","Brezinová",14,   17, 2240,Czech Republic,CZE,21,21,"21","111.10","111.10",111100,"54.81","58.29","-2.00",TRUE,FALSE,1518048014,"456974:31:41",180,"https://stream.nbcolympics.com/figure-skating-ladies-free-skate"
1,1527534,"PAGANINI Alexia","PAGANINI A","Alexia","Paganini", 7,  149, 2213,Switzerland,SUI,22,22,"22","107.85","107.85",107850,"50.01","57.84","0.00",TRUE,FALSE,1518048007,"456970:54:06",180,"https://stream.nbcolympics.com/figure-skating-ladies-free-skate"
1,2015757,"KAWABE Mana","KAWABE M","Mana","Kawabe",11,   18, 2241,Japan,JPN,23,23,"23","104.04","104.04",104040,"47.87","60.17","-4.00",TRUE,FALSE,1518048011,"456971:33:02",180,"https://stream.nbcolympics.com/figure-skating-ladies-free-skate"
1,1530091,"FEIGIN Alexandra","FEIGIN A","Alexandra","Feigin", 3,  148, 2211,Bulgaria,BUL,24,24,"24","100.15","100.15",100150,"49.89","51.26","-1.00",TRUE,FALSE,1518048003,"456970:23:34",180,"https://stream.nbcolympics.com/figure-skating-ladies-free-skate"
1,1148662,"SAARINEN Jenni","SAARINEN J","Jenni","Saarinen", 1,  161, 2237,Finland,FIN,25,25,"25","96.07","96.07", 96070,"45.96","54.11","-4.00",TRUE,FALSE,1518048001,"456972:01:22",180,"https://stream.nbcolympics.com/figure-skating-ladies-free-skate"
