"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantFirstName","c_ParticipantLastName","c_Bib","n_StartOrder","NOC.n_ID","NOC.n_GeoID","NOC.c_Name","NOC.c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_TimeAbs","n_TimeRel","c_ResultInfo_1","c_ResultInfo_2","b_Completed","b_Upcoming","n_BDF_VideoSessionID"
1, 980251,"BOE Johannes Thingnes","BOE JT","Johannes Thingnes","Bø","16",16,  153, 2221,Norway,NOR, 1, 1,"1","24:00.4","24:00.4",1440400,     0,"0 + 1","1",TRUE,FALSE,1
1, 923163,"FILLON MAILLET Quentin","FILLON MAILLET Q","Quentin","Fillon Maillet","18",18,  144, 2202,France,FRA, 2, 2,"2","+25.5","24:25.9",1465900, 25500,"1 + 0","1",TRUE,FALSE,1
1, 708876,"BOE Tarjei","BOE T","Tarjei","Bø","27",27,  153, 2221,Norway,NOR, 3, 3,"3","+38.9","24:39.3",1479300, 38900,"0 + 1","1",TRUE,FALSE,1
1, 918879,"TSVETKOV Maxim","TSVETKOV M","Maxim","Tsvetkov","9", 9,23062,73035,ROC,ROC, 4, 4,"4","+40.6","24:41.0",1481000, 40600,"0 + 0","0",TRUE,FALSE,1
1,1338622,"SAMUELSSON Sebastian","SAMUELSSON S","Sebastian","Samuelsson","56",56,  154, 2222,Sweden,SWE, 5, 5,"5","+52.0","24:52.4",1492400, 52000,"1 + 0","1",TRUE,FALSE,1
1,1245820,"PONSILUOMA Martin","PONSILUOMA M","Martin","Ponsiluoma","26",26,  154, 2222,Sweden,SWE, 6, 6,"6","+53.7","24:54.1",1494100, 53700,"0 + 2","2",TRUE,FALSE,1
1,1338639,"LAEGREID Sturla Holm","LAEGREID SH","Sturla Holm","Lægreid","40",40,  153, 2221,Norway,NOR, 7, 7,"7","+1:02.3","25:02.7",1502700, 62300,"1 + 1","2",TRUE,FALSE,1
1, 717496,"DOLL Benedikt","DOLL B","Benedikt","Doll","30",30,    2, 2206,Germany,GER, 8, 8,"8","+1:05.0","25:05.4",1505400, 65000,"0 + 1","1",TRUE,FALSE,1
1,1245776,"JACQUELIN Emilien","JACQUELIN E","Emilien","Jacquelin","34",34,  144, 2202,France,FRA, 9, 9,"9","+1:05.9","25:06.3",1506300, 65900,"1 + 1","2",TRUE,FALSE,1
1,1362517,"SMOLSKI Anton","SMOLSKI A","Anton","Smolski","24",24,  103, 4387,Belarus,BLR,10,10,"10","+1:12.5","25:12.9",1512900, 72500,"0 + 1","1",TRUE,FALSE,1
