"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantFirstName","c_ParticipantLastName","c_Bib","n_StartOrder","NOC.n_ID","NOC.n_GeoID","NOC.c_Name","NOC.c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_TimeAbs","n_TimeRel","c_ResultInfo_1","c_ResultInfo_2","b_Completed","b_Upcoming","n_BDF_VideoSessionID","c_ODF_IRM"
1, 703233,"HERRMANN Denise","HERRMANN D","Denise","Herrmann","8", 8,    2, 2206,Germany,GER, 1, 1,"1","44:12.7","44:12.7",2652700,     0,"0 + 0 + 1 + 0","1",TRUE,FALSE,1,NA
1, 844445,"CHEVALIER-BOUCHET Anais","CHEVALIER-BOUCHET A","Anaïs","Chevalier-Bouchet","12",12,  144, 2202,France,FRA, 2, 2,"2","+9.4","44:22.1",2662100,  9400,"0 + 0 + 0 + 1","1",TRUE,FALSE,1,NA
1, 918902,"OLSBU ROEISELAND Marte","OLSBU ROEISELAND M","Marte","Olsbu Røiseland","1", 1,  153, 2221,Norway,NOR, 3, 3,"3","+15.3","44:28.0",2668000, 15300,"1 + 0 + 0 + 1","2",TRUE,FALSE,1,NA
1,1626878,"VOIGT Vanessa","VOIGT V","Vanessa","Voigt","36",36,    2, 2206,Germany,GER, 4, 4,"4","+16.6","44:29.3",2669300, 16600,"1 + 0 + 0 + 0","1",TRUE,FALSE,1,NA
1, 980215,"ALIMBEKAVA Dzinara","ALIMBEKAVA D","Dzinara","Alimbekava","30",30,  103, 4387,Belarus,BLR, 5, 5,"5","+31.7","44:44.4",2684400, 31700,"0 + 0 + 0 + 1","1",TRUE,FALSE,1,NA
1,1338578,"DAVIDOVA Marketa","DAVIDOVA M","Markéta","Davidová","15",15,   17, 2240,Czech Republic,CZE, 6, 6,"6","+31.9","44:44.6",2684600, 31900,"0 + 0 + 0 + 1","1",TRUE,FALSE,1,NA
1,1635357,"IRWIN Deedra","IRWIN D","Deedra","Irwin","16",16,    5, 2209,United States,USA, 7, 7,"7","+1:01.4","45:14.1",2714100, 61400,"0 + 0 + 0 + 1","1",TRUE,FALSE,1,NA
1,1338357,"TANDREVOLD Ingrid Landmark","TANDREVOLD IL","Ingrid Landmark","Tandrevold","22",22,  153, 2221,Norway,NOR, 8, 8,"8","+1:02.7","45:15.4",2715400, 62700,"0 + 1 + 0 + 0","1",TRUE,FALSE,1,NA
1,1362292,"REZTSOVA Kristina","REZTSOVA K","Kristina","Reztsova","74",74,23062,73035,ROC,ROC, 9, 9,"9","+1:13.1","45:25.8",2725800, 73100,"0 + 0 + 2 + 0","2",TRUE,FALSE,1,NA
1, 760227,"DZHIMA Yuliia","DZHIMA Y","Yuliia","Dzhima","32",32,   13, 2232,Ukraine,UKR,10,10,"10","+1:21.7","45:34.4",2734400, 81700,"0 + 1 + 0 + 1","2",TRUE,FALSE,1,NA
1, 771319,"PETRENKO Iryna","PETRENKO I","Iryna","Petrenko","21",21,   13, 2232,Ukraine,UKR,11,11,"11","+1:29.5","45:42.2",2742200, 89500,"0 + 0 + 0 + 0","0",TRUE,FALSE,1,NA
1, 760473,"BRORSSON Mona","BRORSSON M","Mona","Brorsson","13",13,  154, 2222,Sweden,SWE,12,12,"12","+1:30.4","45:43.1",2743100, 90400,"1 + 0 + 0 + 0","1",TRUE,FALSE,1,NA
1,1632804,"OBERG Elvira","OBERG E","Elvira","Öberg","28",28,  154, 2222,Sweden,SWE,13,13,"13","+1:42.5","45:55.2",2755200,102500,"0 + 1 + 2 + 0","3",TRUE,FALSE,1,NA
1,1018336,"HINZ Vanessa","HINZ V","Vanessa","Hinz","80",80,    2, 2206,Germany,GER,14,14,"14","+1:54.7","46:07.4",2767400,114700,"0 + 1 + 0 + 0","1",TRUE,FALSE,1,NA
1,1017701,"PERSSON Linn","PERSSON L","Linn","Persson","34",34,  154, 2222,Sweden,SWE,15,15,"15","+2:09.6","46:22.3",2782300,129600,"0 + 0 + 1 + 1","2",TRUE,FALSE,1,NA
1,1017700,"OEBERG Hanna","OEBERG H","Hanna","Öberg","17",17,  154, 2222,Sweden,SWE,16,16,"16","+2:23.1","46:35.8",2795800,143100,"0 + 2 + 0 + 1","3",TRUE,FALSE,1,NA
1,1017687,"HAUSER Lisa Theresa","HAUSER LT","Lisa Theresa","Hauser","11",11,  151, 2219,Austria,AUT,17,17,"17","+2:23.3","46:36.0",2796000,143300,"0 + 1 + 1 + 1","3",TRUE,FALSE,1,NA
1, 717491,"WIERER Dorothea","WIERER D","Dorothea","Wierer","4", 4,    6, 2210,Italy,ITA,18,18,"18","+2:32.3","46:45.0",2805000,152300,"0 + 1 + 0 + 2","3",TRUE,FALSE,1,NA
1,1018300,"CHARVATOVA Lucie","CHARVATOVA L","Lucie","Charvátová","65",65,   17, 2240,Czech Republic,CZE,19,19,"19","+2:33.9","46:46.6",2806600,153900,"0 + 1 + 0 + 1","2",TRUE,FALSE,1,NA
1, 720690,"HOJNISZ-STAREGA Monika","HOJNISZ-STAREGA M","Monika","Hojnisz-Starega","26",26,  150, 2214,Poland,POL,20,20,"20","+2:42.6","46:55.3",2815300,162600,"0 + 0 + 1 + 1","2",TRUE,FALSE,1,NA
1,1245784,"SIMON Julia","SIMON J","Julia","Simon","45",45,  144, 2202,France,FRA,21,21,"21","+2:56.4","47:09.1",2829100,176400,"0 + 0 + 1 + 3","4",TRUE,FALSE,1,NA
1, 720075,"ECKHOFF Tiril","ECKHOFF T","Tiril","Eckhoff","19",19,  153, 2221,Norway,NOR,22,22,"22","+2:57.5","47:10.2",2830200,177500,"0 + 2 + 0 + 3","5",TRUE,FALSE,1,NA
1,1137086,"MIRONOVA Svetlana","MIRONOVA S","Svetlana","Mironova","38",38,23062,73035,ROC,ROC,23,23,"23","+3:46.6","47:59.3",2879300,226600,"0 + 1 + 1 + 1","3",TRUE,FALSE,1,NA
1,1017698,"HAECKI Lena","HAECKI L","Lena","Häcki","41",41,  149, 2213,Switzerland,SUI,24,24,"24","+3:50.6","48:03.3",2883300,230600,"0 + 2 + 1 + 1","4",TRUE,FALSE,1,NA
1,1017902,"PREUSS Franziska","PREUSS F","Franziska","Preuß","71",71,    2, 2206,Germany,GER,25,25,"25","+3:51.5","48:04.2",2884200,231500,"0 + 2 + 0 + 2","4",TRUE,FALSE,1,NA
1, 909271,"INNERHOFER Katharina","INNERHOFER K","Katharina","Innerhofer","54",54,  151, 2219,Austria,AUT,26,26,"26","+3:57.3","48:10.0",2890000,237300,"0 + 2 + 0 + 2","4",TRUE,FALSE,1,NA
1, 759916,"TACHIZAKI Fuyuko","TACHIZAKI F","Fuyuko","Tachizaki","3", 3,   18, 2241,Japan,JPN,27,27,"27","+4:04.8","48:17.5",2897500,244800,"1 + 1 + 0 + 1","3",TRUE,FALSE,1,NA
1, 980274,"JISLOVA Jessica","JISLOVA J","Jessica","Jislová","23",23,   17, 2240,Czech Republic,CZE,27,28,"27","+4:04.8","48:17.5",2897500,244800,"0 + 1 + 0 + 1","2",TRUE,FALSE,1,NA
1,1338606,"KLEMENCIC Polona","KLEMENCIC P","Polona","Klemencic","2", 2,   30, 2783,Slovenia,SLO,29,29,"29","+4:06.1","48:18.8",2898800,246100,"0 + 2 + 0 + 0","2",TRUE,FALSE,1,NA
1, 659680,"BESCOND Anais","BESCOND A","Anaïs","Bescond","10",10,  144, 2202,France,FRA,30,30,"30","+4:13.3","48:26.0",2906000,253300,"2 + 1 + 0 + 1","4",TRUE,FALSE,1,NA
1,1137045,"SCHWAIGER Julia","SCHWAIGER J","Julia","Schwaiger","20",20,  151, 2219,Austria,AUT,31,31,"31","+4:29.5","48:42.2",2922200,269500,"2 + 1 + 0 + 0","3",TRUE,FALSE,1,NA
1, 656616,"EDER Mari","EDER M","Mari","Eder","18",18,  161, 2237,Finland,FIN,32,32,"32","+4:30.2","48:42.9",2922900,270200,"1 + 0 + 1 + 1","3",TRUE,FALSE,1,NA
1,1245794,"BANKES Megan","BANKES M","Megan","Bankes","25",25,  159, 2231,Canada,CAN,33,33,"33","+4:34.5","48:47.2",2927200,274500,"0 + 0 + 0 + 2","2",TRUE,FALSE,1,NA
1,1768993,"VOBORNIKOVA Tereza","VOBORNIKOVA T","Tereza","Voborníková","50",50,   17, 2240,Czech Republic,CZE,34,34,"34","+4:38.9","48:51.6",2931600,278900,"0 + 0 + 1 + 1","2",TRUE,FALSE,1,NA
1,1469807,"CHU Yuanmeng","CHU Y","Yuanmeng","Chu","58",58,   26, 2770,China,CHN,35,35,"35","+4:46.1","48:58.8",2938800,286100,"0 + 0 + 0 + 2","2",TRUE,FALSE,1,NA
1,1352000,"ZUK Kamila","ZUK K","Kamila","Zuk","43",43,  150, 2214,Poland,POL,36,36,"36","+4:50.0","49:02.7",2942700,290000,"0 + 2 + 1 + 0","3",TRUE,FALSE,1,NA
1,2079225,"STREMOUS Alina","STREMOUS A","Alina","Stremous","56",56,   23, 2251,Moldova,MDA,37,37,"37","+4:54.8","49:07.5",2947500,294800,"1 + 2 + 0 + 1","4",TRUE,FALSE,1,NA
1,1338325,"KALKENBERG Emilie","KALKENBERG E","Emilie","Kalkenberg","53",53,  153, 2221,Norway,NOR,38,38,"38","+4:56.1","49:08.8",2948800,296100,"3 + 0 + 0 + 1","4",TRUE,FALSE,1,NA
1,1338227,"EGAN Clare","EGAN C","Clare","Egan","59",59,    5, 2209,United States,USA,39,39,"39","+4:56.2","49:08.9",2948900,296200,"1 + 0 + 3 + 1","5",TRUE,FALSE,1,NA
1,1137047,"BRAISAZ-BOUCHET Justine","BRAISAZ-BOUCHET J","Justine","Braisaz-Bouchet","24",24,  144, 2202,France,FRA,40,40,"40","+4:57.4","49:10.1",2950100,297400,"0 + 2 + 2 + 1","5",TRUE,FALSE,1,NA
