"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantFirstName","c_ParticipantLastName","c_Bib","n_StartOrder","NOC.n_ID","NOC.n_GeoID","NOC.c_Name","NOC.c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_TimeAbs","n_TimeRel","c_ResultInfo_1","c_ResultInfo_2","b_Completed","b_Upcoming"
1,1137047,"BRAISAZ-BOUCHET Justine","BRAISAZ-BOUCHET J","Justine","Braisaz-Bouchet","10",10,  144, 2202,France,FRA, 1, 1,"1","40:18.0","40:18.0",2418000,     0,"2 + 1 + 0 + 1","4",TRUE,FALSE
1, 720075,"ECKHOFF Tiril","ECKHOFF T","Tiril","Eckhoff","6", 6,  153, 2221,Norway,NOR, 2, 2,"2","+15.3","40:33.3",2433300, 15300,"0 + 0 + 2 + 2","4",TRUE,FALSE
1, 918902,"OLSBU ROEISELAND Marte","OLSBU ROEISELAND M","Marte","Olsbu Røiseland","2", 2,  153, 2221,Norway,NOR, 3, 3,"3","+34.9","40:52.9",2452900, 34900,"0 + 0 + 2 + 2","4",TRUE,FALSE
1,1338578,"DAVIDOVA Marketa","DAVIDOVA M","Markéta","Davidová","13",13,   17, 2240,Czech Republic,CZE, 4, 4,"4","+53.4","41:11.4",2471400, 53400,"1 + 0 + 1 + 2","4",TRUE,FALSE
1,1362292,"REZTSOVA Kristina","REZTSOVA K","Kristina","Reztsova","15",15,23062,73035,ROC,ROC, 5, 5,"5","+1:11.0","41:29.0",2489000, 71000,"2 + 1 + 1 + 2","6",TRUE,FALSE
1,1245784,"SIMON Julia","SIMON J","Julia","Simon","14",14,  144, 2202,France,FRA, 6, 6,"6","+1:22.6","41:40.6",2500600, 82600,"0 + 1 + 3 + 2","6",TRUE,FALSE
1, 760227,"DZHIMA Yuliia","DZHIMA Y","Yuliia","Dzhima","19",19,   13, 2232,Ukraine,UKR, 7, 7,"7","+1:25.7","41:43.7",2503700, 85700,"1 + 0 + 2 + 0","3",TRUE,FALSE
1,1017902,"PREUSS Franziska","PREUSS F","Franziska","Preuß","25",25,    2, 2206,Germany,GER, 8, 8,"8","+1:26.4","41:44.4",2504400, 86400,"1 + 1 + 1 + 1","4",TRUE,FALSE
1,1632804,"OBERG Elvira","OBERG E","Elvira","Öberg","4", 4,  154, 2222,Sweden,SWE, 9, 9,"9","+1:37.7","41:55.7",2515700, 97700,"1 + 0 + 0 + 3","4",TRUE,FALSE
1,1338344,"SOLA Hanna","SOLA H","Hanna","Sola","11",11,  103, 4387,Belarus,BLR,10,10,"10","+1:39.2","41:57.2",2517200, 99200,"2 + 2 + 1 + 3","8",TRUE,FALSE
