"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantLastName","c_Bib","n_StartOrder","NOC.n_ID","NOC.n_GeoID","NOC.c_Name","NOC.c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_TimeAbs","n_TimeRel","c_ResultInfo_1","b_Completed","b_Upcoming","n_Position1","n_Position2","n_Position3","n_Position4","n_PersonID1","n_PersonID2","n_PersonID3","n_PersonID4","c_Person1","c_Person2","c_Person3","c_Person4","c_PersonFirstName1","c_PersonFirstName2","c_PersonFirstName3","c_PersonFirstName4","c_PersonLastName1","c_PersonLastName2","c_PersonLastName3","c_PersonLastName4","c_PersonShort1","c_PersonShort2","c_PersonShort3","c_PersonShort4","c_Bib1","c_Bib2","c_Bib3","c_Bib4"
4,   296,"Norway","NOR","Norway","1", 1,  153, 2221,Norway,NOR, 1, 1,"1","1:19:50.2","1:19:50.2",4790200,     0,"1 + 7",TRUE,FALSE,"1","2","3","4","1338639","708876","980251","823293","LAEGREID Sturla Holm","BOE Tarjei","BOE Johannes Thingnes","CHRISTIANSEN Vetle Sjaastad","Sturla Holm","Tarjei","Johannes Thingnes","Vetle Sjåstad","Lægreid","Bø","Bø","Christiansen","LAEGREID SH","BOE T","BOE JT","CHRISTIANSEN VS","1-1","1-4","1-1","1-4"
4,  2516,"France","FRA","France","3", 3,  144, 2202,France,FRA, 2, 2,"2","+27.4","1:20:17.6",4817600, 27400,"0 + 9",TRUE,FALSE,"1","2","3","4","1017663","1245776","844426","923163","CLAUDE Fabien","JACQUELIN Emilien","DESTHIEUX Simon","FILLON MAILLET Quentin","Fabien","Emilien","Simon","Quentin","Claude","Jacquelin","Desthieux","Fillon Maillet","CLAUDE F","JACQUELIN E","DESTHIEUX S","FILLON MAILLET Q","3-1","3-2","3-3","3-2"
4,475655,"ROC","ROC","ROC","2", 2,23062,73035,ROC,ROC, 3, 3,"3","+45.3","1:20:35.5",4835500, 45300,"2 + 6",TRUE,FALSE,"1","2","3","4","1475330","844397","918879","1137029","KHALILI Said Karimulla","LOGINOV Aleksandr","TSVETKOV Maxim","LATYPOV Eduard","Said Karimulla","Alexander","Maxim","Eduard","Khalili","Loginov","Tsvetkov","Latypov","KHALILI SK","LOGINOV A","TSVETKOV M","LATYPOV E","2-1","2-1","2-1","2-1"
4,  1084,"Germany","GER","Germany","4", 4,    2, 2206,Germany,GER, 4, 4,"4","+1:04.3","1:20:54.5",4854500, 64300,"1 + 9",TRUE,FALSE,"1","2","3","4","720068","1017915","717496","1246138","LESSER Erik","REES Roman","DOLL Benedikt","NAWRATH Philipp","Erik","Roman","Benedikt","Philipp","Lesser","Rees","Doll","Nawrath","LESSER E","REES R","DOLL B","NAWRATH P","4-1","4-1","4-1","4-1"
4,   747,"Sweden","SWE","Sweden","8", 8,  154, 2222,Sweden,SWE, 5, 5,"5","+1:49.4","1:21:39.6",4899600,109400,"1 + 13",TRUE,FALSE,"1","2","3","4","909302","1338368","1245820","1338622","FEMLING Peppe","NELIN Jesper","PONSILUOMA Martin","SAMUELSSON Sebastian","Peppe","Jesper","Martin","Sebastian","Femling","Nelin","Ponsiluoma","Samuelsson","FEMLING P","NELIN J","PONSILUOMA M","SAMUELSSON S","8-1","8-1","8-1","8-1"
4,   962,"Canada","CAN","Canada","10",10,  159, 2231,Canada,CAN, 6, 6,"6","+1:56.3","1:21:46.5",4906500,116300,"2 + 9",TRUE,FALSE,"1","2","3","4","1472943","844429","1245786","720662","RUNNALLS Adam","GOW Christian","BURNOTTE Jules","GOW Scott","Adam","Christian","Jules","Scott","Runnalls","Gow","Burnotte","Gow","RUNNALLS A","GOW C","BURNOTTE J","GOW S","10-1","10-2","10-3","10-2"
4,  1233,"Italy","ITA","Italy","7", 7,    6, 2210,Italy,ITA, 7, 7,"7","+1:58.6","1:21:48.8",4908800,118600,"2 + 13",TRUE,FALSE,"1","2","3","4","760355","1776668","717511","717512","BORMOLINI Thomas","GIACOMEL Tommaso","HOFER Lukas","WINDISCH Dominik","Thomas","Tommaso","Lukas","Dominik","Bormolini","Giacomel","Hofer","Windisch","BORMOLINI T","GIACOMEL T","HOFER L","WINDISCH D","7-1","7-1","7-1","7-1"
4,  2369,"Belarus","BLR","Belarus","5", 5,  103, 4387,Belarus,BLR, 8, 8,"8","+1:59.0","1:21:49.2",4909200,119000,"2 + 11",TRUE,FALSE,"1","2","3","4","1949143","1632783","1338417","1362517","LABASTAU Mikita","LAZOUSKI Dzmitry","VARABEI Maksim","SMOLSKI Anton","Mikita","Dzmitry","Maksim","Anton","Labastau","Lazouski","Varabei","Smolski","LABASTAU M","LAZOUSKI D","VARABEI M","SMOLSKI A","5-1","5-1","5-1","5-1"
4,   233,"Ukraine","UKR","Ukraine","6", 6,   13, 2232,Ukraine,UKR, 9, 9,"9","+3:41.3","1:23:31.5",5011500,221300,"4 + 12",TRUE,FALSE,"1","2","3","4","1338189","708783","1484428","844376","TSYMBAL Bogdan","PRYMA Artem","DUDCHENKO Anton","PIDRUCHNYI Dmytro","Bogdan","Artem","Anton","Dmytro","Tsymbal","Pryma","Dudchenko","Pidruchnyi","TSYMBAL B","PRYMA A","DUDCHENKO A","PIDRUCHNYI D","6-1","6-2","6-1","6-1"
4,   222,"Austria","AUT","Austria","14",14,  151, 2219,Austria,AUT,10,10,"10","+3:41.7","1:23:31.9",5011900,221700,"2 + 8",TRUE,FALSE,"1","2","3","4","771358","451771","1245792","835864","KOMATZ David","EDER Simon","LEITNER Felix","LEMMERER Harald","David","Simon","Felix","Harald","Komatz","Eder","Leitner","Lemmerer","KOMATZ D","EDER S","LEITNER F","LEMMERER H","14-1","14-1","14-1","14-4"
4,   507,"Slovenia","SLO","Slovenia","11",11,   30, 2783,Slovenia,SLO,11,11,"11","+4:19.4","1:24:09.6",5049600,259400,"0 + 10",TRUE,FALSE,"1","2","3","4","1017682","650373","1632818","848509","DOVZAN Miha","FAK Jakov","PLANKO Lovro","TRSAN Rok","Miha","Jakov","Lovro","Rok","Dovžan","Fak","Planko","Tršan","DOVZAN M","FAK J","PLANKO L","TRSAN R","11-1","11-4","11-3","11-4"
4,   493,"Switzerland","SUI","Switzerland","9", 9,  149, 2213,Switzerland,SUI,12,12,"12","+4:22.1","1:24:12.3",5052300,262100,"1 + 8",TRUE,FALSE,"1","2","3","4","1352235","720640","1632821","1338383","STALDER Sebastian","WEGER Benjamin","HARTWEG Niklas","BURKHALTER Joscha","Sebastian","Benjamin","Niklas","Joscha","Stalder","Weger","Hartweg","Burkhalter","STALDER S","WEGER B","HARTWEG N","BURKHALTER J","9-1","9-2","9-3","9-2"
4,   720,"United States","USA","United States","15",15,    5, 2209,United States,USA,13,13,"13","+5:42.8","1:25:33.0",5133000,342800,"3 + 13",TRUE,FALSE,"1","2","3","4","980366","1720671","1593255","717488","DOHERTY Sean","BROWN Jake","SCHOMMER Paul","NORDGREN Leif","Sean","Jake","Paul","Leif","Doherty","Brown","Schommer","Nordgren","DOHERTY S","BROWN J","SCHOMMER P","NORDGREN L","15-1","15-2","15-1","15-1"
4,  2620,"Lithuania","LTU","Lithuania","17",17,    7, 2215,Lithuania,LTU,14,14,"14","+5:47.6","1:25:37.8",5137800,347600,"0 + 11",TRUE,FALSE,"1","2","3","4","760378","919030","771311","1351996","KAUKENAS Tomas","STROLIA Vytautas","DOMBROVSKI Karol","BANYS Linas","Tomas","Vytautas","Karol","Linas","Kaukenas","Strolia","Dombrovski","Banys","KAUKENAS T","STROLIA V","DOMBROVSKI K","BANYS L","17-1","17-1","17-1","17-1"
4,   705,"Estonia","EST","Estonia","16",16,    8, 2217,Estonia,EST,15,15,"15","+6:13.4","1:26:03.6",5163600,373400,"2 + 12",TRUE,FALSE,"1","2","3","4","980313","1484433","980238","764081","ZAHKNA Rene","SIIMER Kristo","ERMITS Kalev","RAENKEL Raido","Rene","Kristo","Kalev","Raido","Zahkna","Siimer","Ermits","Ränkel","ZAHKNA R","SIIMER K","ERMITS K","RAENKEL R","16-1","16-3","16-3","16-3"
4,   220,"China","CHN","China","20",20,   26, 2770,China,CHN,16,16,"16","+6:37.3","1:26:27.5",5187500,397300,"2 + 11",TRUE,FALSE,"1","2","3","4","1023206","1338685","1475337","1718967","CHENG Fangming","YAN Xingyuan","ZHU Zhenyu","ZHANG Chunyu","Fangming","Xingyuan","Zhenyu","Chunyu","Cheng","Yan","Zhu","Zhang","CHENG F","YAN X","ZHU Z","ZHANG C","20-1","20-4","20-1","20-4"
4,  2053,"Finland","FIN","Finland","12",12,  161, 2237,Finland,FIN,17,17,"17","+7:07.5","1:26:57.7",5217700,427500,"4 + 14",TRUE,FALSE,"1","2","3","4","1017675","1338646","844420","1338665","LAITINEN Heikki","SEPPALA Tero","HIIDENSALO Olli","HARJULA Tuomas","Heikki","Tero","Olli","Tuomas","Laitinen","Seppälä","Hiidensalo","Harjula","LAITINEN H","SEPPALA T","HIIDENSALO O","HARJULA T","12-1","12-1","12-1","12-1"
4,   633,"Bulgaria","BUL","Bulgaria","18",18,  148, 2211,Bulgaria,BUL,18,18,"18","+7:15.1","1:27:05.3",5225300,435100,"2 + 11",TRUE,FALSE,"1","2","3","4","1949083","650455","759871","919034","TODEV Blagoy","ILIEV Vladimir","GERDZHIKOV Dimitar","SINAPOV Anton","Blagoy","Vladimir","Dimitar","Anton","Todev","Iliev","Gerdzhikov","Sinapov","TODEV B","ILIEV V","GERDZHIKOV D","SINAPOV A","18-1","18-2","18-1","18-1"
4,   347,"Czech Republic","CZE","Czech Republic","13",13,   17, 2240,Czech Republic,CZE,19,19,"19","LAP","LAP",NA,NA,"4 + 14",TRUE,FALSE,"1","2","3","4","1351832","1630139","1017642","823237","STVRTECKY Jakub","KARLIK Mikulas","VACLAVIK Adam","KRCMAR Michal","Jakub","Mikuláš","Adam","Michal","Štvrtecký","Karlík","Václavík","Krcmár","STVRTECKY J","KARLIK M","VACLAVIK A","KRCMAR M","13-1","13-4","13-1","13-4"
4,   209,"Belgium","BEL","Belgium","21",21,  147, 2205,Belgium,BEL,20,20,"20","LAP","LAP",NA,NA,"0 + 8",TRUE,FALSE,"1","2","3","4","759895","760243","1137091","1472949","CLAUDE Florent","LANGER Thierry","LAHAYE-GOFFART Tom","BEAUVAIS Cesar","Florent","Thierry","Tom","César","Claude","Langer","Lahaye-Goffart","Beauvais","CLAUDE F","LANGER T","LAHAYE-GOFFART T","BEAUVAIS C","21-1","21-1","21-1","21-4"
4,  1294,"Slovakia","SVK","Slovakia","19",19,   14, 2233,Slovakia,SVK,21,21,"21","LAP","LAP",NA,NA,"2 + 10",TRUE,FALSE,"1","2","3","4","909343","1338427","1137078","1630164","SIMA Michal","BALOGA Matej","BARTKO Simon","SKLENARIK Tomas","Michal","Matej","Simon","Tomáš","Šíma","Baloga","Bartko","Sklenárik","SIMA M","BALOGA M","BARTKO S","SKLENARIK T","19-1","19-2","19-1","19-1"
