"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantFirstName","c_ParticipantLastName","c_Bib","n_StartOrder","NOC.n_ID","NOC.n_GeoID","NOC.c_Name","NOC.c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_TimeAbs","n_TimeRel","b_Completed","b_Upcoming","c_ODF_IRM"
1, 656055,"JOHAUG Therese","JOHAUG T","Therese","Johaug","3", 3,  153, 2221,Norway,NOR, 1, 1,"1","44:13.7","44:13.7",2653700,     0,TRUE,FALSE,NA
1,1135218,"NEPRYAEVA Natalia","NEPRYAEVA N","Natalia","Nepryaeva","1", 1,23062,73035,ROC,ROC, 2, 2,"2","+30.2","44:43.9",2683900, 30200,TRUE,FALSE,NA
1,1018377,"STADLOBER Teresa","STADLOBER T","Teresa","Stadlober","11",11,  151, 2219,Austria,AUT, 3, 3,"3","+30.5","44:44.2",2684200, 30500,TRUE,FALSE,NA
1, 703248,"NISKANEN Kerttu","NISKANEN K","Kerttu","Niskanen","8", 8,  161, 2237,Finland,FIN, 4, 4,"4","+36.1","44:49.8",2689800, 36100,TRUE,FALSE,NA
1,1516469,"KARLSSON Frida","KARLSSON F","Frida","Karlsson","2", 2,  154, 2222,Sweden,SWE, 5, 5,"5","+42.5","44:56.2",2696200, 42500,TRUE,FALSE,NA
1, 774305,"DIGGINS Jessie","DIGGINS J","Jessica","Diggins","6", 6,    5, 2209,United States,USA, 6, 6,"6","+50.5","45:04.2",2704200, 50500,TRUE,FALSE,NA
1, 721248,"PARMAKOSKI Krista","PARMAKOSKI K","Krista","Pärmäkoski","7", 7,  161, 2237,Finland,FIN, 7, 7,"7","+58.4","45:12.1",2712100, 58400,TRUE,FALSE,NA
1,2262036,"RYGALINA Anastasia","RYGALINA A","Anastasia","Rygalina","20",20,23062,73035,ROC,ROC, 8, 8,"8","+1:17.2","45:30.9",2730900, 77200,TRUE,FALSE,NA
1,1240510,"CLAUDEL Delphine","CLAUDEL D","Delphine","Claudel","12",12,  144, 2202,France,FRA, 9, 9,"9","+1:17.8","45:31.5",2731500, 77800,TRUE,FALSE,NA
1,1232503,"ANDERSSON Ebba","ANDERSSON E","Ebba","Andersson","4", 4,  154, 2222,Sweden,SWE,10,10,"10","+1:27.6","45:41.3",2741300, 87600,TRUE,FALSE,NA
1,1635399,"SORINA Tatiana","SORINA T","Tatiana","Sorina","9", 9,23062,73035,ROC,ROC,11,11,"11","+2:17.6","46:31.3",2791300,137600,TRUE,FALSE,NA
1,1074462,"MATINTALO Johanna","MATINTALO J","Johanna","Matintalo","17",17,  161, 2237,Finland,FIN,12,12,"12","+2:22.8","46:36.5",2796500,142800,TRUE,FALSE,NA
1,1240885,"SAUERBREY Katherine","SAUERBREY K","Katherine","Sauerbrey","24",24,    2, 2206,Germany,GER,13,13,"13","+2:23.8","46:37.5",2797500,143800,TRUE,FALSE,NA
1, 763037,"BRENNAN Rosie","BRENNAN R","Rosie","Brennan","10",10,    5, 2209,United States,USA,14,14,"14","+2:51.7","47:05.4",2825400,171700,TRUE,FALSE,NA
1,1135589,"HENNIG Katharina","HENNIG K","Katharina","Hennig","5", 5,    2, 2206,Germany,GER,15,15,"15","+2:58.1","47:11.8",2831800,178100,TRUE,FALSE,NA
