"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantLastName","c_Bib","n_StartOrder","NOC.n_ID","NOC.n_GeoID","NOC.c_Name","NOC.c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_TimeAbs","n_TimeRel","b_Completed","b_Upcoming","n_Position1","n_Position2","n_Position3","n_Position4","n_PersonID1","n_PersonID2","n_PersonID3","n_PersonID4","c_Person1","c_Person2","c_Person3","c_Person4","c_PersonFirstName1","c_PersonFirstName2","c_PersonFirstName3","c_PersonFirstName4","c_PersonLastName1","c_PersonLastName2","c_PersonLastName3","c_PersonLastName4","c_PersonShort1","c_PersonShort2","c_PersonShort3","c_PersonShort4","c_Bib1","c_Bib2","c_Bib3","c_Bib4"
4,475657,"ROC","ROC","ROC","2", 2,23062,73035,ROC,ROC, 1, 1,"1","53:41.0","53:41.0",3221000,     0,TRUE,FALSE,"1","2","3","4","1240372","1135218","1635399","1947850","STUPAK Yulia","NEPRYAEVA Natalia","SORINA Tatiana","STEPANOVA Veronika","Yulia","Natalia","Tatiana","Veronika","Stupak","Nepryaeva","Sorina","Stepanova","STUPAK Y","NEPRYAEVA N","SORINA T","STEPANOVA V","2-1","2-2","2-3","2-4"
4,  1236,"Germany","GER","Germany","5", 5,    2, 2206,Germany,GER, 2, 2,"2","+18.2","53:59.2",3239200, 18200,TRUE,FALSE,"1","2","3","4","1240885","1135589","1018338","1240511","SAUERBREY Katherine","HENNIG Katharina","CARL Victoria","KREHL Sofie","Katherine","Katharina","Victoria","Sofie","Sauerbrey","Hennig","Carl","Krehl","SAUERBREY K","HENNIG K","CARL V","KREHL S","5-1","5-2","5-3","5-4"
4,   258,"Sweden","SWE","Sweden","6", 6,  154, 2222,Sweden,SWE, 3, 3,"3","+20.7","54:01.7",3241700, 20700,TRUE,FALSE,"1","2","3","4","1240378","1232503","1516469","1018286","DAHLQVIST Maja","ANDERSSON Ebba","KARLSSON Frida","SUNDLING Jonna","Maja","Ebba","Frida","Jonna","Dahlqvist","Andersson","Karlsson","Sundling","DAHLQVIST M","ANDERSSON E","KARLSSON F","SUNDLING J","6-1","6-2","6-3","6-4"
4,   740,"Finland","FIN","Finland","3", 3,  161, 2237,Finland,FIN, 4, 4,"4","+21.2","54:02.2",3242200, 21200,TRUE,FALSE,"1","2","3","4","703249","1074462","703248","721248","KYLLOENEN Anne","MATINTALO Johanna","NISKANEN Kerttu","PARMAKOSKI Krista","Anne","Johanna","Kerttu","Krista","Kyllönen","Matintalo","Niskanen","Pärmäkoski","KYLLOENEN A","MATINTALO J","NISKANEN K","PARMAKOSKI K","3-1","3-2","3-3","3-4"
4,   672,"Norway","NOR","Norway","1", 1,  153, 2221,Norway,NOR, 5, 5,"5","+28.8","54:09.8",3249800, 28800,TRUE,FALSE,"1","2","3","4","1240502","656055","1947566","840397","WENG Tiril Udnes","JOHAUG Therese","FOSSESHOLM Helene Marie","HAGA Ragnhild","Tiril Udnes","Therese","Helene Marie","Ragnhild","Weng","Johaug","Fossesholm","Haga","WENG TU","JOHAUG T","FOSSESHOLM HM","HAGA R","1-1","1-2","1-3","1-4"
4,   773,"United States","USA","United States","4", 4,    5, 2209,United States,USA, 6, 6,"6","+1:28.2","55:09.2",3309200, 88200,TRUE,FALSE,"1","2","3","4","1356907","763037","1947848","774305","SWIRBUL Hailey","BRENNAN Rosie","MCCABE Novie","DIGGINS Jessie","Hailey","Rosie","Novie","Jessica","Swirbul","Brennan","McCabe","Diggins","SWIRBUL H","BRENNAN R","MCCABE N","DIGGINS J","4-1","4-2","4-3","4-4"
4,   521,"Switzerland","SUI","Switzerland","7", 7,  149, 2213,Switzerland,SUI, 7, 7,"7","+3:00.5","56:41.5",3401500,180500,TRUE,FALSE,"1","2","3","4","720788","1023376","1947572","1240508","VAN DER GRAAFF Laurien","FAEHNDRICH Nadine","KAELIN Nadja","MEIER Alina","Laurien","Nadine","Nadja","Alina","van der Graaff","Fähndrich","Kälin","Meier","VAN DER GRAAFF L","FAEHNDRICH N","KAELIN N","MEIER A","7-1","7-2","7-3","7-4"
4,   855,"Italy","ITA","Italy","18",18,    6, 2210,Italy,ITA, 8, 8,"8","+3:39.5","57:20.5",3440500,219500,TRUE,FALSE,"1","2","3","4","1240886","1240738","2079824","848471","COMARELLA Anna","GANZ Caterina","DI CENTA Martina","SCARDONI Lucia","Anna","Caterina","Martina","Lucia","Comarella","Ganz","Di Centa","Scardoni","COMARELLA A","GANZ C","DI CENTA M","SCARDONI L","18-1","18-2","18-3","18-4"
4,   852,"Canada","CAN","Canada","9", 9,  159, 2231,Canada,CAN, 9, 9,"9","+3:39.9","57:20.9",3440900,219900,TRUE,FALSE,"1","2","3","4","1135223","1018253","1123824","1361492","STEWART-JONES Katherine","BEATTY Dahria","BROWNE Cendrine","BOUFFARD-NESBITT Olivia","Katherine","Dahria","Cendrine","Olivia","Stewart-Jones","Beatty","Browne","Bouffard-Nesbitt","STEWART-JONES K","BEATTY D","BROWNE C","BOUFFARD-NESBITT O","9-1","9-2","9-3","9-4"
4,  6524,"China","CHN","China","16",16,   26, 2770,China,CHN,10,10,"10","+4:08.7","57:49.7",3469700,248700,TRUE,FALSE,"1","2","3","4","1231777","657143","1947824","1555886","CHI Chunxue","LI Xin","JIALIN Bayani","MA Qinghua","Chunxue","Xin","Bayani","Qinghua","Chi","Li","Jialin","Ma","CHI C","LI X","JIALIN B","MA Q","16-1","16-2","16-3","16-4"
