"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantFirstName","c_ParticipantLastName","c_Bib","n_StartOrder","NOC.n_ID","NOC.n_GeoID","NOC.c_Name","NOC.c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_TimeAbs","n_TimeRel","b_Completed","b_Upcoming","n_BDF_VideoSessionID"
1, 656055,"JOHAUG Therese","JOHAUG T","Therese","Johaug","36",36,  153, 2221,Norway,NOR, 1, 1,"1","28:06.3","28:06.3",1686300,     0,TRUE,FALSE,1
1, 703248,"NISKANEN Kerttu","NISKANEN K","Kerttu","Niskanen","40",40,  161, 2237,Finland,FIN, 2, 2,"2","+0.4","28:06.7",1686700,   400,TRUE,FALSE,1
1, 721248,"PARMAKOSKI Krista","PARMAKOSKI K","Krista","Pärmäkoski","38",38,  161, 2237,Finland,FIN, 3, 3,"3","+31.5","28:37.8",1717800, 31500,TRUE,FALSE,1
1,1135218,"NEPRYAEVA Natalia","NEPRYAEVA N","Natalia","Nepryaeva","60",60,23062,73035,ROC,ROC, 4, 4,"4","+31.6","28:37.9",1717900, 31600,TRUE,FALSE,1
1,1135589,"HENNIG Katharina","HENNIG K","Katharina","Hennig","32",32,    2, 2206,Germany,GER, 5, 5,"5","+43.4","28:49.7",1729700, 43400,TRUE,FALSE,1
1,1232503,"ANDERSSON Ebba","ANDERSSON E","Ebba","Andersson","56",56,  154, 2222,Sweden,SWE, 6, 6,"6","+50.9","28:57.2",1737200, 50900,TRUE,FALSE,1
1,1240372,"STUPAK Yulia","STUPAK Y","Yulia","Stupak","52",52,23062,73035,ROC,ROC, 7, 7,"7","+57.5","29:03.8",1743800, 57500,TRUE,FALSE,1
1, 774305,"DIGGINS Jessie","DIGGINS J","Jessica","Diggins","34",34,    5, 2209,United States,USA, 8, 8,"8","+1:08.8","29:15.1",1755100, 68800,TRUE,FALSE,1
1,1018377,"STADLOBER Teresa","STADLOBER T","Teresa","Stadlober","54",54,  151, 2219,Austria,AUT, 9, 9,"9","+1:10.6","29:16.9",1756900, 70600,TRUE,FALSE,1
1,1635399,"SORINA Tatiana","SORINA T","Tatiana","Sorina","42",42,23062,73035,ROC,ROC,10,10,"10","+1:11.1","29:17.4",1757400, 71100,TRUE,FALSE,1
1,1240885,"SAUERBREY Katherine","SAUERBREY K","Katherine","Sauerbrey","22",22,    2, 2206,Germany,GER,11,11,"11","+1:20.9","29:27.2",1767200, 80900,TRUE,FALSE,1
1,1516469,"KARLSSON Frida","KARLSSON F","Frida","Karlsson","58",58,  154, 2222,Sweden,SWE,12,12,"12","+1:21.7","29:28.0",1768000, 81700,TRUE,FALSE,1
1, 763037,"BRENNAN Rosie","BRENNAN R","Rosie","Brennan","44",44,    5, 2209,United States,USA,13,13,"13","+1:22.3","29:28.6",1768600, 82300,TRUE,FALSE,1
1,1074462,"MATINTALO Johanna","MATINTALO J","Johanna","Matintalo","50",50,  161, 2237,Finland,FIN,14,14,"14","+1:24.9","29:31.2",1771200, 84900,TRUE,FALSE,1
1,1637946,"VASILIEVA Lilia","VASILIEVA L","Lilia","Vasilieva","9", 9,23062,73035,ROC,ROC,15,15,"15","+1:26.1","29:32.4",1772400, 86100,TRUE,FALSE,1
1, 703249,"KYLLOENEN Anne","KYLLOENEN A","Anne","Kyllönen","28",28,  161, 2237,Finland,FIN,16,16,"16","+1:36.3","29:42.6",1782600, 96300,TRUE,FALSE,1
1, 916837,"LAMPIC Anamarija","LAMPIC A","Anamarija","Lampic","30",30,   30, 2783,Slovenia,SLO,17,17,"17","+1:48.7","29:55.0",1795000,108700,TRUE,FALSE,1
1,1018253,"BEATTY Dahria","BEATTY D","Dahria","Beatty","10",10,  159, 2231,Canada,CAN,18,18,"18","+1:53.9","30:00.2",1800200,113900,TRUE,FALSE,1
1,1356899,"RIBOM Emma","RIBOM E","Emma","Ribom","26",26,  154, 2222,Sweden,SWE,19,19,"19","+1:59.5","30:05.8",1805800,119500,TRUE,FALSE,1
1, 607446,"KALLA Charlotte","KALLA C","Charlotte","Kalla","48",48,  154, 2222,Sweden,SWE,20,20,"20","+2:01.3","30:07.6",1807600,121300,TRUE,FALSE,1
1,1240502,"WENG Tiril Udnes","WENG TU","Tiril Udnes","Weng","46",46,  153, 2221,Norway,NOR,21,21,"21","+2:16.3","30:22.6",1822600,136300,TRUE,FALSE,1
1,1023376,"FAEHNDRICH Nadine","FAEHNDRICH N","Nadine","Fähndrich","29",29,  149, 2213,Switzerland,SUI,22,22,"22","+2:17.5","30:23.8",1823800,137500,TRUE,FALSE,1
1,1472997,"EIDUKA Patricija","EIDUKA P","Patricija","Eiduka","15",15,    9, 2218,Latvia,LAT,23,23,"23","+2:28.4","30:34.7",1834700,148400,TRUE,FALSE,1
1,1947848,"MCCABE Novie","MCCABE N","Novie","McCabe","5", 5,    5, 2209,United States,USA,24,24,"24","+2:28.6","30:34.9",1834900,148600,TRUE,FALSE,1
1,1240371,"WENG Lotta Udnes","WENG LU","Lotta Udnes","Weng","25",25,  153, 2221,Norway,NOR,25,25,"25","+2:30.7","30:37.0",1837000,150700,TRUE,FALSE,1
1,1240886,"COMARELLA Anna","COMARELLA A","Anna","Comarella","19",19,    6, 2210,Italy,ITA,26,26,"26","+2:38.7","30:45.0",1845000,158700,TRUE,FALSE,1
1, 396503,"ISHIDA Masako","ISHIDA M","Masako","Ishida","21",21,   18, 2241,Japan,JPN,27,27,"27","+2:44.3","30:50.6",1850600,164300,TRUE,FALSE,1
1,1240503,"FRAEBEL Antonia","FRAEBEL A","Antonia","Fräbel","8", 8,    2, 2206,Germany,GER,28,28,"28","+2:45.1","30:51.4",1851400,165100,TRUE,FALSE,1
1,1718981,"MARCISZ Izabela","MARCISZ I","Izabela","Marcisz","12",12,  150, 2214,Poland,POL,29,29,"29","+2:48.3","30:54.6",1854600,168300,TRUE,FALSE,1
1,1131331,"NOVAKOVA Petra","NOVAKOVA P","Petra","Nováková","11",11,   17, 2240,Czech Republic,CZE,30,30,"30","+2:54.4","31:00.7",1860700,174400,TRUE,FALSE,1
