"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantLastName","c_Bib","n_StartOrder","NOC.n_ID","NOC.n_GeoID","NOC.c_Name","NOC.c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_TimeAbs","n_TimeRel","b_Completed","b_Upcoming","n_Position1","n_Position2","n_PersonID1","n_PersonID2","c_Person1","c_Person2","c_PersonFirstName1","c_PersonFirstName2","c_PersonLastName1","c_PersonLastName2","c_PersonShort1","c_PersonShort2","c_Bib1","c_Bib2"
2,   672,"VALNES E/KLAEBO JH","Valnes/Klæbo","Valnes/Klæbo","1", 2,  153, 2221,Norway,NOR, 1, 1,"1","19:22.99","19:22.99",1162990,     0,TRUE,FALSE,"1","2","1734581","1356911","VALNES Erik","KLAEBO Johannes Hoesflot","Erik","Johannes Høsflot","Valnes","Klæbo","VALNES E","KLAEBO JH","1-1","1-1"
2,   740,"NISKANEN I/MAKI J","Niskanen/Mäki","Niskanen/Mäki","2", 6,  161, 2237,Finland,FIN, 2, 2,"2","+2.46","19:25.45",1165450,  2460,TRUE,FALSE,"1","2","839516","1240529","NISKANEN Iivo","MAKI Joni","Iivo","Joni","Niskanen","Mäki","NISKANEN I","MAKI J","2-1","2-1"
2,475657,"BOLSHUNOV A/TERENTEV A","Bolshunov/Terentev","Bolshunov/Terentev","14", 9,23062,73035,ROC,ROC, 3, 3,"3","+4.29","19:27.28",1167280,  4290,TRUE,FALSE,"1","2","1356894","1629704","BOLSHUNOV Alexander","TERENTEV Alexander","Alexander","Alexander","Bolshunov","Terentev","BOLSHUNOV A","TERENTEV A","14-1","14-1"
2,   258,"POROMAA W/SVENSSON O","Poromaa/Svensson","Poromaa/Svensson","16", 3,  154, 2222,Sweden,SWE, 4, 4,"4","+15.06","19:38.05",1178050, 15060,TRUE,FALSE,"1","2","1947612","1135252","POROMAA William","SVENSSON Oskar","William","Oskar","Poromaa","Svensson","POROMAA W","SVENSSON O","16-1","16-1"
2,   852,"CYR A/RITCHIE G","Cyr/Ritchie","Cyr/Ritchie","7", 8,  159, 2231,Canada,CAN, 5, 5,"5","+22.31","19:45.30",1185300, 22310,TRUE,FALSE,"1","2","1765958","1765949","CYR Antoine","RITCHIE Graham","Antoine","Graham","Cyr","Ritchie","CYR A","RITCHIE G","7-1","7-1"
2,   855,"DE FABIANI F/PELLEGRINO F","De Fabiani/Pellegrino","De Fabiani/Pellegrino","15", 1,    6, 2210,Italy,ITA, 6, 6,"6","+25.43","19:48.42",1188420, 25430,TRUE,FALSE,"1","2","916856","774322","DE FABIANI Francesco","PELLEGRINO Federico","Francesco","Federico","De Fabiani","Pellegrino","DE FABIANI F","PELLEGRINO F","15-1","15-1"
2,  2598,"LAPALUS H/JOUVE R","Lapalus/Jouve","Lapalus/Jouve","3", 4,  144, 2202,France,FRA, 7, 7,"7","+35.38","19:58.37",1198370, 35380,TRUE,FALSE,"1","2","1478678","1023364","LAPALUS Hugo","JOUVE Richard","Hugo","Richard","Lapalus","Jouve","LAPALUS H","JOUVE R","3-2","3-1"
2,   521,"BAUMANN J/HEDIGER J","Baumann/Hediger","Baumann/Hediger","17", 5,  149, 2213,Switzerland,SUI, 8, 8,"8","+41.36","20:04.35",1204350, 41360,TRUE,FALSE,"1","2","724224","774333","BAUMANN Jonas","HEDIGER Jovian","Jonas","Jovian","Baumann","Hediger","BAUMANN J","HEDIGER J","17-1","17-2"
2,   773,"OGDEN B/SCHOONMAKER J","Ogden/Schoonmaker","Ogden/Schoonmaker","19",10,    5, 2209,United States,USA, 9, 9,"9","+1:05.08","20:28.07",1228070, 65080,TRUE,FALSE,"1","2","1718965","2069350","OGDEN Ben","SCHOONMAKER JC","Ben","JC","Ogden","Schoonmaker","OGDEN B","SCHOONMAKER J","19-1","19-1"
2,   468,"FOETTINGER M/MOSER B","Föttinger/Moser","Föttinger/Moser","21", 7,  151, 2219,Austria,AUT,10,10,"10","+1:52.01","21:15.00",1275000,112010,TRUE,FALSE,"1","2","1352009","1351747","FOETTINGER Michael","MOSER Benjamin","Michael","Benjamin","Föttinger","Moser","FOETTINGER M","MOSER B","21-1","21-1"
