"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantFirstName","c_ParticipantLastName","c_Bib","n_StartOrder","NOC.n_ID","NOC.n_GeoID","NOC.c_Name","NOC.c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_PointsAbs","c_ODF_QualificationMark","c_ResultInfo_1","b_Completed","b_Upcoming","n_BDF_VideoSessionID","c_ResultInfo_2","c_ODF_IRM"
1, 820360,"PEEL Laura","PEEL L","Laura","Peel","3",17,  157, 2229,Australia,AUS, 1, 1,"1","104.54","104.54",104540,"QF","104.54",TRUE,FALSE,1,NA,NA
1, 764417,"CALDWELL Ashley","CALDWELL A","Ashley","Caldwell","23",25,    5, 2209,United States,USA, 2, 2,"2","101.31","101.31",101310,"QF","101.31",TRUE,FALSE,1,NA,NA
1, 652530,"MENGTAO Xu","MENGTAO X","Mengtao","Xu","1", 2,   26, 2770,China,CHN, 3, 3,"3","101.10","101.10",101100,"QF","101.10",TRUE,FALSE,1,NA,NA
1, 808968,"SCOTT Danielle","SCOTT D","Danielle","Scott","4",14,  157, 2229,Australia,AUS, 4, 4,"4","96.23","96.23", 96230,"QF","96.23",TRUE,FALSE,1,NA,NA
1,1985666,"THENAULT Marion","THENAULT M","Marion","Thenault","8",12,  159, 2231,Canada,CAN, 5, 5,"5","93.06","93.06", 93060,"QF","93.06",TRUE,FALSE,1,NA,NA
1, 764460,"HUSKOVA Hanna","HUSKOVA H","Hanna","Huskova","12",11,  103, 4387,Belarus,BLR, 6, 6,"6","92.00","92.00", 92000,"QF","92.00",TRUE,FALSE,1,NA,NA
1, 915036,"KALMURZAYEVA Akmarzhan","KALMURZAYEVA A","Akmarzhan","Kalmurzayeva","16",13,  160, 2236,Kazakhstan,KAZ, 7, 7,"7","98.68","98.68", 98680,"QF","70.86",TRUE,FALSE,1,"98.68",NA
1,1219430,"NICK Megan","NICK M","Megan","Nick","25",15,    5, 2209,United States,USA, 8, 8,"8","89.18","89.18", 89180,"QF","89.18",TRUE,FALSE,1,"85.65",NA
1,1724036,"KUHN Kaila","KUHN K","Kaila","Kuhn","13",23,    5, 2209,United States,USA, 9, 9,"9","86.62","86.62", 86620,"QF","84.24",TRUE,FALSE,1,"86.62",NA
1, 912365,"KONG Fanyu","KONG F","Fanyu","Kong","2", 8,   26, 2770,China,CHN,10,10,"10","83.78","83.78", 83780,"QF","83.78",TRUE,FALSE,1,"81.99",NA
