"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantFirstName","c_ParticipantLastName","c_Bib","n_StartOrder","NOC.n_ID","NOC.n_GeoID","NOC.c_Name","NOC.c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_TimeAbs","n_TimeRel","c_ODF_QualificationMark","b_Completed","b_Upcoming","n_BDF_StartTime","n_BDF_VideoSessionID","c_ClientStreamURL"
1, 760864,"FIVA Alex","FIVA A","Alex","Fiva","4", 4,  149, 2213,Switzerland,SUI, 1, 1,"1","1:11.94","1:11.94",71940,   0,"Q",TRUE,FALSE,1518048004,715,"https://stream.nbcolympics.com/freestyle-skiing-ski-cross-mens-qualifying"
1,1213651,"OMELIN Igor","OMELIN I","Igor","Omelin","29",29,23062,73035,ROC,ROC, 2, 2,"2","+0.34","1:12.28",72280, 340,"Q",TRUE,FALSE,1518048029,715,"https://stream.nbcolympics.com/freestyle-skiing-ski-cross-mens-qualifying"
1,1087992,"SUGAI Ryo","SUGAI R","Ryo","Sugai","24",24,   18, 2241,Japan,JPN, 3, 3,"3","+0.35","1:12.29",72290, 350,"Q",TRUE,FALSE,1518048024,715,"https://stream.nbcolympics.com/freestyle-skiing-ski-cross-mens-qualifying"
1, 762101,"LEMAN Brady","LEMAN B","Brady","Leman","14",14,  159, 2231,Canada,CAN, 4, 4,"4","+0.36","1:12.30",72300, 360,"Q",TRUE,FALSE,1518048014,715,"https://stream.nbcolympics.com/freestyle-skiing-ski-cross-mens-qualifying"
1,1446141,"HOWDEN Reece","HOWDEN R","Reece","Howden","1", 1,  159, 2231,Canada,CAN, 5, 5,"5","+0.43","1:12.37",72370, 430,"Q",TRUE,FALSE,1518048001,715,"https://stream.nbcolympics.com/freestyle-skiing-ski-cross-mens-qualifying"
1,1636601,"SCHMIDT Jared","SCHMIDT J","Jared","Schmidt","25",25,  159, 2231,Canada,CAN, 6, 6,"6","+0.45","1:12.39",72390, 450,"Q",TRUE,FALSE,1518048025,715,"https://stream.nbcolympics.com/freestyle-skiing-ski-cross-mens-qualifying"
1,1219375,"REGEZ Ryan","REGEZ R","Ryan","Regez","13",13,  149, 2213,Switzerland,SUI, 7, 7,"7","+0.50","1:12.44",72440, 500,"Q",TRUE,FALSE,1518048013,715,"https://stream.nbcolympics.com/freestyle-skiing-ski-cross-mens-qualifying"
1,1950588,"DEROMEDIS Simone","DEROMEDIS S","Simone","Deromedis","10",10,    6, 2210,Italy,ITA, 8, 8,"8","+0.54","1:12.48",72480, 540,"Q",TRUE,FALSE,1518048010,715,"https://stream.nbcolympics.com/freestyle-skiing-ski-cross-mens-qualifying"
1, 915381,"MIDOL Bastien","MIDOL B","Bastien","Midol","6", 6,  144, 2202,France,FRA, 9, 9,"9","+0.61","1:12.55",72550, 610,"Q",TRUE,FALSE,1518048006,715,"https://stream.nbcolympics.com/freestyle-skiing-ski-cross-mens-qualifying"
1, 915063,"ROHRWECK Johannes","ROHRWECK J","Johannes","Rohrweck","3", 3,  151, 2219,Austria,AUT,10,10,"10","+0.77","1:12.71",72710, 770,"Q",TRUE,FALSE,1518048003,715,"https://stream.nbcolympics.com/freestyle-skiing-ski-cross-mens-qualifying"
