"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantFirstName","c_ParticipantLastName","c_Bib","n_StartOrder","NOC.n_ID","NOC.n_GeoID","NOC.c_Name","NOC.c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_TimeAbs","n_TimeRel","c_ODF_QualificationMark","b_Completed","b_Upcoming","n_BDF_StartTime","n_BDF_VideoSessionID","c_ClientStreamURL","c_ODF_IRM"
1,1021532,"NAESLUND Sandra","NAESLUND S","Sandra","Näslund","5", 5,  154, 2222,Sweden,SWE, 1, 1,"1","1:15.21","1:15.21",75210,    0,"Q",TRUE,FALSE,1518048005,712,"https://stream.nbcolympics.com/freestyle-skiing-ski-cross-womens-qualifying",NA
1, 762096,"SMITH Fanny","SMITH F","Fanny","Smith","6", 6,  149, 2213,Switzerland,SUI, 2, 2,"2","+1.85","1:17.06",77060, 1850,"Q",TRUE,FALSE,1518048006,712,"https://stream.nbcolympics.com/freestyle-skiing-ski-cross-womens-qualifying",NA
1,1238859,"MAIER Daniela","MAIER D","Daniela","Maier","8", 8,    2, 2206,Germany,GER, 3, 3,"3","+2.42","1:17.63",77630, 2420,"Q",TRUE,FALSE,1518048008,712,"https://stream.nbcolympics.com/freestyle-skiing-ski-cross-womens-qualifying",NA
1,1641421,"SCHMIDT Hannah","SCHMIDT H","Hannah","Schmidt","10",10,  159, 2231,Canada,CAN, 4, 4,"4","+2.86","1:18.07",78070, 2860,"Q",TRUE,FALSE,1518048010,712,"https://stream.nbcolympics.com/freestyle-skiing-ski-cross-womens-qualifying",NA
1, 809002,"THOMPSON Marielle","THOMPSON M","Marielle","Thompson","1", 1,  159, 2231,Canada,CAN, 5, 5,"5","+2.95","1:18.16",78160, 2950,"Q",TRUE,FALSE,1518048001,712,"https://stream.nbcolympics.com/freestyle-skiing-ski-cross-womens-qualifying",NA
1,1636203,"FANTELLI Lucrezia","FANTELLI L","Lucrezia","Fantelli","18",18,    6, 2210,Italy,ITA, 6, 6,"6","+2.96","1:18.17",78170, 2960,"Q",TRUE,FALSE,1518048018,712,"https://stream.nbcolympics.com/freestyle-skiing-ski-cross-womens-qualifying",NA
1, 809358,"PHELAN Brittany","PHELAN B","Brittany","Phelan","7", 7,  159, 2231,Canada,CAN, 7, 7,"7","+2.96","1:18.17",78170, 2960,"Q",TRUE,FALSE,1518048007,712,"https://stream.nbcolympics.com/freestyle-skiing-ski-cross-womens-qualifying",NA
1,1535361,"HOFFOS Courtney","HOFFOS C","Courtney","Hoffos","11",11,  159, 2231,Canada,CAN, 8, 8,"8","+3.07","1:18.28",78280, 3070,"Q",TRUE,FALSE,1518048011,712,"https://stream.nbcolympics.com/freestyle-skiing-ski-cross-womens-qualifying",NA
1,1469619,"GANTENBEIN Talina","GANTENBEIN T","Talina","Gantenbein","13",13,  149, 2213,Switzerland,SUI, 9, 9,"9","+3.10","1:18.31",78310, 3100,"Q",TRUE,FALSE,1518048013,712,"https://stream.nbcolympics.com/freestyle-skiing-ski-cross-womens-qualifying",NA
1,1160830,"EDEBO Alexandra","EDEBO A","Alexandra","Edebo","4", 4,  154, 2222,Sweden,SWE,10,10,"10","+3.28","1:18.49",78490, 3280,"Q",TRUE,FALSE,1518048004,712,"https://stream.nbcolympics.com/freestyle-skiing-ski-cross-womens-qualifying",NA
1, 760760,"KENNEDY-SIM Sami","KENNEDY-SIM S","Sami","Kennedy-Sim","14",14,  157, 2229,Australia,AUS,11,11,"11","+3.93","1:19.14",79140, 3930,"Q",TRUE,FALSE,1518048014,712,"https://stream.nbcolympics.com/freestyle-skiing-ski-cross-womens-qualifying",NA
1,1367411,"GALLI Jole","GALLI J","Jole","Galli","12",12,    6, 2210,Italy,ITA,12,12,"12","+3.99","1:19.20",79200, 3990,"Q",TRUE,FALSE,1518048012,712,"https://stream.nbcolympics.com/freestyle-skiing-ski-cross-womens-qualifying",NA
1,1646518,"LACK Saskja","LACK S","Saskja","Lack","22",22,  149, 2213,Switzerland,SUI,13,13,"13","+4.00","1:19.21",79210, 4000,"Q",TRUE,FALSE,1518048022,712,"https://stream.nbcolympics.com/freestyle-skiing-ski-cross-womens-qualifying",NA
1,1026364,"MALTSEVA Ekaterina","MALTSEVA E","Ekaterina","Maltseva","16",16,23062,73035,ROC,ROC,14,14,"14","+4.24","1:19.45",79450, 4240,"Q",TRUE,FALSE,1518048016,712,"https://stream.nbcolympics.com/freestyle-skiing-ski-cross-womens-qualifying",NA
1,1630003,"SHERINA Natalia","SHERINA N","Natalia","Sherina","21",21,23062,73035,ROC,ROC,15,15,"15","+4.28","1:19.49",79490, 4280,"Q",TRUE,FALSE,1518048021,712,"https://stream.nbcolympics.com/freestyle-skiing-ski-cross-womens-qualifying",NA
1,1637184,"GRILLET AUBERT Jade","GRILLET AUBERT J","Jade","Grillet Aubert","3", 3,  144, 2202,France,FRA,16,16,"16","+4.33","1:19.54",79540, 4330,"Q",TRUE,FALSE,1518048003,712,"https://stream.nbcolympics.com/freestyle-skiing-ski-cross-womens-qualifying",NA
1,1761568,"PONKRATOVA Elizaveta","PONKRATOVA E","Elizaveta","Ponkratova","20",20,23062,73035,ROC,ROC,17,17,"17","+4.35","1:19.56",79560, 4350,"Q",TRUE,FALSE,1518048020,712,"https://stream.nbcolympics.com/freestyle-skiing-ski-cross-womens-qualifying",NA
1, 828932,"LIMBACHER Andrea","LIMBACHER A","Andrea","Limbacher","15",15,  151, 2219,Austria,AUT,18,18,"18","+4.48","1:19.69",79690, 4480,"Q",TRUE,FALSE,1518048015,712,"https://stream.nbcolympics.com/freestyle-skiing-ski-cross-womens-qualifying",NA
1, 760548,"OFNER Katrin","OFNER K","Katrin","Ofner","9", 9,  151, 2219,Austria,AUT,19,19,"19","+4.74","1:19.95",79950, 4740,"Q",TRUE,FALSE,1518048009,712,"https://stream.nbcolympics.com/freestyle-skiing-ski-cross-womens-qualifying",NA
1,2268665,"HOLZMANN Johanna","HOLZMANN J","Johanna","Holzmann","24",24,    2, 2206,Germany,GER,20,20,"20","+5.74","1:20.95",80950, 5740,"Q",TRUE,FALSE,1518048024,712,"https://stream.nbcolympics.com/freestyle-skiing-ski-cross-womens-qualifying",NA
1,2174110,"FOEDERMAYR Christina","FOEDERMAYR C","Christina","Fodermayr","23",23,  151, 2219,Austria,AUT,21,21,"21","+5.81","1:21.02",81020, 5810,"Q",TRUE,FALSE,1518048023,712,"https://stream.nbcolympics.com/freestyle-skiing-ski-cross-womens-qualifying",NA
1, 997105,"CHIRTCOVA Anastasiia","CHIRTCOVA A","Anastasiia","Chirtcova","19",19,23062,73035,ROC,ROC,22,22,"22","+6.32","1:21.53",81530, 6320,"Q",TRUE,FALSE,1518048019,712,"https://stream.nbcolympics.com/freestyle-skiing-ski-cross-womens-qualifying",NA
1, 808988,"KUCEROVA Nikol","KUCEROVA N","Nikol","Kucerova","17",17,   17, 2240,Czech Republic,CZE,23,23,"23","+6.75","1:21.96",81960, 6750,"Q",TRUE,FALSE,1518048017,712,"https://stream.nbcolympics.com/freestyle-skiing-ski-cross-womens-qualifying",NA
1,2068985,"RAN Hongyun","RAN H","Hongyun","Ran","25",25,   26, 2770,China,CHN,24,24,"24","+10.64","1:25.85",85850,10640,"Q",TRUE,FALSE,1518048025,712,"https://stream.nbcolympics.com/freestyle-skiing-ski-cross-womens-qualifying",NA
1,2261808,"PU Rui","PU R","Rui","Pu","26",26,   26, 2770,China,CHN,25,25,"25","+14.80","1:30.01",90010,14800,"Q",TRUE,FALSE,1518048026,712,"https://stream.nbcolympics.com/freestyle-skiing-ski-cross-womens-qualifying",NA
1, 921164,"BARON Alizee","BARON A","Alizée","Baron","2", 2,  144, 2202,France,FRA,26,26,"26","DNS","DNS",NA,NA,"Q",TRUE,FALSE,1518048002,712,"https://stream.nbcolympics.com/freestyle-skiing-ski-cross-womens-qualifying","DNS"
