"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantFirstName","c_ParticipantLastName","c_Bib","n_StartOrder","NOC.n_ID","NOC.n_GeoID","NOC.c_Name","NOC.c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_PointsAbs","c_ODF_QualificationMark","c_ResultInfo_1","c_ResultInfo_2","c_ResultInfo_3","b_Completed","b_Upcoming","n_BDF_VideoSessionID","c_ODF_IRM"
1,1761769,"OLDHAM Megan","OLDHAM M","Megan","Oldham","8",20,  159, 2231,Canada,CAN, 1, 1,"1","171.25","171.25",171250,"Q","80.00","91.25","8.25",TRUE,FALSE,1,NA
1,1447594,"LEDEUX Tess","LEDEUX T","Tess","Ledeux","2", 4,  144, 2202,France,FRA, 2, 2,"2","171.00","171.00",171000,"Q","90.50","80.50","20.00",TRUE,FALSE,1,NA
1,1591888,"TATALINA Anastasia","TATALINA A","Anastasiya","Tatalina","11",24,23062,73035,ROC,ROC, 3, 3,"3","163.25","163.25",163250,"Q","68.75","89.75","73.50",TRUE,FALSE,1,NA
1,1254075,"MOESTUE EIE Sandra","MOESTUE EIE S","Sandra","Moestue Eie","16",17,  153, 2221,Norway,NOR, 4, 4,"4","162.00","162.00",162000,"Q","77.50","76.25","84.50",TRUE,FALSE,1,NA
1,1642245,"GU Eileen","GU E","Eileen","Gu","4", 5,   26, 2770,China,CHN, 5, 5,"5","161.25","161.25",161250,"Q","89.00","24.50","72.25",TRUE,FALSE,1,NA
1,1475771,"GREMAUD Mathilde","GREMAUD M","Mathilde","Gremaud","1", 2,  149, 2213,Switzerland,SUI, 6, 6,"6","159.25","159.25",159250,"Q","88.25","71.00","33.75",TRUE,FALSE,1,NA
1,1857620,"MUIR Kirsty","MUIR K","Kirsty","Muir","12",15,  211, 4058,Great Britain,GBR, 7, 7,"7","157.50","157.50",157500,"Q","89.25","67.00","68.25",TRUE,FALSE,1,NA
1,1021660,"STEVENS Darian","STEVENS D","Darian","Stevens","22",22,    5, 2209,United States,USA, 8, 8,"8","152.00","152.00",152000,"Q","84.75","10.00","67.25",TRUE,FALSE,1,NA
1,1372769,"HOEFFLIN Sarah","HOEFFLIN S","Sarah","Hoefflin","6",26,  149, 2213,Switzerland,SUI, 9, 9,"9","149.50","149.50",149500,"Q","85.50","42.75","64.00",TRUE,FALSE,1,NA
1,1254074,"KILLI Johanne","KILLI J","Johanne","Killi","5", 1,  153, 2221,Norway,NOR,10,10,"10","148.25","148.25",148250,"Q","87.50","60.75","58.25",TRUE,FALSE,1,NA
