"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantFirstName","c_ParticipantLastName","c_Bib","n_StartOrder","NOC.n_ID","NOC.n_GeoID","NOC.c_Name","NOC.c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_TimeAbs","n_TimeRel","c_ODF_QualificationMark","c_ResultInfo_1","b_Completed","b_Upcoming","n_BDF_StartTime","c_ClientStreamURL","c_ResultInfo_2","c_ODF_IRM"
1,1632059,"GRONDIN Eliot","GRONDIN E","Eliot","Grondin","15",15,  159, 2231,Canada,CAN, 1, 1,"1","1:16.29","1:16.29",76290,   0,"Q","1:16.29",TRUE,FALSE,1518048015,"https://stream.nbcolympics.com/snowboarding-snowboard-cross-mens-qualifying",NA,NA
1, 807792,"LUEFTNER Julian","LUEFTNER J","Julian","Lüftner","7", 7,  151, 2219,Austria,AUT, 2, 2,"2","+0.71","1:17.00",77000, 710,"Q","1:17.00",TRUE,FALSE,1518048007,"https://stream.nbcolympics.com/snowboarding-snowboard-cross-mens-qualifying",NA,NA
1,1253453,"DUSEK Jakob","DUSEK J","Jakob","Dusek","13",13,  151, 2219,Austria,AUT, 3, 3,"3","+0.76","1:17.05",77050, 760,"Q","1:17.05",TRUE,FALSE,1518048013,"https://stream.nbcolympics.com/snowboarding-snowboard-cross-mens-qualifying",NA,NA
1, 911250,"HAEMMERLE Alessandro","HAEMMERLE A","Alessandro","Hämmerle","2", 2,  151, 2219,Austria,AUT, 4, 4,"4","+0.95","1:17.24",77240, 950,"Q","1:17.24",TRUE,FALSE,1518048002,"https://stream.nbcolympics.com/snowboarding-snowboard-cross-mens-qualifying",NA,NA
1, 832226,"NOERL Martin","NOERL M","Martin","Nörl","11",11,    2, 2206,Germany,GER, 5, 5,"5","+1.09","1:17.38",77380,1090,"Q","1:17.38",TRUE,FALSE,1518048011,"https://stream.nbcolympics.com/snowboarding-snowboard-cross-mens-qualifying",NA,NA
1, 722574,"VISINTIN Omar","VISINTIN O","Omar","Visintin","16",16,    6, 2210,Italy,ITA, 6, 6,"6","+1.39","1:17.68",77680,1390,"Q","1:17.68",TRUE,FALSE,1518048016,"https://stream.nbcolympics.com/snowboarding-snowboard-cross-mens-qualifying",NA,NA
1, 996973,"KEARNEY Hagen","KEARNEY H","Hagen","Kearney","8", 8,    5, 2209,United States,USA, 7, 7,"7","+1.52","1:17.81",77810,1520,"Q","1:17.81",TRUE,FALSE,1518048008,"https://stream.nbcolympics.com/snowboarding-snowboard-cross-mens-qualifying",NA,NA
1, 770778,"BOLTON Cameron","BOLTON C","Cameron","Bolton","4", 4,  157, 2229,Australia,AUS, 8, 8,"8","+1.63","1:17.92",77920,1630,"Q","1:17.92",TRUE,FALSE,1518048004,"https://stream.nbcolympics.com/snowboarding-snowboard-cross-mens-qualifying",NA,NA
1,1150156,"SOMMARIVA Lorenzo","SOMMARIVA L","Lorenzo","Sommariva","3", 3,    6, 2210,Italy,ITA, 9, 9,"9","+1.69","1:17.98",77980,1690,"Q","1:17.98",TRUE,FALSE,1518048003,"https://stream.nbcolympics.com/snowboarding-snowboard-cross-mens-qualifying",NA,NA
1, 587550,"BAUMGARTNER Nick","BAUMGARTNER N","Nick","Baumgartner","12",12,    5, 2209,United States,USA,10,10,"10","+1.72","1:18.01",78010,1720,"Q","1:18.01",TRUE,FALSE,1518048012,"https://stream.nbcolympics.com/snowboarding-snowboard-cross-mens-qualifying",NA,NA
1,1632074,"KIRCHWEHM Umito","KIRCHWEHM U","Umito","Kirchwehm","23",23,    2, 2206,Germany,GER,11,11,"11","+1.93","1:18.22",78220,1930,"Q","1:18.22",TRUE,FALSE,1518048023,"https://stream.nbcolympics.com/snowboarding-snowboard-cross-mens-qualifying",NA,NA
1, 887969,"BERG Paul","BERG P","Paul","Berg","19",19,    2, 2206,Germany,GER,12,12,"12","+2.02","1:18.31",78310,2020,"Q","1:18.31",TRUE,FALSE,1518048019,"https://stream.nbcolympics.com/snowboarding-snowboard-cross-mens-qualifying",NA,NA
1,1368655,"MOFFATT Liam","MOFFATT L","Liam","Moffatt","20",20,  159, 2231,Canada,CAN,13,13,"13","+2.16","1:18.45",78450,2160,"Q","1:18.45",TRUE,FALSE,1518048020,"https://stream.nbcolympics.com/snowboarding-snowboard-cross-mens-qualifying",NA,NA
1,1239005,"PACHNER Lukas","PACHNER L","Lukas","Pachner","9", 9,  151, 2219,Austria,AUT,14,14,"14","+2.20","1:18.49",78490,2200,"Q","1:18.49",TRUE,FALSE,1518048009,"https://stream.nbcolympics.com/snowboarding-snowboard-cross-mens-qualifying",NA,NA
1,1368649,"DICKSON Adam","DICKSON A","Adam","Dickson","17",17,  157, 2229,Australia,AUS,15,15,"15","+2.27","1:18.56",78560,2270,"Q","1:18.56",TRUE,FALSE,1518048017,"https://stream.nbcolympics.com/snowboarding-snowboard-cross-mens-qualifying",NA,NA
1,1352128,"SURGET Merlin","SURGET M","Merlin","Surget","6", 6,  144, 2202,France,FRA,16,16,"16","+2.35","1:18.64",78640,2350,"Q","1:18.64",TRUE,FALSE,1518048006,"https://stream.nbcolympics.com/snowboarding-snowboard-cross-mens-qualifying",NA,NA
1,1368650,"LAMBERT Adam","LAMBERT A","Adam","Lambert","10",10,  157, 2229,Australia,AUS,17,17,"17","+1.27","1:17.56",77560,1270,"Q","1:19.33",TRUE,FALSE,1518048010,"https://stream.nbcolympics.com/snowboarding-snowboard-cross-mens-qualifying","1:17.56",NA
1,1368658,"VEDDER Jake","VEDDER J","Jake","Vedder","25",25,    5, 2209,United States,USA,18,18,"18","+1.59","1:17.88",77880,1590,"Q","1:18.83",TRUE,FALSE,1518048025,"https://stream.nbcolympics.com/snowboarding-snowboard-cross-mens-qualifying","1:17.88",NA
1, 930699,"LEONI Tommaso","LEONI T","Tommaso","Leoni","18",18,    6, 2210,Italy,ITA,19,19,"19","+1.84","1:18.13",78130,1840,"Q","1:19.45",TRUE,FALSE,1518048018,"https://stream.nbcolympics.com/snowboarding-snowboard-cross-mens-qualifying","1:18.13",NA
1, 770775,"DIERDORFF Mick","DIERDORFF M","Mick","Dierdorff","24",24,    5, 2209,United States,USA,20,20,"20","+2.35","1:18.64",78640,2350,"Q","1:19.66",TRUE,FALSE,1518048024,"https://stream.nbcolympics.com/snowboarding-snowboard-cross-mens-qualifying","1:18.64",NA
1, 915754,"EGUIBAR Lucas","EGUIBAR L","Lucas","Eguibar","14",14,  145, 2203,Spain,ESP,21,21,"21","+2.44","1:18.73",78730,2440,"Q","1:18.73",TRUE,FALSE,1518048014,"https://stream.nbcolympics.com/snowboarding-snowboard-cross-mens-qualifying","1:19.93",NA
1,1345769,"KOBLET Kalle","KOBLET K","Kalle","Koblet","5", 5,  149, 2213,Switzerland,SUI,22,22,"22","+2.65","1:18.94",78940,2650,"Q","1:19.39",TRUE,FALSE,1518048005,"https://stream.nbcolympics.com/snowboarding-snowboard-cross-mens-qualifying","1:18.94",NA
1,1368666,"TAKAHARA Yoshiki","TAKAHARA Y","Yoshiki","Takahara","21",21,   18, 2241,Japan,JPN,23,23,"23","+2.87","1:19.16",79160,2870,"Q","1:19.26",TRUE,FALSE,1518048021,"https://stream.nbcolympics.com/snowboarding-snowboard-cross-mens-qualifying","1:19.16",NA
1,1488838,"BOZZOLO Loan","BOZZOLO L","Loan","Bozzolo","22",22,  144, 2202,France,FRA,24,24,"24","+2.94","1:19.23",79230,2940,"Q","1:19.75",TRUE,FALSE,1518048022,"https://stream.nbcolympics.com/snowboarding-snowboard-cross-mens-qualifying","1:19.23",NA
1,1630717,"DONSKIKH Daniil","DONSKIKH D","Daniil","Donskikh","30",30,23062,73035,ROC,ROC,25,25,"25","+3.07","1:19.36",79360,3070,"Q","1:19.36",TRUE,FALSE,1518048030,"https://stream.nbcolympics.com/snowboarding-snowboard-cross-mens-qualifying","1:19.93",NA
1, 614464,"HILL Kevin","HILL K","Kevin","Hill","28",28,  159, 2231,Canada,CAN,26,26,"26","+3.16","1:19.45",79450,3160,"Q","1:20.24",TRUE,FALSE,1518048028,"https://stream.nbcolympics.com/snowboarding-snowboard-cross-mens-qualifying","1:19.45",NA
