"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantLastName","c_Bib","n_StartOrder","NOC.n_ID","NOC.n_GeoID","NOC.c_Name","NOC.c_Short","n_Rank","n_RankSort","c_Rank","b_Completed","b_Upcoming","TeamMemberList.n_Position1","TeamMemberList.n_Position2","TeamMemberList.n_PersonID1","TeamMemberList.n_PersonID2","TeamMemberList.c_Person1","TeamMemberList.c_Person2","TeamMemberList.c_PersonFirstName1","TeamMemberList.c_PersonFirstName2","TeamMemberList.c_PersonLastName1","TeamMemberList.c_PersonLastName2","TeamMemberList.c_PersonShort1","TeamMemberList.c_PersonShort2","TeamMemberList.c_Bib1","TeamMemberList.c_Bib2","c_Result"
"2","450122","Italy 1","ITA 1","Italy 1","1","1","6","2210","Italy","ITA","1","1","1","TRUE","FALSE","1","2","722574","930698","VISINTIN Omar","MOIOLI Michela","Omar","Michela","Visintin","Moioli","VISINTIN O","MOIOLI M","1-1","1-2",NA
"2","477361","United States 1","USA 1","United States 1","5","2","5","2209","United States","USA","1","1","1","TRUE","FALSE","1","2","587550","476735","BAUMGARTNER Nick","JACOBELLIS Lindsey","Nick","Lindsey","Baumgartner","Jacobellis","BAUMGARTNER N","JACOBELLIS L","5-1","5-2",NA
"2","476670","ROC 1","ROC 1","ROC 1","14","4","23062","73035","ROC","ROC","1","1","1","TRUE","FALSE","1","2","1630717","1221174","DONSKIKH Daniil","PAUL Kristina","Daniil","Kristina","Donskikh","Paul","DONSKIKH D","PAUL K","14-1","14-2",NA
"2","477359","Great Britain 1","GBR 1","Great Britain 1","15","4","211","4058","Great Britain","GBR","1","1","1","TRUE","FALSE","1","2","1856294","1027306","NIGHTINGALE Huw","BANKES Charlotte","Huw","Charlotte","Nightingale","Bankes","NIGHTINGALE H","BANKES C","15-1","15-2",NA
"2","469808","Germany 1","GER 1","Germany 1","8","2","2","2206","Germany","GER","2","2","2","TRUE","FALSE","1","2","832226","1475753","NOERL Martin","FISCHER Jana","NOERL Martin","FISCHER Jana","NOERL Martin","FISCHER Jana","NOERL Martin","FISCHER Jana","NOERL Martin","FISCHER Jana","+3.04"
"2","476672","Switzerland 1","SUI 1","Switzerland 1","13","4","149","2213","Switzerland","SUI","2","2","2","TRUE","FALSE","1","2","1345769","1352348","KOBLET Kalle","HEDIGER Sophie","KOBLET Kalle","HEDIGER Sophie","KOBLET Kalle","HEDIGER Sophie","KOBLET Kalle","HEDIGER Sophie","KOBLET Kalle","HEDIGER Sophie","+1.59"
"2","450133","Canada 1","CAN 1","Canada 1","6","2","159","2231","Canada","CAN","2","2","2","TRUE","FALSE","1","2","1632059","1368671","GRONDIN Eliot","ODINE Meryeta","GRONDIN Eliot","ODINE Meryeta","GRONDIN Eliot","ODINE Meryeta","GRONDIN Eliot","ODINE Meryeta","GRONDIN Eliot","ODINE Meryeta","+0.14"
"2","477360","Italy 2","ITA 2","Italy 2","10","3","6","2210","Italy","ITA","2","2","2","TRUE","FALSE","1","2","1150156","1351776","SOMMARIVA Lorenzo","CARPANO Caterina","SOMMARIVA Lorenzo","CARPANO Caterina","SOMMARIVA Lorenzo","CARPANO Caterina","SOMMARIVA Lorenzo","CARPANO Caterina","SOMMARIVA Lorenzo","CARPANO Caterina","+0.13"
"2","477358","France 2","FRA 2","France 2","9","3","144","2202","France","FRA","3","3","3","TRUE","FALSE","1","2","1488838","1629567","BOZZOLO Loan","PEREIRA DE SOUSA MABILEAU Julia","Loan","Julia","Bozzolo","Pereira De Sousa","BOZZOLO L","PEREIRA DE SOUSA MABILEAU J","9-1","9-2","+14.39"
"2","477355","Australia 1","AUS 1","Australia 1","4","1","157","2229","Australia","AUS","3","3","3","TRUE","FALSE","1","2","770778","770782","BOLTON Cameron","BROCKHOFF Belle","Cameron","Belle","Bolton","Brockhoff","BOLTON C","BROCKHOFF B","4-1","4-2","DNF"
"2","477362","United States 2","USA 2","United States 2","11","3","5","2209","United States","USA","3","3","3","TRUE","FALSE","1","2","1368658","720819","VEDDER Jake","GULINI Faye","Jake","Faye","Vedder","Gulini","VEDDER J","GULINI F","11-1","11-2","+0.33"
"2","477357","Canada 2","CAN 2","Canada 2","7","2","159","2231","Canada","CAN","3","3","3","TRUE","FALSE","1","2","1368655","1027333","MOFFATT Liam","CRITCHLOW Tess","Liam","Tess","Moffatt","Critchlow","MOFFATT L","CRITCHLOW T","7-1","7-2","+0.56"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","477356","Australia 2","AUS 2","Australia 2","12","3","157","2229","Australia","AUS","4","4","4","TRUE","FALSE","1","2","1368650","1963164","LAMBERT Adam","BAFF Josie","Adam","Josie","Lambert","Baff","LAMBERT A","BAFF J","12-1","12-2","DNF"
"2","450232","France 1","FRA 1","France 1","3","1","144","2202","France","FRA","4","4","4","TRUE","FALSE","1","2","1352128","764262","SURGET Merlin","TRESPEUCH Chloe","Merlin","Chloé","Surget","Trespeuch","SURGET M","TRESPEUCH C","3-1","3-2","+0.87"
"2","476667","Austria 1","AUT 1","Austria 1","2","1","151","2219","Austria","AUT","4","4","4","TRUE","FALSE","1","2","911250","1352333","HAEMMERLE Alessandro","ZERKHOLD Pia","Alessandro","Pia","Hämmerle","Zerkhold","HAEMMERLE A","ZERKHOLD P","2-1","2-2","+2.50"
