"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantFirstName","c_ParticipantLastName","c_Bib","n_StartOrder","NOC.n_ID","NOC.n_GeoID","NOC.c_Name","NOC.c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_PointsAbs","c_ResultInfo_1","c_ResultInfo_2","c_ResultInfo_3","b_Completed","b_Upcoming","n_BDF_VideoSessionID"
1,1132403,"KIM Chloe","KIM C","Chloe","Kim","2",12,  5,2209,United States,USA, 1, 1,"1","94.00","94.00",94000,"94.00","27.00","26.25",TRUE,FALSE,1
1, 595636,"CASTELLET Queralt","CASTELLET Q","Queralt","Castellet","4", 9,145,2203,Spain,ESP, 2, 2,"2","90.25","90.25",90250,"69.25","90.25","78.25",TRUE,FALSE,1
1,1367887,"TOMITA Sena","TOMITA S","Sena","Tomita","6", 8, 18,2241,Japan,JPN, 3, 3,"3","88.25","88.25",88250,"86.00","88.25","9.25",TRUE,FALSE,1
1, 764036,"XUETONG Cai","XUETONG C","Xuetong","Cai","1",10, 26,2770,China,CHN, 4, 4,"4","81.25","81.25",81250,"81.25","64.50","75.00",TRUE,FALSE,1
1,1629595,"TOMITA Ruki","TOMITA R","Ruki","Tomita","8", 7, 18,2241,Japan,JPN, 5, 5,"5","80.50","80.50",80500,"16.50","19.75","80.50",TRUE,FALSE,1
1,1363554,"HOSKING Elizabeth","HOSKING E","Elizabeth","Hosking","10", 4,159,2231,Canada,CAN, 6, 6,"6","79.25","79.25",79250,"73.00","79.25","5.00",TRUE,FALSE,1
1,1132418,"WICKI Berenice","WICKI B","Berenice","Wicki","12", 5,149,2213,Switzerland,SUI, 7, 7,"7","76.25","76.25",76250,"76.25","74.75","11.25",TRUE,FALSE,1
1, 655769,"JIAYU Liu","JIAYU L","Jiayu","Liu","3", 6, 26,2770,China,CHN, 8, 8,"8","73.50","73.50",73500,"11.25","4.75","73.50",TRUE,FALSE,1
1,1634643,"ONO Mitsuki","ONO M","Mitsuki","Ono","7",11, 18,2241,Japan,JPN, 9, 9,"9","71.50","71.50",71500,"71.50","25.50","29.00",TRUE,FALSE,1
1,1957598,"D'HONDT Brooke","D'HONDT B","Brooke","D'Hondt","16", 3,159,2231,Canada,CAN,10,10,"10","66.75","66.75",66750,"66.75","11.00","9.00",TRUE,FALSE,1
1,1132518,"ETTEL Leilani","ETTEL L","Leilani","Ettel","17", 2,  2,2206,Germany,GER,11,11,"11","57.50","57.50",57500,"55.25","57.50","9.25",TRUE,FALSE,1
1,1370498,"QIU Leng","QIU L","Leng","Qiu","13", 1, 26,2770,China,CHN,12,12,"12","53.75","53.75",53750,"53.75","9.50","18.75",TRUE,FALSE,1
