"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantFirstName","c_ParticipantLastName","c_Bib","n_StartOrder","NOC.n_ID","NOC.n_GeoID","NOC.c_Name","NOC.c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_PointsAbs","c_ODF_QualificationMark","c_ResultInfo_1","c_ResultInfo_2","c_ResultInfo_3","b_Completed","b_Upcoming","n_BDF_VideoSessionID"
1, 981078,"PARROT Max","PARROT M","Maxence","Parrot","1", 1,  159, 2231,Canada,CAN, 1, 1,"1","164.75","164.75",164750,"Q","78.25","86.50","26.50",TRUE,FALSE,1
1,1471133,"OTSUKA Takeru","OTSUKA T","Takeru","Otsuka","3", 5,   18, 2241,Japan,JPN, 2, 2,"2","160.00","160.00",160000,"Q","68.50","75.50","91.50",TRUE,FALSE,1
1,1238960,"GERARD Red","GERARD R","Red","Gerard","2", 3,    5, 2209,United States,USA, 3, 3,"3","158.75","158.75",158750,"Q","75.50","80.00","78.75",TRUE,FALSE,1
1,1643392,"KUNITAKE Hiroaki","KUNITAKE H","Hiroaki","Kunitake","27", 9,   18, 2241,Japan,JPN, 4, 4,"4","158.25","158.25",158250,"Q","83.75","61.50","74.50",TRUE,FALSE,1
1,1957526,"SU Yiming","SU Y","Yiming","Su","23", 8,   26, 2770,China,CHN, 5, 5,"5","155.25","155.25",155250,"Q","92.50","62.75","28.00",TRUE,FALSE,1
1,1148764,"KLEVELAND Marcus","KLEVELAND M","Marcus","Kleveland","4", 4,  153, 2221,Norway,NOR, 6, 6,"6","151.50","151.50",151500,"Q","87.75","63.75","61.25",TRUE,FALSE,1
1, 905798,"THORGREN Sven","THORGREN S","Sven","Thorgren","9",17,  154, 2222,Sweden,SWE, 7, 7,"7","151.00","151.00",151000,"Q","80.75","70.25","33.75",TRUE,FALSE,1
1, 834210,"MCMORRIS Mark","MCMORRIS M","Mark","McMorris","6",27,  159, 2231,Canada,CAN, 8, 8,"8","147.25","147.25",147250,"Q","81.50","65.75","65.75",TRUE,FALSE,1
1,1132578,"ROISLAND Mons","ROISLAND M","Mons","Røisland","10", 7,  153, 2221,Norway,NOR, 9, 9,"9","146.50","146.50",146500,"Q","31.25","80.00","66.50",TRUE,FALSE,1
1,1359638,"CORNING Chris","CORNING C","Chris","Corning","5", 2,    5, 2209,United States,USA,10,10,"10","146.00","146.00",146000,"Q","64.25","17.50","81.75",TRUE,FALSE,1
1,1428737,"VAN DER VELDEN Niek","VAN DER VELDEN N","Niek","van der Velden","19",19,    1, 2201,Netherlands,NED,11,11,"11","142.75","142.75",142750,"Q","79.00","60.00","63.75",TRUE,FALSE,1
1,1019422,"SHARPE Darcy","SHARPE D","Darcy","Sharpe","13",14,  159, 2231,Canada,CAN,12,12,"12","142.00","142.00",142000,"Q","29.00","77.50","64.50",TRUE,FALSE,1
1,1152661,"RINNEKANGAS Rene","RINNEKANGAS R","Rene","Rinnekangas","14",28,  161, 2237,Finland,FIN,13,13,"13","139.50","139.50",139500,NA,"78.75","12.25","60.75",TRUE,FALSE,1
1,1471127,"HUBER Nicolas","HUBER N","Nicolas","Huber","12",22,  149, 2213,Switzerland,SUI,14,14,"14","139.25","139.25",139250,NA,"64.25","75.00","24.75",TRUE,FALSE,1
1,1367855,"HAMADA Kaito","HAMADA K","Kaito","Hamada","25",11,   18, 2241,Japan,JPN,15,15,"15","136.50","136.50",136500,NA,"80.75","41.75","55.75",TRUE,FALSE,1
1, 723859,"SANDBECH Staale","SANDBECH S","Ståle","Sandbech","28",18,  153, 2221,Norway,NOR,16,16,"16","136.00","136.00",136000,NA,"69.50","15.50","66.50",TRUE,FALSE,1
1,1644468,"FITZSIMONS Sean","FITZSIMONS S","Sean","Fitzsimons","11",21,    5, 2209,United States,USA,17,17,"17","122.00","122.00",122000,NA,"53.25","68.75","16.25",TRUE,FALSE,1
1,1023261,"JARVILEHTO Kalle","JARVILEHTO K","Kalle","Järvilehto","17",29,  161, 2237,Finland,FIN,18,18,"18","107.75","107.75",107750,NA,"22.75","85.75","22.00",TRUE,FALSE,1
1,1132635,"KHADARIN Vladislav","KHADARIN V","Vladislav","Khadarin","30",24,23062,73035,ROC,ROC,19,19,"19","104.25","104.25",104250,NA,"67.00","37.25","30.00",TRUE,FALSE,1
1, 818284,"MATTSSON Niklas","MATTSSON N","Niklas","Mattsson","24",12,  154, 2222,Sweden,SWE,20,20,"20","102.50","102.50",102500,NA,"18.50","80.75","21.75",TRUE,FALSE,1
