"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantFirstName","c_ParticipantLastName","c_Bib","n_StartOrder","NOC.n_ID","NOC.n_GeoID","NOC.c_Name","NOC.c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_PointsAbs","c_ResultInfo_1","c_ResultInfo_2","c_ResultInfo_3","b_Completed","b_Upcoming","n_BDF_VideoSessionID"
1,1131249,"GASSER Anna","GASSER A","Anna","Gasser","7", 7,151,2219,Austria,AUT, 1, 1,"1","185.50","185.50",185500,"90.00","86.75","95.50",TRUE,FALSE,1
1,1568767,"SADOWSKI-SYNNOTT Zoi","SADOWSKI-SYNNOTT Z","Zoi","Sadowski-Synnott","2",12,158,2230,New Zealand,NZL, 2, 2,"2","177.00","177.00",177000,"93.25","83.75","30.25",TRUE,FALSE,1
1,1780043,"MURASE Kokomo","MURASE K","Kokomo","Murase","6",11, 18,2241,Japan,JPN, 3, 3,"3","171.50","171.50",171500,"80.00","91.50","12.00",TRUE,FALSE,1
1,1367876,"IWABUCHI Reira","IWABUCHI R","Reira","Iwabuchi","3",10, 18,2241,Japan,JPN, 4, 4,"4","166.00","166.00",166000,"83.75","82.25","37.00",TRUE,FALSE,1
1,2252852,"RONG Ge","RONG G","Ge","Rong","30", 4, 26,2770,China,CHN, 5, 5,"5","160.00","160.00",160000,"29.00","85.75","74.25",TRUE,FALSE,1
1,1487237,"PEPERKAMP Melissa","PEPERKAMP M","Melissa","Peperkamp","13", 2,  1,2201,Netherlands,NED, 6, 6,"6","141.75","141.75",141750,"64.25","72.00","69.75",TRUE,FALSE,1
1,1495000,"BAIRD Jasmine","BAIRD J","Jasmine","Baird","17", 3,159,2231,Canada,CAN, 7, 7,"7","130.00","130.00",130000,"68.75","48.75","61.25",TRUE,FALSE,1
1,1019516,"BLOUIN Laurie","BLOUIN L","Laurie","Blouin","9", 9,159,2231,Canada,CAN, 8, 8,"8","115.00","115.00",115000,"13.50","86.25","28.75",TRUE,FALSE,1
1,1471152,"COADY Tess","COADY T","Tess","Coady","8", 6,157,2229,Australia,AUS, 9, 9,"9","114.75","114.75",114750,"85.00","29.75","8.50",TRUE,FALSE,1
1,1132383,"MORGAN Annika","MORGAN A","Annika","Morgan","11", 5,  2,2206,Germany,GER,10,10,"10","88.00","88.00", 88000,"15.50","73.50","14.50",TRUE,FALSE,1
1,1132565,"ONITSUKA Miyabi","ONITSUKA M","Miyabi","Onitsuka","1", 8, 18,2241,Japan,JPN,11,11,"11","65.25","65.25", 65250,"9.50","54.50","10.75",TRUE,FALSE,1
1,1359652,"LANGLAND Hailey","LANGLAND H","Hailey","Langland","15", 1,  5,2209,United States,USA,12,12,"12","53.25","53.25", 53250,"25.25","31.00","22.25",TRUE,FALSE,1
