"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantFirstName","c_ParticipantLastName","c_Bib","n_StartOrder","NOC.n_ID","NOC.n_GeoID","NOC.c_Name","NOC.c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_TimeAbs","n_TimeRel","c_ResultInfo_1","b_Completed","b_Upcoming","n_BDF_StartTime","c_BDF_StartTime","n_BDF_VideoSessionID","c_ClientStreamURL"
1,1013057,"GROTHEER Christopher","GROTHEER C","Christopher","Grotheer","4", 1,    2, 2206,Germany,GER, 1, 1,"1","1:00.16","1:00.16",60160,   0,"130.1",TRUE,FALSE,1518048001,"456828:24:56",235,"https://stream.nbcolympics.com/mens-skeleton-heats-3-4"
1,1012974,"JUNGK Axel","JUNGK A","Axel","Jungk","8", 2,    2, 2206,Germany,GER, 2, 2,"2","+0.15","1:00.31",60310, 150,"129.3",TRUE,FALSE,1518048002,"456828:26:13",235,"https://stream.nbcolympics.com/mens-skeleton-heats-3-4"
1, 577451,"TRETIAKOV Alexander","TRETIAKOV A","Alexander","Tretiakov","5", 5,23062,73035,ROC,ROC, 3, 3,"3","+0.21","1:00.37",60370, 210,"129.3",TRUE,FALSE,1518048005,"456828:33:49",235,"https://stream.nbcolympics.com/mens-skeleton-heats-3-4"
1,1945980,"YIN Zheng","YIN Z","Zheng","Yin","21", 7,   26, 2770,China,CHN, 4, 4,"4","+0.24","1:00.40",60400, 240,"128.7",TRUE,FALSE,1518048007,"456828:38:04",235,"https://stream.nbcolympics.com/mens-skeleton-heats-3-4"
1, 343478,"DUKURS Martins","DUKURS M","Martins","Dukurs","7", 6,    9, 2218,Latvia,LAT, 4, 5,"4","+0.24","1:00.40",60400, 240,"128.0",TRUE,FALSE,1518048006,"456828:37:06",235,"https://stream.nbcolympics.com/mens-skeleton-heats-3-4"
1,1469883,"YAN Wengang","YAN W","Wengang","Yan","18", 3,   26, 2770,China,CHN, 6, 6,"6","+0.38","1:00.54",60540, 380,"128.8",TRUE,FALSE,1518048003,"456830:44:26",235,"https://stream.nbcolympics.com/mens-skeleton-heats-3-4"
1,1475763,"RUKOSUEV Evgeniy","RUKOSUEV E","Evgeniy","Rukosuev","12", 4,23062,73035,ROC,ROC, 7, 7,"7","+0.40","1:00.56",60560, 400,"128.4",TRUE,FALSE,1518048004,"456828:31:42",235,"https://stream.nbcolympics.com/mens-skeleton-heats-3-4"
1, 718634,"GASSNER Alexander","GASSNER A","Alexander","Gassner","13", 9,    2, 2206,Germany,GER, 8, 8,"8","+0.46","1:00.62",60620, 460,"128.4",TRUE,FALSE,1518048009,"456828:42:33",235,"https://stream.nbcolympics.com/mens-skeleton-heats-3-4"
1,1339613,"JUNG Seunggi","JUNG S","Seunggi","Jung","10",10,  106, 4391,South Korea,KOR, 9, 9,"9","+0.53","1:00.69",60690, 530,"127.9",TRUE,FALSE,1518048010,"456829:15:53",235,"https://stream.nbcolympics.com/mens-skeleton-heats-3-4"
1, 343479,"DUKURS Tomass","DUKURS T","Tomass","Dukurs","6", 8,    9, 2218,Latvia,LAT,10,10,"10","+0.58","1:00.74",60740, 580,"128.0",TRUE,FALSE,1518048008,"456828:40:12",235,"https://stream.nbcolympics.com/mens-skeleton-heats-3-4"
1,1939046,"BAGNIS Amedeo","BAGNIS A","Amedeo","Bagnis","16",11,    6, 2210,Italy,ITA,11,11,"11","+0.67","1:00.83",60830, 670,"129.3",TRUE,FALSE,1518048011,"456828:46:54",235,"https://stream.nbcolympics.com/mens-skeleton-heats-3-4"
1,1221503,"SUNG-BIN Yun","SUNG-BIN Y","Sungbin","Yun","11",12,  106, 4391,South Korea,KOR,12,12,"12","+0.87","1:01.03",61030, 870,"127.1",TRUE,FALSE,1518048012,"456828:48:31",235,"https://stream.nbcolympics.com/mens-skeleton-heats-3-4"
1,1475806,"MAIER Samuel","MAIER S","Samuel","Maier","14",13,  151, 2219,Austria,AUT,13,13,"13","+0.89","1:01.05",61050, 890,"128.5",TRUE,FALSE,1518048013,"456828:50:59",235,"https://stream.nbcolympics.com/mens-skeleton-heats-3-4"
1,1847537,"WESTON Matt","WESTON M","Matt","Weston","9",14,  211, 4058,Great Britain,GBR,14,14,"14","+0.96","1:01.12",61120, 960,"125.8",TRUE,FALSE,1518048014,"456828:53:26",235,"https://stream.nbcolympics.com/mens-skeleton-heats-3-4"
1, 834443,"GASPARI Mattia","GASPARI M","Mattia","Gaspari","17",15,    6, 2210,Italy,ITA,15,15,"15","+1.00","1:01.16",61160,1000,"127.2",TRUE,FALSE,1518048015,"456828:55:19",235,"https://stream.nbcolympics.com/mens-skeleton-heats-3-4"
1,1495443,"WYATT Marcus","WYATT M","Marcus","Wyatt","19",17,  211, 4058,Great Britain,GBR,16,16,"16","+1.12","1:01.28",61280,1120,"126.3",TRUE,FALSE,1518048017,"456828:59:39",235,"https://stream.nbcolympics.com/mens-skeleton-heats-3-4"
1,1139516,"CRUMPTON Nathan","CRUMPTON N","Nathan","Crumpton","22",20,  258, 9600,American Samoa,ASA,17,17,"17","+1.44","1:01.60",61600,1440,"126.1",TRUE,FALSE,1518048020,"456829:01:34",235,"https://stream.nbcolympics.com/mens-skeleton-heats-3-4"
1,1353104,"HERASKEVYCH Vladyslav","HERASKEVYCH V","Vladyslav","Heraskevych","15",16,   13, 2232,Ukraine,UKR,18,18,"18","+1.46","1:01.62",61620,1460,"127.6",TRUE,FALSE,1518048016,"456828:57:59",235,"https://stream.nbcolympics.com/mens-skeleton-heats-3-4"
1,1563857,"SCHLINTNER Alexander","SCHLINTNER A","Alexander","Schlintner","20",18,  151, 2219,Austria,AUT,19,19,"19","+1.50","1:01.66",61660,1500,"126.6",TRUE,FALSE,1518048018,"456829:01:19",235,"https://stream.nbcolympics.com/mens-skeleton-heats-3-4"
1,1125020,"TIMMINGS Nicholas","TIMMINGS N","Nicholas","Timmings","23",25,  157, 2229,Australia,AUS,20,20,"20","+1.62","1:01.78",61780,1620,"126.0",TRUE,FALSE,1518048025,"456829:12:19",235,"https://stream.nbcolympics.com/mens-skeleton-heats-3-4"
1,1731352,"ENZIE Blake","ENZIE B","Blake","Enzie","24",19,  159, 2231,Canada,CAN,21,21,"21","+1.77","1:01.93",61930,1770,"124.9",TRUE,FALSE,1518048019,"456829:03:13",235,"https://stream.nbcolympics.com/mens-skeleton-heats-3-4"
1,1482343,"BLASER Andrew","BLASER A","Andrew","Blaser","2",21,    5, 2209,United States,USA,22,22,"22","+1.94","1:02.10",62100,1940,"122.6",TRUE,FALSE,1518048021,"456829:06:48",235,"https://stream.nbcolympics.com/mens-skeleton-heats-3-4"
1,1939038,"ROMANOV Daniil","ROMANOV D","Daniil","Romanov","3",23,23062,73035,ROC,ROC,23,23,"23","+2.04","1:02.20",62200,2040,"122.3",TRUE,FALSE,1518048023,"456829:15:32",235,"https://stream.nbcolympics.com/mens-skeleton-heats-3-4"
1, 658631,"MIRAMBELL Ander","MIRAMBELL A","Ander","Mirambell","1",24,  145, 2203,Spain,ESP,24,24,"24","+2.18","1:02.34",62340,2180,"124.4",TRUE,FALSE,1518048024,"456829:12:44",235,"https://stream.nbcolympics.com/mens-skeleton-heats-3-4"
1,1234238,"SIEBER Basil","SIEBER B","Basil","Sieber","25",22,  149, 2213,Switzerland,SUI,25,25,"25","+2.56","1:02.72",62720,2560,"124.7",TRUE,FALSE,1518048022,"456829:08:45",235,"https://stream.nbcolympics.com/mens-skeleton-heats-3-4"
