"n_Date","b_Current","n_Day","c_Day","c_DayShort","n_DayNr","n_WeekDayNr","c_Month","c_MonthShort","n_MonthNr","n_Year","c_TimeFirstEventLocal","c_TimeFirstEventUTC","c_TimeLastEventLocal","c_TimeLastEventUTC"
20220202,FALSE,-2,"Wednesday","Wed",2,4,"February","Feb",2,2022,"2022-02-02T20:05:00","2022-02-02T12:05:00","2022-02-02T23:00:00","2022-02-02T15:00:00"
20220203,FALSE,-1,"Thursday","Thu",3,5,"February","Feb",2,2022,"2022-02-03T09:05:00","2022-02-03T01:05:00","2022-02-03T23:00:00","2022-02-03T15:00:00"
20220204,FALSE,0,"Friday","Fri",4,6,"February","Feb",2,2022,"2022-02-04T07:00:00","2022-02-03T23:00:00","2022-02-04T23:00:00","2022-02-04T15:00:00"
20220205,FALSE,1,"Saturday","Sat",5,7,"February","Feb",2,2022,"2022-02-05T07:00:00","2022-02-04T23:00:00","2022-02-05T23:00:00","2022-02-05T15:00:00"
20220206,FALSE,2,"Sunday","Sun",6,1,"February","Feb",2,2022,"2022-02-06T07:00:00","2022-02-05T23:00:00","2022-02-06T23:00:00","2022-02-06T15:00:00"
20220207,FALSE,3,"Monday","Mon",7,2,"February","Feb",2,2022,"2022-02-07T07:00:00","2022-02-06T23:00:00","2022-02-07T23:00:00","2022-02-07T15:00:00"
20220208,FALSE,4,"Tuesday","Tue",8,3,"February","Feb",2,2022,"2022-02-08T07:00:00","2022-02-07T23:00:00","2022-02-08T23:00:00","2022-02-08T15:00:00"
20220209,FALSE,5,"Wednesday","Wed",9,4,"February","Feb",2,2022,"2022-02-09T07:00:00","2022-02-08T23:00:00","2022-02-09T23:00:00","2022-02-09T15:00:00"
20220210,FALSE,6,"Thursday","Thu",10,5,"February","Feb",2,2022,"2022-02-10T07:00:00","2022-02-09T23:00:00","2022-02-10T23:00:00","2022-02-10T15:00:00"
20220211,FALSE,7,"Friday","Fri",11,6,"February","Feb",2,2022,"2022-02-11T07:00:00","2022-02-10T23:00:00","2022-02-11T23:00:00","2022-02-11T15:00:00"
20220212,FALSE,8,"Saturday","Sat",12,7,"February","Feb",2,2022,"2022-02-12T07:00:00","2022-02-11T23:00:00","2022-02-12T23:00:00","2022-02-12T15:00:00"
20220213,FALSE,9,"Sunday","Sun",13,1,"February","Feb",2,2022,"2022-02-13T07:00:00","2022-02-12T23:00:00","2022-02-13T23:00:00","2022-02-13T15:00:00"
20220214,FALSE,10,"Monday","Mon",14,2,"February","Feb",2,2022,"2022-02-14T07:00:00","2022-02-13T23:00:00","2022-02-14T23:00:00","2022-02-14T15:00:00"
20220215,FALSE,11,"Tuesday","Tue",15,3,"February","Feb",2,2022,"2022-02-15T07:00:00","2022-02-14T23:00:00","2022-02-15T23:00:00","2022-02-15T15:00:00"
20220216,FALSE,12,"Wednesday","Wed",16,4,"February","Feb",2,2022,"2022-02-16T07:00:00","2022-02-15T23:00:00","2022-02-16T23:00:00","2022-02-16T15:00:00"
20220217,FALSE,13,"Thursday","Thu",17,5,"February","Feb",2,2022,"2022-02-17T07:00:00","2022-02-16T23:00:00","2022-02-17T23:00:00","2022-02-17T15:00:00"
20220218,FALSE,14,"Friday","Fri",18,6,"February","Feb",2,2022,"2022-02-18T07:00:00","2022-02-17T23:00:00","2022-02-18T23:00:00","2022-02-18T15:00:00"
20220219,FALSE,15,"Saturday","Sat",19,7,"February","Feb",2,2022,"2022-02-19T07:00:00","2022-02-18T23:00:00","2022-02-19T23:00:00","2022-02-19T15:00:00"
20220220,FALSE,16,"Sunday","Sun",20,1,"February","Feb",2,2022,"2022-02-20T07:00:00","2022-02-19T23:00:00","2022-02-20T19:00:00","2022-02-20T11:00:00"
