"n_SportID","n_SportTypeID","c_Sport","c_SportShort","n_Season","c_Season","c_Edition","n_EventMatchID","n_ActiveNavigationMatchID","n_EventID","n_EventTypeID","c_Event","c_EventShort","n_EventSort","n_GenderID","c_Gender","c_GenderShort","n_GenderEventID","c_GenderEvent","c_GenderEventShort","d_DateStartLocal","c_DateStartLocal","d_DateStartUTC","c_DateStartUTC","d_DateEndLocal","c_DateEndLocal","d_DateEndUTC","c_DateEndUTC","n_VenueGeoID","c_Venue","n_LocationGeoID","c_Location","n_CountryGeoID","c_Country","c_CountryShort","b_StartList","b_Started","b_Finished","b_HasTableMatchs","n_Rank1ParticipantTypeID","c_Rank1Participant","c_Rank1ParticipantShort","n_Rank1PersonID","n_Rank1TeamID","n_Rank1NOCID","n_Rank1NOCGeoID","c_Rank1NOCGeoID","c_Rank1NOC","c_Rank1NOCShort","n_Rank1TeamMember1PersonID","c_Rank1TeamMember1Person","c_Rank1TeamMember1PersonShort","n_Rank1TeamMember2PersonID","c_Rank1TeamMember2Person","c_Rank1TeamMember2PersonShort","n_Rank2ParticipantTypeID","c_Rank2Participant","c_Rank2ParticipantShort","n_Rank2PersonID","n_Rank2TeamID","n_Rank2NOCID","n_Rank2NOCGeoID","c_Rank2NOCGeoID","c_Rank2NOC","c_Rank2NOCShort","n_Rank2TeamMember1PersonID","c_Rank2TeamMember1Person","c_Rank2TeamMember1PersonShort","n_Rank2TeamMember2PersonID","c_Rank2TeamMember2Person","c_Rank2TeamMember2PersonShort","n_Rank3ParticipantTypeID","c_Rank3Participant","c_Rank3ParticipantShort","n_Rank3PersonID","n_Rank3TeamID","n_Rank3NOCID","n_Rank3NOCGeoID","c_Rank3NOCGeoID","c_Rank3NOC","c_Rank3NOCShort","n_Rank3TeamMember1PersonID","c_Rank3TeamMember1Person","c_Rank3TeamMember1PersonShort","n_Rank3TeamMember2PersonID","c_Rank3TeamMember2Person","c_Rank3TeamMember2PersonShort","c_RSCCode"
115,3,"Alpine Skiing","ALP",20212022,"2021/2022","2022",1969862,1969862,9662,1,"Downhill","DH",10001,1,"Men","M",2685,"Men's Downhill","Men's Downhill","/Date(1644235200000+0000)/","2022-02-07T12:00:00","/Date(1644206400000+0000)/","2022-02-07T04:00:00","/Date(1644243540000+0000)/","2022-02-07T14:19:00","/Date(1644214740000+0000)/","2022-02-07T06:19:00",73851,"Yanqing Alpine Skiing Centre",53887,"Yanqing",2770,"China","CHN",FALSE,TRUE,TRUE,FALSE,1,"FEUZ Beat","FEUZ B",603448,701,149,2213,"2213","Switzerland","SUI",NA,NA,NA,NA,NA,NA,1,"CLAREY Johan","CLAREY J",409997,366,144,2202,"2202","France","FRA",NA,NA,NA,NA,NA,NA,1,"MAYER Matthias","MAYER M",720723,2181,151,2219,"2219","Austria","AUT",NA,NA,NA,NA,NA,NA,"ALPMDH----------------FNL-000102--"
115,3,"Alpine Skiing","ALP",20212022,"2021/2022","2022",1969863,2411546,9665,1,"Slalom","SL",10003,1,"Men","M",5119,"Men's Slalom","Men's Slalom","/Date(1645006500000+0000)/","2022-02-16T10:15:00","/Date(1644977700000+0000)/","2022-02-16T02:15:00","/Date(1645025940000+0000)/","2022-02-16T15:39:00","/Date(1644997140000+0000)/","2022-02-16T07:39:00",73851,"Yanqing Alpine Skiing Centre",53887,"Yanqing",2770,"China","CHN",FALSE,TRUE,TRUE,FALSE,1,"NOEL Clement","NOEL C",1351727,366,144,2202,"2202","France","FRA",NA,NA,NA,NA,NA,NA,1,"STROLZ Johannes","STROLZ J",1020876,2181,151,2219,"2219","Austria","AUT",NA,NA,NA,NA,NA,NA,1,"FOSS SOLEVAAG Sebastian","FOSS SOLEVAAG S",1088006,383,153,2221,"2221","Norway","NOR",NA,NA,NA,NA,NA,NA,"ALPMSL----------------FNL-000200--"
115,3,"Alpine Skiing","ALP",20212022,"2021/2022","2022",1969864,2411536,9663,1,"Giant Slalom","GS",10005,1,"Men","M",4332,"Men's Giant Slalom","Men's Giant Slalom","/Date(1644747300000+0000)/","2022-02-13T10:15:00","/Date(1644718500000+0000)/","2022-02-13T02:15:00","/Date(1644771600000+0000)/","2022-02-13T17:00:00","/Date(1644742800000+0000)/","2022-02-13T09:00:00",73851,"Yanqing Alpine Skiing Centre",53887,"Yanqing",2770,"China","CHN",FALSE,TRUE,TRUE,FALSE,1,"ODERMATT Marco","ODERMATT M",1351962,701,149,2213,"2213","Switzerland","SUI",NA,NA,NA,NA,NA,NA,1,"KRANJEC Zan","KRANJEC Z",920385,727,30,2783,"2783","Slovenia","SLO",NA,NA,NA,NA,NA,NA,1,"FAIVRE Mathieu","FAIVRE M",833104,366,144,2202,"2202","France","FRA",NA,NA,NA,NA,NA,NA,"ALPMGS----------------FNL-000200--"
115,3,"Alpine Skiing","ALP",20212022,"2021/2022","2022",1969865,1969865,9666,1,"Super-G","SG",10007,1,"Men","M",1562,"Men's Super-G","Men's Super-G","/Date(1644318000000+0000)/","2022-02-08T11:00:00","/Date(1644289200000+0000)/","2022-02-08T03:00:00","/Date(1644326040000+0000)/","2022-02-08T13:14:00","/Date(1644297240000+0000)/","2022-02-08T05:14:00",73851,"Yanqing Alpine Skiing Centre",53887,"Yanqing",2770,"China","CHN",FALSE,TRUE,TRUE,FALSE,1,"MAYER Matthias","MAYER M",720723,2181,151,2219,"2219","Austria","AUT",NA,NA,NA,NA,NA,NA,1,"COCHRAN-SIEGLE Ryan","COCHRAN-SIEGLE R",991637,939,5,2209,"2209","United States","USA",NA,NA,NA,NA,NA,NA,1,"KILDE Aleksander Aamodt","KILDE AA",1020824,383,153,2221,"2221","Norway","NOR",NA,NA,NA,NA,NA,NA,"ALPMSG----------------FNL-000100--"
115,3,"Alpine Skiing","ALP",20212022,"2021/2022","2022",1969861,2411525,11560,1,"Combined","AC",10008,1,"Men","M",3861,"Men's Combined","Men's Combined","/Date(1644489000000+0000)/","2022-02-10T10:30:00","/Date(1644460200000+0000)/","2022-02-10T02:30:00","/Date(1644508740000+0000)/","2022-02-10T15:59:00","/Date(1644479940000+0000)/","2022-02-10T07:59:00",73851,"Yanqing Alpine Skiing Centre",53887,"Yanqing",2770,"China","CHN",FALSE,TRUE,TRUE,FALSE,1,"STROLZ Johannes","STROLZ J",1020876,2181,151,2219,"2219","Austria","AUT",NA,NA,NA,NA,NA,NA,1,"KILDE Aleksander Aamodt","KILDE AA",1020824,383,153,2221,"2221","Norway","NOR",NA,NA,NA,NA,NA,NA,1,"CRAWFORD James","CRAWFORD J",1367386,2923,159,2231,"2231","Canada","CAN",NA,NA,NA,NA,NA,NA,"ALPMAC----------------FNL-0001SL--"
115,3,"Alpine Skiing","ALP",20212022,"2021/2022","2022",1969867,1969867,9662,1,"Downhill","DH",10001,2,"Women","W",479,"Women's Downhill","Women's Downhill","/Date(1644924600000+0000)/","2022-02-15T11:30:00","/Date(1644895800000+0000)/","2022-02-15T03:30:00","/Date(1644931740000+0000)/","2022-02-15T13:29:00","/Date(1644902940000+0000)/","2022-02-15T05:29:00",73851,"Yanqing Alpine Skiing Centre",53887,"Yanqing",2770,"China","CHN",FALSE,TRUE,TRUE,FALSE,1,"SUTER Corinne","SUTER C",991635,701,149,2213,"2213","Switzerland","SUI",NA,NA,NA,NA,NA,NA,1,"GOGGIA Sofia","GOGGIA S",836103,550,6,2210,"2210","Italy","ITA",NA,NA,NA,NA,NA,NA,1,"DELAGO Nadia","DELAGO N",1479799,550,6,2210,"2210","Italy","ITA",NA,NA,NA,NA,NA,NA,"ALPWDH----------------FNL-000102--"
115,3,"Alpine Skiing","ALP",20212022,"2021/2022","2022",1969868,2411516,9665,1,"Slalom","SL",10003,2,"Women","W",6409,"Women's Slalom","Women's Slalom","/Date(1644401700000+0000)/","2022-02-09T10:15:00","/Date(1644372900000+0000)/","2022-02-09T02:15:00","/Date(1644420540000+0000)/","2022-02-09T15:29:00","/Date(1644391740000+0000)/","2022-02-09T07:29:00",73851,"Yanqing Alpine Skiing Centre",53887,"Yanqing",2770,"China","CHN",FALSE,TRUE,TRUE,FALSE,1,"VLHOVA Petra","VLHOVA P",1020946,1478,14,2233,"2233","Slovakia","SVK",NA,NA,NA,NA,NA,NA,1,"LIENSBERGER Katharina","LIENSBERGER K",1351921,2181,151,2219,"2219","Austria","AUT",NA,NA,NA,NA,NA,NA,1,"HOLDENER Wendy","HOLDENER W",836102,701,149,2213,"2213","Switzerland","SUI",NA,NA,NA,NA,NA,NA,"ALPWSL----------------FNL-000200--"
115,3,"Alpine Skiing","ALP",20212022,"2021/2022","2022",1969869,2411506,9663,1,"Giant Slalom","GS",10005,2,"Women","W",7974,"Women's Giant Slalom","Women's Giant Slalom","/Date(1644226200000+0000)/","2022-02-07T09:30:00","/Date(1644197400000+0000)/","2022-02-07T01:30:00","/Date(1644251040000+0000)/","2022-02-07T16:24:00","/Date(1644222240000+0000)/","2022-02-07T08:24:00",73851,"Yanqing Alpine Skiing Centre",53887,"Yanqing",2770,"China","CHN",FALSE,TRUE,TRUE,FALSE,1,"HECTOR Sara","HECTOR S",827252,1021,154,2222,"2222","Sweden","SWE",NA,NA,NA,NA,NA,NA,1,"BRIGNONE Federica","BRIGNONE F",711462,550,6,2210,"2210","Italy","ITA",NA,NA,NA,NA,NA,NA,1,"GUT-BEHRAMI Lara","GUT-BEHRAMI L",705102,701,149,2213,"2213","Switzerland","SUI",NA,NA,NA,NA,NA,NA,"ALPWGS----------------FNL-000200--"
115,3,"Alpine Skiing","ALP",20212022,"2021/2022","2022",1969870,1969870,9666,1,"Super-G","SG",10007,2,"Women","W",3065,"Women's Super-G","Women's Super-G","/Date(1644577200000+0000)/","2022-02-11T11:00:00","/Date(1644548400000+0000)/","2022-02-11T03:00:00","/Date(1644584940000+0000)/","2022-02-11T13:09:00","/Date(1644556140000+0000)/","2022-02-11T05:09:00",73851,"Yanqing Alpine Skiing Centre",53887,"Yanqing",2770,"China","CHN",FALSE,TRUE,TRUE,FALSE,1,"GUT-BEHRAMI Lara","GUT-BEHRAMI L",705102,701,149,2213,"2213","Switzerland","SUI",NA,NA,NA,NA,NA,NA,1,"PUCHNER Mirjam","PUCHNER M",1020945,2181,151,2219,"2219","Austria","AUT",NA,NA,NA,NA,NA,NA,1,"GISIN Michelle","GISIN M",1128102,701,149,2213,"2213","Switzerland","SUI",NA,NA,NA,NA,NA,NA,"ALPWSG----------------FNL-000100--"
115,3,"Alpine Skiing","ALP",20212022,"2021/2022","2022",1969866,2411555,11560,1,"Combined","AC",10008,2,"Women","W",6028,"Women's Combined","Women's Combined","/Date(1645093800000+0000)/","2022-02-17T10:30:00","/Date(1645065000000+0000)/","2022-02-17T02:30:00","/Date(1645111140000+0000)/","2022-02-17T15:19:00","/Date(1645082340000+0000)/","2022-02-17T07:19:00",73851,"Yanqing Alpine Skiing Centre",53887,"Yanqing",2770,"China","CHN",FALSE,TRUE,TRUE,FALSE,1,"GISIN Michelle","GISIN M",1128102,701,149,2213,"2213","Switzerland","SUI",NA,NA,NA,NA,NA,NA,1,"HOLDENER Wendy","HOLDENER W",836102,701,149,2213,"2213","Switzerland","SUI",NA,NA,NA,NA,NA,NA,1,"BRIGNONE Federica","BRIGNONE F",711462,550,6,2210,"2210","Italy","ITA",NA,NA,NA,NA,NA,NA,"ALPWAC----------------FNL-0001SL--"
