"Event","MatchID","Team1","Team 2"
"Men's Tournament",746234,"ROC","CAN"
"Men's Tournament",746235,"ITA","CHN"
"Men's Tournament",746236,"NOR","SUI"
"Men's Tournament",746237,"NOR","ITA"
"Men's Tournament",746238,"CHN","SUI"
"Men's Tournament",746239,"GBR","ROC"
"Men's Tournament",746240,"ITA","USA"
"Men's Tournament",746241,"DEN","CAN"
"Men's Tournament",746242,"SWE","DEN"
"Men's Tournament",746243,"ROC","DEN"
"Men's Tournament",746244,"CAN","GBR"
"Men's Tournament",746245,"DEN","NOR"
"Men's Tournament",746246,"SWE","GBR"
"Men's Tournament",746247,"ROC","SWE"
"Men's Tournament",746248,"CAN","SWE"
"Men's Tournament",746249,"SWE","SUI"
"Men's Tournament",746250,"SUI","GBR"
"Men's Tournament",746251,"CHN","GBR"
"Men's Tournament",746252,"CHN","USA"
"Men's Tournament",746253,"DEN","USA"
"Men's Tournament",746254,"SWE","ITA"
"Men's Tournament",746256,"NOR","SWE"
"Men's Tournament",746257,"USA","NOR"
"Men's Tournament",746258,"NOR","CAN"
"Men's Tournament",746259,"GBR","NOR"
"Men's Tournament",746260,"DEN","SUI"
"Men's Tournament",746261,"GBR","USA"
"Men's Tournament",746262,"CAN","USA"
"Men's Tournament",746263,"CHN","SWE"
"Men's Tournament",746264,"USA","GBR"
"Men's Tournament",746265,"SUI","ROC"
"Men's Tournament",746266,"DEN","CHN"
"Men's Tournament",746267,"USA","SWE"
"Men's Tournament",746268,"USA","ROC"
"Men's Tournament",746269,"ITA","DEN"
"Men's Tournament",746270,"GBR","ITA"
"Men's Tournament",746271,"SUI","ITA"
"Men's Tournament",746272,"CAN","ITA"
"Men's Tournament",746273,"CAN","SUI"
"Men's Tournament",746274,"SWE","CAN"
"Men's Tournament",746275,"SUI","USA"
"Men's Tournament",746276,"USA","CAN"
"Men's Tournament",746277,"GBR","DEN"
"Men's Tournament",746278,"CAN","CHN"
"Men's Tournament",746279,"SWE","GBR"
"Men's Tournament",746280,"CHN","ROC"
"Men's Tournament",746281,"ITA","ROC"
"Men's Tournament",746282,"ROC","NOR"
"Men's Tournament",746283,"NOR","CHN"
"Mixed Doubles Tournament",746333,"SUI","GBR"
"Mixed Doubles Tournament",746334,"CHN","SWE"
"Mixed Doubles Tournament",746335,"CAN","CZE"
"Mixed Doubles Tournament",746336,"NOR","CZE"
"Mixed Doubles Tournament",746337,"ITA","NOR"
"Mixed Doubles Tournament",746338,"SUI","USA"
"Mixed Doubles Tournament",746339,"USA","GBR"
"Mixed Doubles Tournament",746340,"CAN","SUI"
"Mixed Doubles Tournament",746341,"CZE","SUI"
"Mixed Doubles Tournament",746342,"CHN","USA"
"Mixed Doubles Tournament",746343,"USA","CZE"
"Mixed Doubles Tournament",746344,"AUS","USA"
"Mixed Doubles Tournament",746345,"ITA","SWE"
"Mixed Doubles Tournament",746346,"SUI","SWE"
"Mixed Doubles Tournament",746347,"GBR","CHN"
"Mixed Doubles Tournament",746348,"AUS","CHN"
"Mixed Doubles Tournament",746349,"CAN","AUS"
"Mixed Doubles Tournament",746350,"USA","NOR"
"Mixed Doubles Tournament",746351,"USA","ITA"
