"Sport.n_ID","Sport.n_TypeID","Sport.c_Name","Sport.c_Short","Sport.c_ParticipatingNOCIDList","DateList.n_DateLocal","DateList.b_LiveWindowDate","c_TimeFirstEventLocal","c_TimeFirstEventUTC","c_TimeLastEventLocal","c_TimeLastEventUTC","b_TimeUnknown","b_Scheduled","b_MatchupComplete","b_MatchupPartial","b_StartList","b_InProgress","b_Finished","b_LiveWindow","b_Delayed","b_Postponed","b_Cancelled","b_Rescheduled","n_EventMatchID","n_MatchID","c_Match","n_MatchNr","n_MatchLevel","b_KnockoutMatch","n_ContainerMatchID","c_ContainerMatch","n_NavigationMatchID","Match","c_ParticipatingNOCIDList","c_ScheduleStatus","c_ODF_ScheduleStatus","c_RSCCode","n_BDF_StartTime","c_BDF_StartTime","n_BDF_VideoSessionID","c_ClientStreamURL","Sport.n_ID","Sport.n_TypeID","Sport.c_Name","Sport.c_Short","GenderEvent.n_ID","GenderEvent.c_Name","GenderEvent.c_Short","Event.n_ID","Event.n_TypeID","Event.c_Name","Event.c_Short","Event.n_Sort","Gender.n_ID","Gender.c_Name","Gender.c_Short","DateTimes.Start.c_Local","DateTimes.Start.d_Local","DateTimes.Start.n_Local","DateTimes.Start.c_UTC","DateTimes.Start.d_UTC","DateTimes.Start.n_UTC","DateTimes.End.c_Local","DateTimes.End.d_Local","DateTimes.End.n_Local","DateTimes.End.c_UTC","DateTimes.End.d_UTC","DateTimes.End.n_UTC","Venue.n_ID","Venue.c_Name","Venue.c_Short","Location.n_ID","Location.c_Name","Location.c_Short","Country.n_ID","Country.c_Name","Country.c_Short","MedalsToBeAwarded.b_Gold","MedalsToBeAwarded.b_Silver","MedalsToBeAwarded.b_Bronze"
103,3,"Speed Skating","SSK","1;2;5;6;8;9;12;17;18;24;26;31;103;106;147;149;150;151;152;153;154;158;159;160;164;211;23062",20220205,FALSE,"2022-02-05T16:30:00","2022-02-05T08:30:00","2022-02-05T16:30:00","2022-02-05T08:30:00",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1969397,1969397,NA,NA,NA,FALSE,1969397,"3000m",1969397,NA,";1;2;5;6;17;18;26;103;153;159;160;23062;","Finished","FINISHED","SSKW3000M-------------FNL-000100--",NA,NA,251,"https://stream.nbcolympics.com/speed-skating-3000m-womens",103,3,"Speed Skating","SSK",3548,"Women's 3000m","Women's 3000m",4,1,"3000m","3000m",NA,2,"Women","W","2022-02-05T16:30:00","/Date(1644078600000+0000)/",20220205,"2022-02-05T08:30:00","/Date(1644049800000+0000)/",20220205,"2022-02-05T17:51:40","/Date(1644083500000+0000)/",20220205,"2022-02-05T09:51:40","/Date(1644054700000+0000)/",20220205,71488,"National Speed Skating Oval",NA,3647,"Beijing",NA,2770,"China","CHN",TRUE,TRUE,TRUE
103,3,"Speed Skating","SSK","1;2;5;6;8;9;12;17;18;24;26;31;103;106;147;149;150;151;152;153;154;158;159;160;164;211;23062",20220206,FALSE,"2022-02-06T16:30:00","2022-02-06T08:30:00","2022-02-06T16:30:00","2022-02-06T08:30:00",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1969396,1969396,NA,NA,NA,FALSE,1969396,"5000m",1969396,NA,";1;2;5;6;18;147;149;152;153;154;159;23062;","Finished","FINISHED","SSKM5000M-------------FNL-000100--",NA,NA,252,"https://stream.nbcolympics.com/speed-skating-mens-5000m",103,3,"Speed Skating","SSK",3202,"Men's 5000m","Men's 5000m",5,1,"5000m","5000m",NA,1,"Men","M","2022-02-06T16:30:00","/Date(1644165000000+0000)/",20220206,"2022-02-06T08:30:00","/Date(1644136200000+0000)/",20220206,"2022-02-06T18:15:00","/Date(1644171300000+0000)/",20220206,"2022-02-06T10:15:00","/Date(1644142500000+0000)/",20220206,71488,"National Speed Skating Oval",NA,3647,"Beijing",NA,2770,"China","CHN",TRUE,TRUE,TRUE
103,3,"Speed Skating","SSK","1;2;5;6;8;9;12;17;18;24;26;31;103;106;147;149;150;151;152;153;154;158;159;160;164;211;23062",20220207,FALSE,"2022-02-07T16:30:00","2022-02-07T08:30:00","2022-02-07T16:30:00","2022-02-07T08:30:00",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1969395,1969395,NA,NA,NA,FALSE,1969395,"1500m",1969395,NA,";1;2;5;6;17;18;26;31;103;147;150;153;159;160;211;23062;","Finished","FINISHED","SSKW1500M-------------FNL-000100--",NA,NA,253,"https://stream.nbcolympics.com/speed-skating-womens-1500m",103,3,"Speed Skating","SSK",7796,"Women's 1500m","Women's 1500m",3,1,"1500m","1500m",NA,2,"Women","W","2022-02-07T16:30:00","/Date(1644251400000+0000)/",20220207,"2022-02-07T08:30:00","/Date(1644222600000+0000)/",20220207,"2022-02-07T17:50:00","/Date(1644256200000+0000)/",20220207,"2022-02-07T09:50:00","/Date(1644227400000+0000)/",20220207,71488,"National Speed Skating Oval",NA,3647,"Beijing",NA,2770,"China","CHN",TRUE,TRUE,TRUE
103,3,"Speed Skating","SSK","1;2;5;6;8;9;12;17;18;24;26;31;103;106;147;149;150;151;152;153;154;158;159;160;164;211;23062",20220208,FALSE,"2022-02-08T18:30:00","2022-02-08T10:30:00","2022-02-08T18:30:00","2022-02-08T10:30:00",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1969394,1969394,NA,NA,NA,FALSE,1969394,"1500m",1969394,NA,";1;5;6;9;18;26;106;147;153;158;159;160;211;23062;","Finished","FINISHED","SSKM1500M-------------FNL-000100--",NA,NA,254,"https://stream.nbcolympics.com/speed-skating-mens-1500m",103,3,"Speed Skating","SSK",4096,"Men's 1500m","Men's 1500m",3,1,"1500m","1500m",NA,1,"Men","M","2022-02-08T18:30:00","/Date(1644345000000+0000)/",20220208,"2022-02-08T10:30:00","/Date(1644316200000+0000)/",20220208,"2022-02-08T19:50:00","/Date(1644349800000+0000)/",20220208,"2022-02-08T11:50:00","/Date(1644321000000+0000)/",20220208,71488,"National Speed Skating Oval",NA,3647,"Beijing",NA,2770,"China","CHN",TRUE,TRUE,TRUE
103,3,"Speed Skating","SSK","1;2;5;6;8;9;12;17;18;24;26;31;103;106;147;149;150;151;152;153;154;158;159;160;164;211;23062",20220210,FALSE,"2022-02-10T20:00:00","2022-02-10T12:00:00","2022-02-10T20:00:00","2022-02-10T12:00:00",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1969399,1969399,NA,NA,NA,FALSE,1969399,"5000m",1969399,NA,";1;6;17;18;26;103;150;153;159;23062;","Finished","FINISHED","SSKW5000M-------------FNL-000100--",NA,NA,255,"https://stream.nbcolympics.com/speed-skating-womens-5000m",103,3,"Speed Skating","SSK",6360,"Women's 5000m","Women's 5000m",5,1,"5000m","5000m",NA,2,"Women","W","2022-02-10T20:00:00","/Date(1644523200000+0000)/",20220210,"2022-02-10T12:00:00","/Date(1644494400000+0000)/",20220210,"2022-02-10T21:16:00","/Date(1644527760000+0000)/",20220210,"2022-02-10T13:16:00","/Date(1644498960000+0000)/",20220210,71488,"National Speed Skating Oval",NA,3647,"Beijing",NA,2770,"China","CHN",TRUE,TRUE,TRUE
103,3,"Speed Skating","SSK","1;2;5;6;8;9;12;17;18;24;26;31;103;106;147;149;150;151;152;153;154;158;159;160;164;211;23062",20220211,FALSE,"2022-02-11T16:00:00","2022-02-11T08:00:00","2022-02-11T16:00:00","2022-02-11T08:00:00",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1969398,1969398,NA,NA,NA,FALSE,1969398,"10000m",1969398,NA,";1;2;6;18;147;154;158;159;23062;","Finished","FINISHED","SSKM10000M------------FNL-000100--",NA,NA,256,"https://stream.nbcolympics.com/speed-skating-mens-10000m",103,3,"Speed Skating","SSK",1674,"Men's 10,000m","Men's 10,000m",6,1,"10,000m","10000m",NA,1,"Men","M","2022-02-11T16:00:00","/Date(1644595200000+0000)/",20220211,"2022-02-11T08:00:00","/Date(1644566400000+0000)/",20220211,"2022-02-11T17:53:00","/Date(1644601980000+0000)/",20220211,"2022-02-11T09:53:00","/Date(1644573180000+0000)/",20220211,71488,"National Speed Skating Oval",NA,3647,"Beijing",NA,2770,"China","CHN",TRUE,TRUE,TRUE
103,3,"Speed Skating","SSK","1;2;5;6;8;9;12;17;18;24;26;31;103;106;147;149;150;151;152;153;154;158;159;160;164;211;23062",20220212,FALSE,"2022-02-12T16:00:00","2022-02-12T08:00:00","2022-02-12T16:00:00","2022-02-12T08:00:00",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1969403,2411174,"Quarterfinal",1,8,FALSE,1969403,"Team Pursuit",2411174,NA,";1;18;26;103;150;153;159;23062;","Finished","FINISHED","SSKWTEAMPU------------QFNL--------",NA,NA,1,"https://stream.nbcolympics.com/speed-skating-womens-team-pursuit-quarterfinals",103,3,"Speed Skating","SSK",324,"Women's Team Pursuit","Women's Team Pursuit",11148,4,"Team Pursuit","Team Pursuit",NA,2,"Women","W","2022-02-12T16:00:00","/Date(1644681600000+0000)/",20220212,"2022-02-12T08:00:00","/Date(1644652800000+0000)/",20220212,"2022-02-12T16:23:00","/Date(1644682980000+0000)/",20220212,"2022-02-12T08:23:00","/Date(1644654180000+0000)/",20220212,71488,"National Speed Skating Oval",NA,3647,"Beijing",NA,2770,"China","CHN",FALSE,FALSE,FALSE
103,3,"Speed Skating","SSK","1;2;5;6;8;9;12;17;18;24;26;31;103;106;147;149;150;151;152;153;154;158;159;160;164;211;23062",20220212,FALSE,"2022-02-12T16:53:00","2022-02-12T08:53:00","2022-02-12T16:53:00","2022-02-12T08:53:00",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1969390,1969390,NA,NA,NA,FALSE,1969390,"500m",1969390,NA,";1;2;5;6;8;18;26;103;106;150;153;159;160;211;23062;","Finished","FINISHED","SSKM500M--------------FNL-000100--",NA,NA,1,"https://stream.nbcolympics.com/speed-skating-mens-500m",103,3,"Speed Skating","SSK",7705,"Men's 500m","Men's 500m",1,1,"500m","500m",NA,1,"Men","M","2022-02-12T16:53:00","/Date(1644684780000+0000)/",20220212,"2022-02-12T08:53:00","/Date(1644655980000+0000)/",20220212,"2022-02-12T17:34:15","/Date(1644687255000+0000)/",20220212,"2022-02-12T09:34:15","/Date(1644658455000+0000)/",20220212,71488,"National Speed Skating Oval",NA,3647,"Beijing",NA,2770,"China","CHN",TRUE,TRUE,TRUE
103,3,"Speed Skating","SSK","1;2;5;6;8;9;12;17;18;24;26;31;103;106;147;149;150;151;152;153;154;158;159;160;164;211;23062",20220213,FALSE,"2022-02-13T21:00:00","2022-02-13T13:00:00","2022-02-13T21:00:00","2022-02-13T13:00:00",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1969402,2411278,"Quarterfinal",1,8,FALSE,1969402,"Team Pursuit",2411278,NA,";1;5;6;26;106;153;159;23062;","Finished","FINISHED","SSKMTEAMPU------------QFNL--------",NA,NA,2,"https://stream.nbcolympics.com/speed-skating-mens-team-pursuit-quarterfinals",103,3,"Speed Skating","SSK",2264,"Men's Team Pursuit","Men's Team Pursuit",10856,4,"Team Pursuit","Team Pursuit",NA,1,"Men","M","2022-02-13T21:00:00","/Date(1644786000000+0000)/",20220213,"2022-02-13T13:00:00","/Date(1644757200000+0000)/",20220213,"2022-02-13T21:26:00","/Date(1644787560000+0000)/",20220213,"2022-02-13T13:26:00","/Date(1644758760000+0000)/",20220213,71488,"National Speed Skating Oval",NA,3647,"Beijing",NA,2770,"China","CHN",FALSE,FALSE,FALSE
103,3,"Speed Skating","SSK","1;2;5;6;8;9;12;17;18;24;26;31;103;106;147;149;150;151;152;153;154;158;159;160;164;211;23062",20220213,FALSE,"2022-02-13T21:56:00","2022-02-13T13:56:00","2022-02-13T21:56:00","2022-02-13T13:56:00",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1969391,1969391,NA,NA,NA,FALSE,1969391,"500m",1969391,NA,";1;5;17;18;24;26;31;103;106;147;150;151;153;159;160;164;23062;","Finished","FINISHED","SSKW500M--------------FNL-000100--",NA,NA,2,"https://stream.nbcolympics.com/speed-skating-womens-500m",103,3,"Speed Skating","SSK",4298,"Women's 500m","Women's 500m",1,1,"500m","500m",NA,2,"Women","W","2022-02-13T21:56:00","/Date(1644789360000+0000)/",20220213,"2022-02-13T13:56:00","/Date(1644760560000+0000)/",20220213,"2022-02-13T22:37:15","/Date(1644791835000+0000)/",20220213,"2022-02-13T14:37:15","/Date(1644763035000+0000)/",20220213,71488,"National Speed Skating Oval",NA,3647,"Beijing",NA,2770,"China","CHN",TRUE,TRUE,TRUE
