"No","First_Name","Last_Name","Tm","Pos","G","A","A1","A2","PTS","SOG","PIM","TOI","FOW","FOL","GS"
"27","Adam","Cracknell","CAN","F",0,0,0,0,0,3,0,"10:07",3,1,0.52
"51","David","Desharnais","CAN","F",0,0,0,0,0,0,0,"11:57",6,2,0.44
"96","Joshua","Ho-Sang","CAN","F",0,1,1,0,1,1,0,"14:28",0,0,1
"13","Kent","Johnson","CAN","F",0,0,0,0,0,5,0,"17:36",0,0,0.5
"9","Corban","Knight","CAN","F",1,0,0,0,1,1,0,"13:19",2,2,1.1
"11","Jack","McBain","CAN","F",0,0,0,0,0,2,0,"5:06",0,0,0.2
"32","Mason","McTavish","CAN","F",0,0,0,0,0,2,0,"15:53",0,0,0.2
"19","Eric","O'Dell","CAN","F",0,0,0,0,0,1,0,"20:13",11,1,1.2
"12","Eric","Staal","CAN","F",0,1,0,1,1,3,4,"17:20",12,7,0.91
"10","Ben","Street","CAN","F",0,0,0,0,0,2,0,"12:22",2,1,0.31
"15","Adam","Tambellini","CAN","F",0,0,0,0,0,2,0,"13:19",0,0,0.2
"91","Jordan","Weal","CAN","F",0,0,0,0,0,3,0,"17:15",5,2,0.63
"26","Daniel","Winnik","CAN","F",0,1,1,0,1,0,0,"12:57",0,0,0.9
"44","Mark","Barberio","CAN","D",0,0,0,0,0,1,0,"14:48",0,0,0.1
"60","Jason","Demers","CAN","D",0,0,0,0,0,0,0,"16:04",0,0,0
"20","Alex","Grant","CAN","D",0,0,0,0,0,3,0,"10:47",0,0,0.3
"56","Maxim","Noreau","CAN","D",0,0,0,0,0,3,0,"21:24",0,0,0.3
"22","Owen","Power","CAN","D",0,0,0,0,0,3,0,"22:13",0,0,0.3
"37","Mat","Robinson","CAN","D",1,0,0,0,1,1,0,"15:38",0,0,1.1
"23","Tyler","Wotherspoon","CAN","D",0,0,0,0,0,1,0,"13:04",0,0,0.1
"80","Edward","Pasquale","CAN","G",0,0,0,0,0,0,0,"57:34",0,0,0
"90","Matt","Tomkins","CAN","G",0,0,0,0,0,0,0,"0:00",0,0,0
"16","Nick","Abruzzese","USA","F",0,0,0,0,0,2,0,"16:10",0,0,0.2
"11","Kenny","Agostino","USA","F",1,0,0,0,1,1,2,"13:45",0,0,0.8
"10","Matthew","Beniers","USA","F",0,0,0,0,0,1,0,"22:01",4,10,-0.56
"19","Brendan","Brisson","USA","F",1,0,0,0,1,1,0,"11:30",0,0,1.1
"27","Noah","Cates","USA","F",0,0,0,0,0,1,0,"15:10",0,0,0.1
"26","Sean","Farrell","USA","F",0,1,1,0,1,0,0,"12:34",0,0,0.9
"67","Matthew","Knies","USA","F",0,0,0,0,0,2,2,"18:00",0,0,-0.1
"25","Marc","McLaughlin","USA","F",0,0,0,0,0,0,0,"3:38",0,0,0
"39","Ben","Meyers","USA","F",1,0,0,0,1,4,0,"16:15",8,14,0.74
"51","Andy","Miele","USA","F",1,1,1,0,2,1,0,"13:09",2,9,1.23
"21","Brian","O'Neill","USA","F",0,1,1,0,1,5,0,"12:20",0,2,1.18
"37","Nick","Shore","USA","F",0,1,1,0,1,1,0,"11:25",1,1,1
"13","Nathan","Smith","USA","F",0,0,0,0,0,1,0,"10:42",1,5,-0.34
"23","Brian","Cooper","USA","D",0,0,0,0,0,3,0,"19:25",0,0,0.3
"14","Brock","Faber","USA","D",0,0,0,0,0,1,0,"24:04",0,0,0.1
"20","Steven","Kampfer","USA","D",0,1,0,1,1,0,2,"19:40",0,0,0.36
"42","Aaron","Ness","USA","D",0,0,0,0,0,0,0,"18:01",0,0,0
"6","Nick","Perbix","USA","D",0,0,0,0,0,0,0,"8:56",0,0,0
"8","Jake","Sanderson","USA","D",0,1,0,1,1,1,0,"16:59",0,0,0.76
"5","David","Warsofsky","USA","D",0,0,0,0,0,2,0,"8:34",0,0,0.2
"29","Drew","Commesso","USA","G",0,0,0,0,0,0,0,"0:00",0,0,0
"31","Strauss","Mann","USA","G",0,0,0,0,0,0,0,"60:00",0,0,0
