"No","First_Name","Last_Name","Tm","Pos","G","A","A1","A2","PTS","SOG","PIM","TOI","FOW","FOL","GS"
"15","Jiang","Fu","CHN","F",0,0,0,0,0,4,0,"27:08",0,0,0.4
"22","Shuai","Fu","CHN","F",0,0,0,0,0,2,0,"22:57",0,0,0.2
"47","An","Jian","CHN","F",0,0,0,0,0,0,2,"16:40",2,6,-0.74
"20","Jia","Luo","CHN","F",0,0,0,0,0,0,0,"22:36",14,5,0.99
"91","Taile","Wang","CHN","F",0,0,0,0,0,2,2,"24:20",8,17,-1.09
"61","Ruike","Wei","CHN","F",0,0,0,0,0,6,2,"18:18",0,1,0.19
"10","Xudong","Xiang","CHN","F",0,0,0,0,0,0,0,"0:00",0,0,0
"88","Juncheng","Yan","CHN","F",0,0,0,0,0,0,0,"2:31",0,0,0
"18","Jinguang","Ye","CHN","F",0,0,0,0,0,4,0,"23:57",0,0,0.4
"98","Rudi","Ying","CHN","F",0,0,0,0,0,1,0,"4:52",0,0,0.1
"56","Zesen","Zhang","CHN","F",0,0,0,0,0,0,0,"6:37",0,0,0
"19","Wei","Zhong","CHN","F",0,0,0,0,0,0,0,"5:30",0,0,0
"6","Zimeng","Chen","CHN","D",0,0,0,0,0,0,0,"0:00",0,0,0
"60","Aoxibofu","Dannisi","CHN","D",0,0,0,0,0,1,2,"17:09",0,0,-0.2
"7","Kailiaosi","Jieke","CHN","D",0,0,0,0,0,1,2,"22:44",0,0,-0.2
"2","Jie","Liu","CHN","D",0,0,0,0,0,2,0,"21:34",0,0,0.2
"5","Sipulaoer","Ruian","CHN","D",0,0,0,0,0,2,0,"27:04",0,0,0.2
"81","Ruinan","Yan","CHN","D",0,0,0,0,0,0,0,"1:04",0,0,0
"93","Junjie","Yuan","CHN","D",0,0,0,0,0,1,0,"11:31",0,0,0.1
"77","Enlai","Zheng","CHN","D",0,0,0,0,0,0,0,"12:53",0,0,0
"33","Pengfei","Han","CHN","G",0,0,0,0,0,0,0,"0:00",0,0,0
"1","Yongli","Ouban","CHN","G",0,0,0,0,0,0,0,"60:00",0,0,0
"27","Adam","Cracknell","CAN","F",0,0,0,0,0,3,0,"11:48",1,5,-0.14
"51","David","Desharnais","CAN","F",0,0,0,0,0,1,0,"12:07",3,1,0.32
"96","Joshua","Ho-Sang","CAN","F",0,2,1,1,2,1,0,"8:20",0,0,1.66
"13","Kent","Johnson","CAN","F",1,1,1,0,2,3,0,"14:11",0,0,2.2
"9","Corban","Knight","CAN","F",1,0,0,0,1,3,0,"17:09",1,0,1.41
"11","Jack","McBain","CAN","F",0,0,0,0,0,1,0,"13:21",0,1,-0.01
"32","Mason","McTavish","CAN","F",0,0,0,0,0,5,0,"14:33",0,1,0.39
"19","Eric","O'Dell","CAN","F",1,1,0,1,2,5,2,"16:47",5,4,1.97
"12","Eric","Staal","CAN","F",0,0,0,0,0,3,0,"18:24",12,6,0.96
"10","Ben","Street","CAN","F",1,0,0,0,1,2,0,"12:29",5,3,1.42
"15","Adam","Tambellini","CAN","F",1,0,0,0,1,3,0,"16:39",1,0,1.41
"91","Jordan","Weal","CAN","F",0,1,0,1,1,1,2,"11:19",1,3,0.24
"26","Daniel","Winnik","CAN","F",0,0,0,0,0,2,0,"12:15",0,0,0.2
"44","Mark","Barberio","CAN","D",0,0,0,0,0,2,2,"13:45",0,0,-0.1
"60","Jason","Demers","CAN","D",0,1,1,0,1,1,0,"14:38",0,0,1
"20","Alex","Grant","CAN","D",0,1,1,0,1,1,2,"9:22",0,0,0.7
"56","Maxim","Noreau","CAN","D",0,0,0,0,0,1,0,"18:57",0,0,0.1
"22","Owen","Power","CAN","D",0,1,1,0,1,5,0,"20:59",0,0,1.4
"37","Mat","Robinson","CAN","D",0,0,0,0,0,1,0,"15:56",0,0,0.1
"23","Tyler","Wotherspoon","CAN","D",0,2,0,2,2,0,0,"17:38",0,0,1.32
"1","Devon","Levi","CAN","G",0,0,0,0,0,0,0,"0:00",0,0,0
"90","Matt","Tomkins","CAN","G",0,0,0,0,0,0,0,"60:00",0,0,0
