"No","First_Name","Last_Name","Tm","Pos","G","A","A1","A2","PTS","SOG","PIM","TOI","FOW","FOL","GS"
"15","Miro","Aaltonen","FIN","F",0,0,0,0,0,0,0,"12:11",0,0,0
"12","Marko","Anttila","FIN","F",0,0,0,0,0,4,0,"17:32",0,0,0.4
"24","Hannes","Björninen","FIN","F",0,0,0,0,0,1,0,"15:56",19,6,1.53
"51","Valtteri","Filppula","FIN","F",0,0,0,0,0,2,0,"15:06",6,7,0.09
"60","Markus","Granlund","FIN","F",0,0,0,0,0,3,0,"15:37",0,1,0.19
"70","Teemu","Hartikainen","FIN","F",0,1,1,0,1,0,0,"17:01",0,0,0.9
"71","Leo","Komarov","FIN","F",0,0,0,0,0,2,0,"13:44",1,1,0.2
"80","Saku","Mäenalanen","FIN","F",0,0,0,0,0,0,0,"15:32",0,0,0
"65","Sakari","Manninen","FIN","F",1,0,0,0,1,3,0,"16:25",1,4,0.97
"28","Joonas","Nättinen","FIN","F",0,0,0,0,0,1,0,"13:44",4,3,0.21
"81","Iiro","Pakarinen","FIN","F",0,0,0,0,0,0,0,"15:27",6,3,0.33
"82","Harri","Pesonen","FIN","F",1,0,0,0,1,3,0,"15:46",0,0,1.3
"3","Niklas","Friman","FIN","D",0,0,0,0,0,0,0,"12:52",0,0,0
"38","Juuso","Hietanen","FIN","D",0,0,0,0,0,1,0,"10:58",0,0,0.1
"13","Valtteri","Kemiläinen","FIN","D",0,0,0,0,0,0,0,"11:24",0,0,0
"4","Mikko","Lehtonen","FIN","D",0,0,0,0,0,1,0,"18:25",0,0,0.1
"40","Petteri","Lindbohm","FIN","D",0,1,1,0,1,2,0,"14:15",0,0,1.1
"55","Atte","Ohtamaa","FIN","D",0,0,0,0,0,2,0,"14:20",0,0,0.2
"2","Ville","Pokka","FIN","D",0,1,0,1,1,0,0,"16:16",0,0,0.66
"42","Sami","Vatanen","FIN","D",0,1,0,1,1,2,0,"15:22",0,0,0.86
"45","Juho","Olkinuora","FIN","G",0,0,0,0,0,0,0,"0:00",0,0,0
"29","Harri","Säteri","FIN","G",0,0,0,0,0,0,0,"60:00",0,0,0
"34","Peter","Cehlárik","SVK","F",0,0,0,0,0,0,0,"19:55",0,0,0
"56","Marko","Dano","SVK","F",0,0,0,0,0,0,0,"0:44",0,0,0
"27","Marek","Hrivík","SVK","F",0,0,0,0,0,4,0,"22:21",13,13,0.4
"79","Libor","Hudácek","SVK","F",0,0,0,0,0,2,0,"14:03",4,8,-0.24
"13","Tomáš","Jurco","SVK","F",0,0,0,0,0,3,0,"11:44",0,0,0.3
"12","Miloš","Kelemen","SVK","F",0,0,0,0,0,1,0,"12:12",0,0,0.1
"19","Michal","Krištof","SVK","F",0,0,0,0,0,0,0,"12:55",6,6,0
"88","Kristián","Pospíšil","SVK","F",0,0,0,0,0,2,2,"13:40",0,4,-0.54
"87","Pavol","Regenda","SVK","F",0,0,0,0,0,1,2,"11:44",0,0,-0.2
"40","Miloš","Roman","SVK","F",0,0,0,0,0,1,0,"11:15",2,6,-0.34
"20","Juraj","Slafkovský","SVK","F",0,0,0,0,0,3,0,"20:03",0,0,0.3
"49","Samuel","Takác","SVK","F",0,0,0,0,0,1,0,"9:33",0,0,0.1
"25","Peter","Zuzin","SVK","F",0,0,0,0,0,2,0,"13:11",0,0,0.2
"65","Michal","Cajkovský","SVK","D",0,0,0,0,0,0,0,"18:35",0,0,0
"14","Peter","Cerešnák","SVK","D",0,0,0,0,0,0,2,"19:51",0,0,-0.3
"28","Martin","Gernát","SVK","D",0,0,0,0,0,3,0,"20:19",0,0,0.3
"22","Samuel","Knažko","SVK","D",0,0,0,0,0,2,0,"15:20",0,0,0.2
"52","Martin","Marincin","SVK","D",0,0,0,0,0,2,0,"25:27",0,0,0.2
"5","Šimon","Nemec","SVK","D",0,0,0,0,0,0,0,"1:05",0,0,0
"44","Mislav","Rosandic","SVK","D",0,0,0,0,0,1,0,"19:52",0,0,0.1
"42","Branislav","Konrád","SVK","G",0,0,0,0,0,0,0,"0:00",0,0,0
"24","Patrik","Rybár","SVK","G",0,0,0,0,0,0,0,"59:01",0,0,0
