"No","First_Name","Last_Name","Tm","Pos","G","A","A1","A2","PTS","SOG","PIM","TOI","FOW","FOL","GS"
"26","Emily","Clark","CAN","F",1,0,0,0,1,3,0,"16:06",0,0,1.3
"10","Sarah","Fillier","CAN","F",3,0,0,0,3,7,0,"13:01",9,3,4.36
"19","Brianne","Jenner","CAN","F",3,0,0,0,3,8,2,"13:41",1,2,3.39
"6","Rebecca","Johnston","CAN","F",0,1,1,0,1,4,0,"15:22",0,0,1.3
"27","Emma","Maltais","CAN","F",0,0,0,0,0,0,0,"15:16",11,8,0.33
"20","Sarah","Nurse","CAN","F",0,4,1,3,4,2,2,"15:18",3,1,3
"29","Marie-Philip","Poulin","CAN","F",0,4,3,1,4,4,0,"13:33",3,3,3.76
"47","Jamie Lee","Rattray","CAN","F",1,1,1,0,2,6,0,"11:28",0,0,2.5
"11","Jill","Saulnier","CAN","F",0,1,0,1,1,0,0,"14:34",0,0,0.66
"24","Natalie","Spooner","CAN","F",1,1,1,0,2,3,0,"13:19",0,0,2.2
"7","Laura","Stacey","CAN","F",0,0,0,0,0,1,0,"13:39",0,0,0.1
"40","Blayre","Turnbull","CAN","F",1,0,0,0,1,1,0,"17:59",16,3,2.53
"23","Erin","Ambrose","CAN","D",1,1,1,0,2,4,0,"16:27",0,0,2.3
"21","Ashton","Bell","CAN","D",0,1,1,0,1,5,0,"16:10",0,0,1.4
"14","Renata","Fast","CAN","D",0,2,0,2,2,2,0,"17:32",0,0,1.52
"28","Micah","Hart","CAN","D",0,2,1,1,2,3,2,"19:44",0,0,1.56
"3","Jocelyne","Larocque","CAN","D",0,1,0,1,1,1,0,"17:55",0,0,0.76
"17","Ella","Shelton","CAN","D",0,0,0,0,0,1,2,"13:40",0,0,-0.2
"42","Claire","Thompson","CAN","D",0,3,1,2,3,1,0,"15:35",0,0,2.32
"35","Ann-Renée","Desbiens","CAN","G",0,0,0,0,0,0,0,"0:00",0,0,0
"38","Emerance","Maschmeyer","CAN","G",0,0,0,0,0,0,0,"60:00",0,0,0
"11","Josefin","Bouveng","SWE","F",0,0,0,0,0,2,0,"14:17",0,0,0.2
"29","Olivia","Carlsson","SWE","F",0,0,0,0,0,0,0,"14:52",0,0,0
"19","Sara","Hjalmarsson","SWE","F",0,0,0,0,0,1,4,"15:23",4,10,-1.16
"16","Linnea","Johansson","SWE","F",0,0,0,0,0,1,0,"11:49",3,7,-0.34
"15","Lisa","Johansson","SWE","F",0,0,0,0,0,0,0,"13:49",0,0,0
"25","Lina","Ljungblom","SWE","F",0,0,0,0,0,0,0,"15:40",3,4,-0.11
"28","Michelle","Löwenhielm","SWE","F",0,0,0,0,0,0,0,"17:58",5,7,-0.22
"17","Sofie","Lundin","SWE","F",0,0,0,0,0,1,0,"15:17",0,0,0.1
"13","Emma","Murén","SWE","F",0,0,0,0,0,0,0,"15:22",2,3,-0.11
"27","Emma","Nordin","SWE","F",0,0,0,0,0,0,0,"14:58",3,12,-0.99
"22","Linn","Peterson","SWE","F",0,0,0,0,0,0,0,"10:53",0,0,0
"24","Felizia","Wikner-Zienkiewicz","SWE","F",0,0,0,0,0,2,0,"16:43",0,0,0.2
"9","Jessica","Adolfsson","SWE","D",0,0,0,0,0,0,2,"21:33",0,0,-0.3
"4","Linnéa","Andersson","SWE","D",0,0,0,0,0,0,2,"8:23",0,0,-0.3
"8","Ebba","Berglund","SWE","D",0,0,0,0,0,1,4,"16:38",0,0,-0.5
"5","Johanna","Fällman","SWE","D",0,0,0,0,0,0,2,"12:05",0,0,-0.3
"3","Anna","Kjellbin","SWE","D",0,0,0,0,0,1,0,"19:23",0,0,0.1
"12","Maja","Nylén Persson","SWE","D",0,0,0,0,0,1,0,"18:48",0,0,0.1
"10","Mina","Waxin","SWE","D",0,0,0,0,0,1,0,"17:00",0,0,0.1
"35","Ida","Boman","SWE","G",0,0,0,0,0,0,0,"20:00",0,0,0
"30","Emma","Söderberg","SWE","G",0,0,0,0,0,0,0,"40:00",0,0,0
