"No","First_Name","Last_Name","Tm","Pos","G","A","A1","A2","PTS","SOG","PIM","TOI","FOW","FOL","GS"
"26","Emily","Clark","CAN","F",0,0,0,0,0,1,0,"19:30",0,0,0.1
"15","Mélodie","Daoust","CAN","F",0,0,0,0,0,1,0,"13:24",0,0,0.1
"10","Sarah","Fillier","CAN","F",0,0,0,0,0,1,0,"16:21",10,4,0.76
"19","Brianne","Jenner","CAN","F",0,1,1,0,1,2,0,"18:48",1,1,1.1
"6","Rebecca","Johnston","CAN","F",0,0,0,0,0,0,0,"17:14",0,0,0
"27","Emma","Maltais","CAN","F",0,0,0,0,0,0,0,"1:56",0,0,0
"20","Sarah","Nurse","CAN","F",1,1,0,1,2,4,0,"19:37",2,1,2.17
"29","Marie-Philip","Poulin","CAN","F",2,1,0,1,3,3,2,"19:01",17,6,3.87
"47","Jamie Lee","Rattray","CAN","F",0,0,0,0,0,0,0,"6:49",0,0,0
"11","Jill","Saulnier","CAN","F",0,0,0,0,0,0,0,"2:05",0,0,0
"24","Natalie","Spooner","CAN","F",0,0,0,0,0,4,0,"18:37",0,0,0.4
"7","Laura","Stacey","CAN","F",0,0,0,0,0,0,0,"2:11",0,0,0
"40","Blayre","Turnbull","CAN","F",0,0,0,0,0,2,0,"20:47",9,9,0.2
"23","Erin","Ambrose","CAN","D",0,0,0,0,0,1,0,"22:41",0,0,0.1
"21","Ashton","Bell","CAN","D",0,0,0,0,0,0,0,"11:44",0,0,0
"14","Renata","Fast","CAN","D",0,0,0,0,0,1,0,"25:39",0,0,0.1
"28","Micah","Hart","CAN","D",0,0,0,0,0,1,0,"14:59",0,0,0.1
"3","Jocelyne","Larocque","CAN","D",0,0,0,0,0,0,4,"22:25",0,0,-0.6
"17","Ella","Shelton","CAN","D",0,0,0,0,0,0,0,"0:00",0,0,0
"42","Claire","Thompson","CAN","D",0,1,1,0,1,0,0,"21:38",0,0,0.9
"35","Ann-Renée","Desbiens","CAN","G",0,0,0,0,0,0,0,"60:00",0,0,0
"38","Emerance","Maschmeyer","CAN","G",0,0,0,0,0,0,0,"0:00",0,0,0
"20","Hannah","Brandt","USA","F",0,1,1,0,1,5,0,"24:00",7,14,0.63
"24","Dani","Cameranesi","USA","F",0,0,0,0,0,1,0,"12:40",0,0,0.1
"25","Alex","Carpenter","USA","F",0,1,0,1,1,5,0,"21:13",4,5,1.05
"18","Jesse","Compher","USA","F",0,0,0,0,0,1,0,"10:21",1,6,-0.45
"26","Kendall","Coyne Schofield","USA","F",0,0,0,0,0,2,2,"23:19",0,1,-0.21
"28","Amanda","Kessel","USA","F",1,0,0,0,1,2,0,"22:07",0,0,1.2
"21","Hilary","Knight","USA","F",1,0,0,0,1,6,0,"23:23",0,1,1.49
"37","Abbey","Murphy","USA","F",0,0,0,0,0,0,0,"1:57",0,0,0
"12","Kelly","Pannek","USA","F",0,0,0,0,0,0,0,"5:30",1,4,-0.33
"11","Abby","Roque","USA","F",0,1,1,0,1,10,0,"23:16",8,8,1.9
"16","Hayley","Scamurra","USA","F",0,0,0,0,0,1,0,"7:23",0,0,0.1
"13","Grace","Zumwinkle","USA","F",0,0,0,0,0,2,0,"6:43",0,0,0.2
"3","Cayla","Barnes","USA","D",0,0,0,0,0,2,0,"28:52",0,0,0.2
"9","Megan","Bozek","USA","D",0,0,0,0,0,0,0,"6:57",0,0,0
"19","Jincy","Dunne","USA","D",0,0,0,0,0,0,0,"0:00",0,0,0
"15","Savannah","Harmon","USA","D",0,0,0,0,0,0,0,"25:10",0,0,0
"4","Caroline","Harvey","USA","D",0,0,0,0,0,0,0,"1:02",0,0,0
"5","Megan","Keller","USA","D",0,0,0,0,0,1,2,"29:17",0,0,-0.2
"2","Lee","Stecklein","USA","D",0,0,0,0,0,2,0,"25:23",0,0,0.2
"33","Alex","Cavallini","USA","G",0,0,0,0,0,0,0,"56:51",0,0,0
"35","Madeline","Rooney","USA","G",0,0,0,0,0,0,0,"0:00",0,0,0
